,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Superman,1987,28,Issue,1989-02-28,Comicvine,3816,30868,Superman,1987,28, ,https://comicvine.gamespot.com/superman-28-superman-in-exile/4000-30868/,0 days 00:00:00,DC Comics
2,Adventures of Superman,1987,451,Issue,1989-02-28,Comicvine,3778,30843,Adventures of Superman,1987,451, ,https://comicvine.gamespot.com/issue/4000-30843/,31 days 00:00:00,DC Comics
3,Superman,1987,29,Issue,1989-03-31,Comicvine,3816,30978,Superman,1987,29, ,https://comicvine.gamespot.com/superman-29-if-this-be-my-fate/4000-30978/,0 days 00:00:00,DC Comics
4,Adventures of Superman,1987,452,Issue,1989-03-31,Comicvine,3778,30954,Adventures of Superman,1987,452, ,https://comicvine.gamespot.com/issue/4000-30954/,30 days 00:00:00,DC Comics
5,Superman,1987,30,Issue,1989-04-30,Comicvine,3816,31076,Superman,1987,30, ,https://comicvine.gamespot.com/superman-30-alone-king-of-all-he-surveys/4000-31076/,0 days 00:00:00,DC Comics
6,Adventures of Superman,1987,453,Issue,1989-04-30,Comicvine,3778,31048,Adventures of Superman,1987,453, ,https://comicvine.gamespot.com/issue/4000-31048/,31 days 00:00:00,DC Comics
7,Adventures of Superman,1987,454,Issue,1989-05-31,Comicvine,3778,31163,Adventures of Superman,1987,454, ,https://comicvine.gamespot.com/issue/4000-31163/,184 days 00:00:00,DC Comics
8,Action Comics Annual,1987,2,Issue,1989-12-01,Comicvine,3776,30590,Action Comics Annual,1987,2, ,https://comicvine.gamespot.com/issue/4000-30590/,154 days 00:00:00,DC Comics
9,Superman,1987,32,Issue,1989-06-30,Comicvine,3816,31303,Superman,1987,32, ,https://comicvine.gamespot.com/superman-32-gladiator/4000-31303/,0 days 00:00:00,DC Comics
10,Adventures of Superman,1987,455,Issue,1989-06-30,Comicvine,3778,31271,Adventures of Superman,1987,455, ,https://comicvine.gamespot.com/issue/4000-31271/,31 days 00:00:00,DC Comics
11,Superman,1987,33,Issue,1989-07-31,Comicvine,3816,31411,Superman,1987,33, ,https://comicvine.gamespot.com/superman-33-two-destinies/4000-31411/,0 days 00:00:00,DC Comics
12,Adventures of Superman,1987,456,Issue,1989-07-31,Comicvine,3778,31382,Adventures of Superman,1987,456, ,https://comicvine.gamespot.com/issue/4000-31382/,0 days 00:00:00,DC Comics
13,Action Comics,1938,643,Issue,1989-07-31,Comicvine,18005,112042,Action Comics,1938,643, ,https://comicvine.gamespot.com/action-comics-643-superman-on-earth/4000-112042/,0 days 00:00:00,DC Comics
