,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Superman,2011,13,Issue,2012-12-27,Comicvine,42986,363060,Superman,2011,13, ,https://comicvine.gamespot.com/superman-13-they-will-join-you-in-the-sun/4000-363060/,31 days 00:00:00,DC Comics
2,Superboy,2011,14,Issue,2013-01-27,Comicvine,42685,368087,Superboy,2011,14, ,https://comicvine.gamespot.com/superboy-14-the-face-of-hel/4000-368087/,0 days 00:00:00,DC Comics
3,Supergirl,2011,14,Issue,2013-01-27,Comicvine,42949,369241,Supergirl,2011,14, ,https://comicvine.gamespot.com/supergirl-14-lost-son-of-krypton/4000-369241/,0 days 00:00:00,DC Comics
4,Superman,2011,14,Issue,2013-01-27,Comicvine,42986,370272,Superman,2011,14, ,https://comicvine.gamespot.com/superman-14-hel-on-earth-build-a-parachute-on-your/4000-370272/,31 days 00:00:00,DC Comics
5,Superboy,2011,15,Issue,2013-02-27,Comicvine,42685,372349,Superboy,2011,15, ,https://comicvine.gamespot.com/superboy-15-shattered-steel/4000-372349/,0 days 00:00:00,DC Comics
6,Supergirl,2011,15,Issue,2013-02-27,Comicvine,42949,373272,Supergirl,2011,15, ,https://comicvine.gamespot.com/supergirl-15-into-kandor/4000-373272/,26 days 00:00:00,DC Comics
7,Superman,2011,15,Issue,2013-02-01,Comicvine,42986,376602,Superman,2011,15, ,https://comicvine.gamespot.com/superman-15-because-im-a-scorpion/4000-376602/,54 days 00:00:00,DC Comics
8,Superboy,2011,16,Issue,2013-03-27,Comicvine,42685,380329,Superboy,2011,16, ,https://comicvine.gamespot.com/superboy-16-triggers/4000-380329/,0 days 00:00:00,DC Comics
9,Supergirl,2011,16,Issue,2013-03-27,Comicvine,42949,381393,Supergirl,2011,16, ,https://comicvine.gamespot.com/supergirl-16-fast-and-faster/4000-381393/,4 days 00:00:00,DC Comics
10,Superboy Vol. 6 Annual,2013,1,Issue,2013-03-31,Comicvine,56092,381388,Superboy Annual,2013,1, ,https://comicvine.gamespot.com/superboy-annual-1-lost-horizons/4000-381388/,30 days 00:00:00,DC Comics
11,Superman,2011,16,Issue,2013-03-01,Comicvine,42986,382928,Superman,2011,16, ,https://comicvine.gamespot.com/superman-16-a-fistful-of-sticks/4000-382928/,60 days 00:00:00,DC Comics
12,Superboy,2011,17,Issue,2013-04-30,Comicvine,42685,386098,Superboy,2011,17, ,https://comicvine.gamespot.com/superboy-17-lost-cause/4000-386098/,0 days 00:00:00,DC Comics
13,Supergirl,2011,17,Issue,2013-04-30,Comicvine,42949,387222,Supergirl,2011,17, ,https://comicvine.gamespot.com/supergirl-17-girl-vs-goddess/4000-387222/,0 days 00:00:00,DC Comics
14,Superman,2011,17,Issue,2013-04-30,Comicvine,42986,390403,Superman,2011,17, ,https://comicvine.gamespot.com/superman-17-fury-at-worlds-end/4000-390403/,0 days 00:00:00,DC Comics
