,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Supergirl,2005,34,Issue,2008-12-01,Comicvine,18012,139678,Supergirl,2005,34, ,https://comicvine.gamespot.com/supergirl-34-why-the-world-doesnt-need-supergirl/4000-139678/,0 days 00:00:00,DC Comics
2,"Superman’s Pal, Jimmy Olsen",2008,1,Issue,2008-12-01,Comicvine,23417,140459,"Superman's Pal, Jimmy Olsen Special",2008,1, ,https://comicvine.gamespot.com/issue/4000-140459/,0 days 00:00:00,DC Comics
3,Superman: New Krypton Special,2008,1,Issue,2008-12-01,Comicvine,23488,140868,Superman: New Krypton Special,2008,1, ,https://comicvine.gamespot.com/superman-new-krypton-special-1-new-krypton/4000-140868/,0 days 00:00:00,DC Comics
4,Superman,1939,681,Issue,2008-12-01,Comicvine,773,141190,Superman,1939,681, ,https://comicvine.gamespot.com/issue/4000-141190/,31 days 00:00:00,DC Comics
5,Adventure Comics Special Featuring The Guardian,2009,1,Issue,2009-01-01,Comicvine,23593,141524,Adventure Comics Special Featuring: The Guardian,2009,1, ,https://comicvine.gamespot.com/adventure-comics-special-featuring-the-guardian-1-/4000-141524/,30 days 00:00:00,DC Comics
6,Action Comics,1938,871,Issue,2009-01-31,Comicvine,18005,141990,Action Comics,1938,871, ,https://comicvine.gamespot.com/action-comics-871-new-krypton-part-4-beyond-doomsd/4000-141990/,30 days 00:00:00,DC Comics
7,Supergirl,2005,35,Issue,2009-01-01,Comicvine,18012,142479,Supergirl,2005,35, ,https://comicvine.gamespot.com/supergirl-35-new-krypton-part-5-the-secret-origin-/4000-142479/,0 days 00:00:00,DC Comics
8,Superman,1939,682,Issue,2009-01-01,Comicvine,773,143267,Superman,1939,682, ,https://comicvine.gamespot.com/issue/4000-143267/,53 days 00:00:00,DC Comics
9,Action Comics,1938,872,Issue,2009-02-23,Comicvine,18005,145239,Action Comics,1938,872, ,https://comicvine.gamespot.com/action-comics-872-new-krypton-part-7-brainiac-live/4000-145239/,22 days 00:00:00,DC Comics
10,Supergirl,2005,36,Issue,2009-02-01,Comicvine,18012,146850,Supergirl,2005,36, ,https://comicvine.gamespot.com/supergirl-36-new-krypton-part-8-death-in-the-house/4000-146850/,0 days 00:00:00,DC Comics
11,Superman,1939,683,Issue,2009-02-01,Comicvine,773,149280,Superman,1939,683, ,https://comicvine.gamespot.com/issue/4000-149280/,50 days 00:00:00,DC Comics
12,Action Comics,1938,873,Issue,2009-03-23,Comicvine,18005,150025,Action Comics,1938,873, ,https://comicvine.gamespot.com/action-comics-873-new-krypton-part-10-birth-of-a-n/4000-150025/,22 days 00:00:00,DC Comics
13,Supergirl,2005,37,Issue,2009-03-01,Comicvine,18012,150500,Supergirl,2005,37, ,https://comicvine.gamespot.com/supergirl-37-who-is-superwoman-part-one-puzzle-pie/4000-150500/,0 days 00:00:00,DC Comics
14,Superman,1939,684,Issue,2009-03-01,Comicvine,773,150681,Superman,1939,684, ,https://comicvine.gamespot.com/issue/4000-150681/,53 days 00:00:00,DC Comics
15,Action Comics,1938,874,Issue,2009-04-23,Comicvine,18005,151810,Action Comics,1938,874, ,https://comicvine.gamespot.com/action-comics-874-suspicion/4000-151810/,22 days 00:00:00,DC Comics
16,Supergirl,2005,38,Issue,2009-04-01,Comicvine,18012,152230,Supergirl,2005,38, ,https://comicvine.gamespot.com/supergirl-38-who-is-superwoman-part-two-clashes/4000-152230/,0 days 00:00:00,DC Comics
17,Superman,1939,685,Issue,2009-04-01,Comicvine,773,152712,Superman,1939,685, ,https://comicvine.gamespot.com/issue/4000-152712/,30 days 00:00:00,DC Comics
18,Superman: World of New Krypton,2009,1,Issue,2009-05-01,Comicvine,25900,153065,Superman: World of New Krypton,2009,1, ,https://comicvine.gamespot.com/superman-world-of-new-krypton-1-world-of-new-krypt/4000-153065/,22 days 00:00:00,DC Comics
19,Action Comics,1938,875,Issue,2009-05-23,Comicvine,18005,153515,Action Comics,1938,875, ,https://comicvine.gamespot.com/action-comics-875-the-sleeper-part-1/4000-153515/,22 days 00:00:00,DC Comics
20,Supergirl,2005,39,Issue,2009-05-01,Comicvine,18012,153686,Supergirl,2005,39, ,https://comicvine.gamespot.com/supergirl-39-who-is-superwoman-part-three-ticking-/4000-153686/,0 days 00:00:00,DC Comics
21,Superman,1939,686,Issue,2009-05-01,Comicvine,773,153984,Superman,1939,686, ,https://comicvine.gamespot.com/issue/4000-153984/,31 days 00:00:00,DC Comics
22,Superman: World of New Krypton,2009,2,Issue,2009-06-01,Comicvine,25900,155169,Superman: World of New Krypton,2009,2, ,https://comicvine.gamespot.com/superman-world-of-new-krypton-2-world-of-new-krypt/4000-155169/,22 days 00:00:00,DC Comics
23,Action Comics,1938,876,Issue,2009-06-23,Comicvine,18005,155458,Action Comics,1938,876, ,https://comicvine.gamespot.com/action-comics-876-the-sleepers-part-2/4000-155458/,22 days 00:00:00,DC Comics
24,Supergirl,2005,40,Issue,2009-06-01,Comicvine,18012,155786,Supergirl,2005,40, ,https://comicvine.gamespot.com/supergirl-40-who-is-superwoman-part-four-mistakes/4000-155786/,0 days 00:00:00,DC Comics
25,Superman,1939,687,Issue,2009-06-01,Comicvine,773,156183,Superman,1939,687, ,https://comicvine.gamespot.com/issue/4000-156183/,30 days 00:00:00,DC Comics
26,Superman: World of New Krypton,2009,3,Issue,2009-07-01,Comicvine,25900,156656,Superman: World of New Krypton,2009,3, ,https://comicvine.gamespot.com/superman-world-of-new-krypton-3-world-of-new-krypt/4000-156656/,22 days 00:00:00,DC Comics
27,Action Comics,1938,877,Issue,2009-07-23,Comicvine,18005,157158,Action Comics,1938,877, ,https://comicvine.gamespot.com/action-comics-877-the-sleepers-part-3/4000-157158/,22 days 00:00:00,DC Comics
28,Supergirl,2005,41,Issue,2009-07-01,Comicvine,18012,157771,Supergirl,2005,41, ,https://comicvine.gamespot.com/supergirl-41-who-is-superwoman-part-five-daughters/4000-157771/,0 days 00:00:00,DC Comics
29,Superman,1939,688,Issue,2009-07-01,Comicvine,773,158792,Superman,1939,688, ,https://comicvine.gamespot.com/issue/4000-158792/,31 days 00:00:00,DC Comics
30,Superman: World of New Krypton,2009,4,Issue,2009-08-01,Comicvine,25900,159275,Superman: World of New Krypton,2009,4, ,https://comicvine.gamespot.com/superman-world-of-new-krypton-4-world-of-new-krypt/4000-159275/,22 days 00:00:00,DC Comics
31,Action Comics,1938,878,Issue,2009-08-23,Comicvine,18005,159791,Action Comics,1938,878, ,https://comicvine.gamespot.com/action-comics-878-the-sleepers-part-4/4000-159791/,22 days 00:00:00,DC Comics
32,Supergirl,2005,42,Issue,2009-08-01,Comicvine,18012,160516,Supergirl,2005,42, ,https://comicvine.gamespot.com/supergirl-42-who-is-superwoman-conclusion-epilogue/4000-160516/,0 days 00:00:00,DC Comics
33,Superman,1939,689,Issue,2009-08-01,Comicvine,773,161947,Superman,1939,689, ,https://comicvine.gamespot.com/issue/4000-161947/,60 days 00:00:00,DC Comics
34,Superman: World of New Krypton,2009,5,Issue,2009-09-30,Comicvine,25900,163385,Superman: World of New Krypton,2009,5, ,https://comicvine.gamespot.com/superman-world-of-new-krypton-5-world-of-new-krypt/4000-163385/,7 days 00:00:00,DC Comics
35,Action Comics,1938,879,Issue,2009-09-23,Comicvine,18005,164004,Action Comics,1938,879, ,https://comicvine.gamespot.com/action-comics-879-the-sleepers-part-5-captain-atom/4000-164004/,7 days 00:00:00,DC Comics
36,Supergirl,2005,43,Issue,2009-09-30,Comicvine,18012,164881,Supergirl,2005,43, ,https://comicvine.gamespot.com/supergirl-43-guilding-day/4000-164881/,29 days 00:00:00,DC Comics
37,Superman,1939,690,Issue,2009-09-01,Comicvine,773,165546,Superman,1939,690, ,https://comicvine.gamespot.com/issue/4000-165546/,60 days 00:00:00,DC Comics
38,Superman: Secret Files 2009,2009,1,Issue,2009-10-31,Comicvine,27427,167066,Superman: Secret Files 2009,2009,1, ,https://comicvine.gamespot.com/superman-secret-files-2009-1-vigil-double-act-bloo/4000-167066/,30 days 00:00:00,DC Comics
39,Superman: World of New Krypton,2009,6,Issue,2009-10-01,Comicvine,25900,166116,Superman: World of New Krypton,2009,6, ,https://comicvine.gamespot.com/superman-world-of-new-krypton-6-world-of-new-krypt/4000-166116/,22 days 00:00:00,DC Comics
40,Action Comics,1938,880,Issue,2009-10-23,Comicvine,18005,166782,Action Comics,1938,880, ,https://comicvine.gamespot.com/action-comics-880-codename-patriot/4000-166782/,22 days 00:00:00,DC Comics
41,Supergirl,2005,44,Issue,2009-10-01,Comicvine,18012,167362,Supergirl,2005,44, ,https://comicvine.gamespot.com/supergirl-44-codename-patriot-part-3/4000-167362/,0 days 00:00:00,DC Comics
42,Superman,1939,691,Issue,2009-10-01,Comicvine,773,168291,Superman,1939,691, ,https://comicvine.gamespot.com/issue/4000-168291/,0 days 00:00:00,DC Comics
43,"Superman’s Pal, Jimmy Olsen",2008,2,Issue,2009-10-01,Comicvine,23417,168672,"Superman's Pal, Jimmy Olsen Special",2008,2, ,https://comicvine.gamespot.com/issue/4000-168672/,31 days 00:00:00,DC Comics
44,Superman: World of New Krypton,2009,7,Issue,2009-11-01,Comicvine,25900,170732,Superman: World of New Krypton,2009,7, ,https://comicvine.gamespot.com/superman-world-of-new-krypton-7-world-of-new-krypt/4000-170732/,22 days 00:00:00,DC Comics
45,Action Comics,1938,881,Issue,2009-11-23,Comicvine,18005,171393,Action Comics,1938,881, ,https://comicvine.gamespot.com/action-comics-881-the-hunt-for-reactron-part-1/4000-171393/,22 days 00:00:00,DC Comics
46,Supergirl,2005,45,Issue,2009-11-01,Comicvine,18012,172570,Supergirl,2005,45, ,https://comicvine.gamespot.com/supergirl-45-the-hunt-for-reactron-part-2/4000-172570/,0 days 00:00:00,DC Comics
47,Superman,1939,692,Issue,2009-11-01,Comicvine,773,173683,Superman,1939,692, ,https://comicvine.gamespot.com/issue/4000-173683/,30 days 00:00:00,DC Comics
48,Superman: World of New Krypton,2009,8,Issue,2009-12-01,Comicvine,25900,175246,Superman: World of New Krypton,2009,8, ,https://comicvine.gamespot.com/superman-world-of-new-krypton-8-world-of-new-krypt/4000-175246/,22 days 00:00:00,DC Comics
49,Action Comics,1938,882,Issue,2009-12-23,Comicvine,18005,176791,Action Comics,1938,882, ,https://comicvine.gamespot.com/action-comics-882-the-hunt-for-reactron-part-3/4000-176791/,22 days 00:00:00,DC Comics
50,Supergirl,2005,46,Issue,2009-12-01,Comicvine,18012,177693,Supergirl,2005,46, ,https://comicvine.gamespot.com/supergirl-46-the-hunt-for-reactron-conclusion/4000-177693/,0 days 00:00:00,DC Comics
51,Superman,1939,693,Issue,2009-12-01,Comicvine,773,179940,Superman,1939,693, ,https://comicvine.gamespot.com/issue/4000-179940/,31 days 00:00:00,DC Comics
52,Superman: World of New Krypton,2009,9,Issue,2010-01-01,Comicvine,25900,181603,Superman: World of New Krypton,2009,9, ,https://comicvine.gamespot.com/superman-world-of-new-krypton-9-world-of-new-krypt/4000-181603/,22 days 00:00:00,DC Comics
53,Action Comics,1938,883,Issue,2010-01-23,Comicvine,18005,182582,Action Comics,1938,883, ,https://comicvine.gamespot.com/action-comics-883-divine-spark-part-1/4000-182582/,22 days 00:00:00,DC Comics
54,Supergirl,2005,47,Issue,2010-01-01,Comicvine,18012,183717,Supergirl,2005,47, ,https://comicvine.gamespot.com/supergirl-47-pain-and-responsibility/4000-183717/,0 days 00:00:00,DC Comics
55,Superman,1939,694,Issue,2010-01-01,Comicvine,773,184831,Superman,1939,694, ,https://comicvine.gamespot.com/issue/4000-184831/,31 days 00:00:00,DC Comics
56,Superman: World of New Krypton,2009,10,Issue,2010-02-01,Comicvine,25900,185625,Superman: World of New Krypton,2009,10, ,https://comicvine.gamespot.com/superman-world-of-new-krypton-10-world-of-new-kryp/4000-185625/,7 days 00:00:00,DC Comics
57,Action Comics,1938,884,Issue,2010-02-08,Comicvine,18005,186788,Action Comics,1938,884, ,https://comicvine.gamespot.com/action-comics-884-divine-spark-part-two/4000-186788/,7 days 00:00:00,DC Comics
58,Supergirl,2005,48,Issue,2010-02-01,Comicvine,18012,187888,Supergirl,2005,48, ,https://comicvine.gamespot.com/supergirl-48-song-of-the-silver-banshee/4000-187888/,0 days 00:00:00,DC Comics
59,Superman,1939,695,Issue,2010-02-01,Comicvine,773,189581,Superman,1939,695, ,https://comicvine.gamespot.com/issue/4000-189581/,28 days 00:00:00,DC Comics
60,Superman: World of New Krypton,2009,11,Issue,2010-03-01,Comicvine,25900,191321,Superman: World of New Krypton,2009,11, ,https://comicvine.gamespot.com/superman-world-of-new-krypton-11-world-of-new-kryp/4000-191321/,7 days 00:00:00,DC Comics
61,Action Comics,1938,885,Issue,2010-03-08,Comicvine,18005,119120,Action Comics,1938,885, ,https://comicvine.gamespot.com/action-comics-885-divine-spark-part-three/4000-119120/,7 days 00:00:00,DC Comics
62,Supergirl,2005,49,Issue,2010-03-01,Comicvine,18012,194700,Supergirl,2005,49, ,https://comicvine.gamespot.com/supergirl-49-death-the-family/4000-194700/,0 days 00:00:00,DC Comics
63,Superman,1939,696,Issue,2010-03-01,Comicvine,773,194801,Superman,1939,696, ,https://comicvine.gamespot.com/issue/4000-194801/,31 days 00:00:00,DC Comics
64,Superman: World of New Krypton,2009,12,Issue,2010-04-01,Comicvine,25900,195394,Superman: World of New Krypton,2009,12, ,https://comicvine.gamespot.com/superman-world-of-new-krypton-12-world-of-new-kryp/4000-195394/,29 days 00:00:00,DC Comics
65,Action Comics,1938,886,Issue,2010-04-30,Comicvine,18005,196735,Action Comics,1938,886, ,https://comicvine.gamespot.com/action-comics-886-divine-spark-part-four/4000-196735/,29 days 00:00:00,DC Comics
66,Supergirl,2005,50,Issue,2010-04-01,Comicvine,18012,197530,Supergirl,2005,50, ,https://comicvine.gamespot.com/supergirl-50-queen-a-heros-journey/4000-197530/,0 days 00:00:00,DC Comics
67,Superman,1939,697,Issue,2010-04-01,Comicvine,773,198642,Superman,1939,697, ,https://comicvine.gamespot.com/issue/4000-198642/,60 days 00:00:00,DC Comics
68,Adventure Comics,2009,8,Issue,2010-05-31,Comicvine,25643,198868,Adventure Comics,2009,8, ,https://comicvine.gamespot.com/issue/4000-198868/,30 days 00:00:00,DC Comics
69,Superman: Last Stand of New Krypton,2010,1,Issue,2010-05-01,Comicvine,31770,199218,Superman: Last Stand of New Krypton,2010,1, ,https://comicvine.gamespot.com/superman-last-stand-of-new-krypton-1-invaded/4000-199218/,22 days 00:00:00,DC Comics
70,Action Comics,1938,887,Issue,2010-05-23,Comicvine,18005,199871,Action Comics,1938,887, ,https://comicvine.gamespot.com/action-comics-887-truth-to-power-part-1/4000-199871/,22 days 00:00:00,DC Comics
71,Supergirl,2005,51,Issue,2010-05-01,Comicvine,18012,200851,Supergirl,2005,51, ,https://comicvine.gamespot.com/supergirl-51-last-stand-of-new-krypton-part-two-le/4000-200851/,0 days 00:00:00,DC Comics
72,Superman,1939,698,Issue,2010-05-01,Comicvine,773,201748,Superman,1939,698, ,https://comicvine.gamespot.com/issue/4000-201748/,30 days 00:00:00,DC Comics
73,Adventure Comics,2009,9,Issue,2010-05-31,Comicvine,25643,203170,Adventure Comics,2009,9, ,https://comicvine.gamespot.com/issue/4000-203170/,2 days 00:00:00,DC Comics
74,Superman: Last Stand of New Krypton,2010,2,Issue,2010-06-02,Comicvine,31770,204664,Superman: Last Stand of New Krypton,2010,2, ,https://comicvine.gamespot.com/superman-last-stand-of-new-krypton-2-bottles-and-b/4000-204664/,21 days 00:00:00,DC Comics
75,Action Comics,1938,888,Issue,2010-06-23,Comicvine,18005,207341,Action Comics,1938,888, ,https://comicvine.gamespot.com/action-comics-888-truth-to-power-part-2/4000-207341/,7 days 00:00:00,DC Comics
76,Adventure Comics,2009,10,Issue,2010-06-30,Comicvine,25643,207745,Adventure Comics,2009,10, ,https://comicvine.gamespot.com/issue/4000-207745/,29 days 00:00:00,DC Comics
77,Supergirl,2005,52,Issue,2010-06-01,Comicvine,18012,208681,Supergirl,2005,52, ,https://comicvine.gamespot.com/supergirl-52-distractions/4000-208681/,0 days 00:00:00,DC Comics
78,Superman,1939,699,Issue,2010-06-01,Comicvine,773,210632,Superman,1939,699, ,https://comicvine.gamespot.com/issue/4000-210632/,29 days 00:00:00,DC Comics
79,Superman: Last Stand of New Krypton,2010,3,Issue,2010-06-30,Comicvine,31770,210841,Superman: Last Stand of New Krypton,2010,3, ,https://comicvine.gamespot.com/superman-last-stand-of-new-krypton-3-this-is-the-w/4000-210841/,7 days 00:00:00,DC Comics
80,Action Comics,1938,889,Issue,2010-06-23,Comicvine,18005,210785,Action Comics,1938,889, ,https://comicvine.gamespot.com/action-comics-889-truth-to-power-finale/4000-210785/,8 days 00:00:00,DC Comics
81,Adventure Comics,2009,11,Issue,2010-07-01,Comicvine,25643,213425,Adventure Comics,2009,11, ,https://comicvine.gamespot.com/issue/4000-213425/,0 days 00:00:00,DC Comics
