,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Superman Vol. 3 Annual,2012,3,Issue,2016-02-29,Comicvine,51617,509690,Superman Annual,2012,3, ,https://comicvine.gamespot.com/superman-annual-3-savage-dawn/4000-509690/,31 days 00:00:00,DC Comics
2,Action Comics,2011,48,Issue,2016-03-31,Comicvine,42563,510470,Action Comics,2011,48, ,https://comicvine.gamespot.com/action-comics-48-savage-dawn-assault/4000-510470/,0 days 00:00:00,DC Comics
3,Superman/Wonder Woman,2013,25,Issue,2016-03-31,Comicvine,68150,511500,Superman/Wonder Woman,2013,25, ,https://comicvine.gamespot.com/supermanwonder-woman-25-a-god-somewhere/4000-511500/,0 days 00:00:00,DC Comics
4,Superman,2011,48,Issue,2016-03-31,Comicvine,42986,512404,Superman,2011,48, ,https://comicvine.gamespot.com/superman-48-treatment/4000-512404/,30 days 00:00:00,DC Comics
5,Action Comics,2011,49,Issue,2016-04-30,Comicvine,42563,513615,Action Comics,2011,49, ,https://comicvine.gamespot.com/action-comics-49-savage-dawn-immortal-combat/4000-513615/,0 days 00:00:00,DC Comics
6,Superman/Wonder Woman,2013,26,Issue,2016-04-30,Comicvine,68150,516582,Superman/Wonder Woman,2013,26, ,https://comicvine.gamespot.com/supermanwonder-woman-26-skyfall/4000-516582/,0 days 00:00:00,DC Comics
7,Superman,2011,49,Issue,2016-04-30,Comicvine,42986,516936,Superman,2011,49, ,https://comicvine.gamespot.com/superman-49-sacrifice/4000-516936/,31 days 00:00:00,DC Comics
8,Action Comics,2011,50,Issue,2016-05-31,Comicvine,42563,518820,Action Comics,2011,50, ,https://comicvine.gamespot.com/action-comics-50-resurrection/4000-518820/,0 days 00:00:00,DC Comics
9,Superman/Wonder Woman,2013,27,Issue,2016-05-31,Comicvine,68150,520189,Superman/Wonder Woman,2013,27, ,https://comicvine.gamespot.com/supermanwonder-woman-27-slam-bang/4000-520189/,0 days 00:00:00,DC Comics
10,Superman,2011,50,Issue,2016-05-31,Comicvine,42986,520185,Superman,2011,50, ,https://comicvine.gamespot.com/superman-50-what-could-have-been-what-can-still-be/4000-520185/,0 days 00:00:00,DC Comics
