,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Demon Knights,2011,13,Issue,2012-12-26,Comicvine,42811,360797,Demon Knights,2011,13, ,https://comicvine.gamespot.com/demon-knights-13-torment/4000-360797/,31 days 00:00:00,DC Comics
2,Demon Knights,2011,14,Issue,2013-01-26,Comicvine,42811,367675,Demon Knights,2011,14, ,https://comicvine.gamespot.com/demon-knights-14-occupy-hell/4000-367675/,33 days 00:00:00,DC Comics
3,Demon Knights,2011,15,Issue,2013-02-28,Comicvine,42811,372344,Demon Knights,2011,15, ,https://comicvine.gamespot.com/demon-knights-15-the-moment-of-forgetting/4000-372344/,66 days 00:00:00,DC Comics
4,All-Star Western,2011,13,Issue,2012-12-24,Comicvine,43019,363062,All-Star Western,2011,13, ,https://comicvine.gamespot.com/all-star-western-13-the-strange-case-of-dr-arkham-/4000-363062/,31 days 00:00:00,DC Comics
5,All-Star Western,2011,14,Issue,2013-01-24,Comicvine,43019,370278,All-Star Western,2011,14, ,https://comicvine.gamespot.com/all-star-western-14-hyde-in-america-tomahawk-part-/4000-370278/,33 days 00:00:00,DC Comics
6,All-Star Western,2011,15,Issue,2013-02-26,Comicvine,43019,376608,All-Star Western,2011,15, ,https://comicvine.gamespot.com/all-star-western-15-strange-medicine-tomahawk-part/4000-376608/,26 days 00:00:00,DC Comics
7,All-Star Western,2011,16,Issue,2013-03-24,Comicvine,43019,382772,All-Star Western,2011,16, ,https://comicvine.gamespot.com/all-star-western-16-its-a-madhouse-tomahawk-part-4/4000-382772/,113 days 00:00:00,DC Comics
8,Team 7,2012,1,Issue,2012-12-01,Comicvine,52046,360793,Team 7,2012,1, ,https://comicvine.gamespot.com/team-7-1-black-diamond-probability-mission-one-bla/4000-360793/,31 days 00:00:00,DC Comics
9,Team 7,2012,2,Issue,2013-01-01,Comicvine,52046,367685,Team 7,2012,2, ,https://comicvine.gamespot.com/team-7-2-black-diamond-probability-mission-12-lock/4000-367685/,31 days 00:00:00,DC Comics
10,Team 7,2012,3,Issue,2013-02-01,Comicvine,52046,372336,Team 7,2012,3, ,https://comicvine.gamespot.com/team-7-3-black-diamond-probability-mission-13-dark/4000-372336/,56 days 00:00:00,DC Comics
11,Team 7,2012,4,Issue,2013-03-29,Comicvine,52046,380320,Team 7,2012,4, ,https://comicvine.gamespot.com/team-7-4-black-diamond-probability-mission-14-the-/4000-380320/,30 days 00:00:00,DC Comics
12,Catwoman,2011,15,Issue,2013-02-27,Comicvine,42722,373261,Catwoman,2011,15, ,https://comicvine.gamespot.com/catwoman-15-in-the-zone/4000-373261/,27 days 00:00:00,DC Comics
13,Catwoman,2011,16,Issue,2013-03-26,Comicvine,42722,381390,Catwoman,2011,16, ,https://comicvine.gamespot.com/catwoman-16-battle-in-black/4000-381390/,66 days 00:00:00,DC Comics
14,Sword of Sorcery,2012,6,Issue,2013-05-31,Comicvine,52242,394657,Sword of Sorcery,2012,6, ,https://comicvine.gamespot.com/sword-of-sorcery-6-devils-bargin-cornered/4000-394657/,27 days 00:00:00,DC Comics
15,Sword of Sorcery,2012,7,Issue,2013-06-27,Comicvine,52242,397497,Sword of Sorcery,2012,7, ,https://comicvine.gamespot.com/sword-of-sorcery-7-eclipso-unleashed-hell-and-back/4000-397497/,30 days 00:00:00,DC Comics
16,Sword of Sorcery,2012,8,Issue,2013-07-27,Comicvine,52242,402245,Sword of Sorcery,2012,8, ,https://comicvine.gamespot.com/sword-of-sorcery-8-eclipsed/4000-402245/,0 days 00:00:00,DC Comics
