,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Batman/Superman,2019,1,Issue,2019-10-01,Comicvine,120912,717390,Batman/Superman,2019,1, ,https://comicvine.gamespot.com/batmansuperman-1-who-are-the-secret-six-part-one/4000-717390/,31 days 00:00:00,DC Comics
2,Batman/Superman,2019,2,Issue,2019-11-01,Comicvine,120912,720037,Batman/Superman,2019,2, ,https://comicvine.gamespot.com/batmansuperman-2-who-are-the-secret-six-part-two/4000-720037/,61 days 00:00:00,DC Comics
3,The Infected: King Shazam,2020,1,Issue,2020-01-01,Comicvine,122625,726007,The Infected: King Shazam,2019,1, ,https://comicvine.gamespot.com/the-infected-king-shazam-1-growing-pains/4000-726007/,31 days 00:00:00,DC Comics
4,Black Adam: Year of the Villain,2019,1,Issue,2019-12-01,Comicvine,122206,723827,Black Adam: Year of the Villain,2019,1, ,https://comicvine.gamespot.com/black-adam-year-of-the-villain-1-the-power-of-one/4000-723827/,0 days 00:00:00,DC Comics
5,Batman/Superman,2019,3,Issue,2019-12-01,Comicvine,120912,723826,Batman/Superman,2019,3, ,https://comicvine.gamespot.com/batmansuperman-3-who-are-the-secret-six-part-three/4000-723826/,31 days 00:00:00,DC Comics
6,The Infected: Scarab,2020,1,Issue,2020-01-01,Comicvine,122968,728322,The Infected: Scarab,2019,1, ,https://comicvine.gamespot.com/the-infected-scarab-1-metamorphosis/4000-728322/,0 days 00:00:00,DC Comics
7,Hawkman,2018,18,Issue,2020-01-01,Comicvine,111582,726907,Hawkman,2018,18, ,https://comicvine.gamespot.com/hawkman-18-tyrant-reborn-dual/4000-726907/,0 days 00:00:00,DC Comics
8,Batman/Superman,2019,4,Issue,2020-01-01,Comicvine,120912,728315,Batman/Superman,2019,4, ,https://comicvine.gamespot.com/batmansuperman-4-who-are-the-secret-six-part-four/4000-728315/,0 days 00:00:00,DC Comics
9,Supergirl,2016,36,Issue,2020-01-01,Comicvine,93948,728328,Supergirl,2016,36, ,https://comicvine.gamespot.com/supergirl-36-whos-laughing-now/4000-728328/,31 days 00:00:00,DC Comics
10,The Infected: Deathbringer,2020,1,Issue,2020-02-01,Comicvine,123225,729500,The Infected: Deathbringer,2019,1, ,https://comicvine.gamespot.com/the-infected-deathbringer-1-death-by-a-thousand-cu/4000-729500/,0 days 00:00:00,DC Comics
11,Hawkman,2018,19,Issue,2020-02-01,Comicvine,111582,730209,Hawkman,2018,19, ,https://comicvine.gamespot.com/hawkman-19-tyrant-reborn-better-half/4000-730209/,0 days 00:00:00,DC Comics
12,Supergirl,2016,37,Issue,2020-02-01,Comicvine,93948,730213,Supergirl,2016,37, ,https://comicvine.gamespot.com/supergirl-37-im-the-bad-guy/4000-730213/,31 days 00:00:00,DC Comics
13,Supergirl Vol. 7 Annual,2017,2,Issue,2020-01-01,Comicvine,103836,728906,Supergirl Annual,2016,2, ,https://comicvine.gamespot.com/supergirl-annual-2-the-best-day-of-her-life/4000-728906/,31 days 00:00:00,DC Comics
14,Batman/Superman,2019,5,Issue,2020-02-01,Comicvine,120912,731303,Batman/Superman,2019,5, ,https://comicvine.gamespot.com/batmansuperman-5-who-are-the-secret-six-conclusion/4000-731303/,0 days 00:00:00,DC Comics
15,The Infected: The Commissioner,2020,1,Issue,2020-02-01,Comicvine,123664,731309,The Infected: The Commissioner,2019,1, ,https://comicvine.gamespot.com/the-infected-the-commissioner-1-the-purge/4000-731309/,29 days 00:00:00,DC Comics
16,Supergirl,2016,38,Issue,2020-03-01,Comicvine,93948,732700,Supergirl,2016,38, ,https://comicvine.gamespot.com/supergirl-38-im-the-bad-guy-part-2/4000-732700/,0 days 00:00:00,DC Comics
17,Hawkman,2018,20,Issue,2020-03-01,Comicvine,111582,732698,Hawkman,2018,20, ,https://comicvine.gamespot.com/hawkman-20-deaths-doorway-part-one-passengers/4000-732698/,0 days 00:00:00,DC Comics
18,Batman/Superman,2019,6,Issue,2020-03-01,Comicvine,120912,734533,Batman/Superman,2019,6, ,https://comicvine.gamespot.com/batmansuperman-6-infection-aftermath/4000-734533/,31 days 00:00:00,DC Comics
19,Supergirl,2016,39,Issue,2020-04-01,Comicvine,93948,737007,Supergirl,2016,39, ,https://comicvine.gamespot.com/supergirl-39-im-the-bad-guy-part-3/4000-737007/,30 days 00:00:00,DC Comics
20,Supergirl,2016,40,Issue,2020-05-01,Comicvine,93948,743321,Supergirl,2016,40, ,https://comicvine.gamespot.com/supergirl-40-im-the-bad-guy-finale/4000-743321/,30 days 00:00:00,DC Comics
21,Hawkman,2018,21,Issue,2020-04-01,Comicvine,111582,737005,Hawkman,2018,21, ,https://comicvine.gamespot.com/hawkman-21-deaths-doorway-part-two-the-key/4000-737005/,30 days 00:00:00,DC Comics
22,Hawkman,2018,22,Issue,2020-05-01,Comicvine,111582,740566,Hawkman,2018,22, ,https://comicvine.gamespot.com/hawkman-22-deaths-doorway-conclusion-from-end-to-b/4000-740566/,31 days 00:00:00,DC Comics
23,Hawkman,2018,23,Issue,2020-06-01,Comicvine,111582,758370,Hawkman,2018,23, ,https://comicvine.gamespot.com/hawkman-23-miasma-of-fear/4000-758370/,0 days 00:00:00,DC Comics
