,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Batman Annual,1961,26,Issue,2007-10-01,Comicvine,3109,113983,Batman Annual,1961,26, ,https://comicvine.gamespot.com/issue/4000-113983/,61 days 00:00:00,DC Comics
2,Robin Vol. 4 Annual,1992,7,Issue,2007-12-01,Comicvine,9220,116458,Robin Annual,1992,7, ,https://comicvine.gamespot.com/issue/4000-116458/,0 days 00:00:00,DC Comics
3,Batman,1940,670,Issue,2007-12-01,Comicvine,796,116386,Batman,1940,670, ,https://comicvine.gamespot.com/issue/4000-116386/,31 days 00:00:00,DC Comics
4,Robin,1993,168,Issue,2008-01-01,Comicvine,4975,117065,Robin,1993,168, ,https://comicvine.gamespot.com/issue/4000-117065/,0 days 00:00:00,DC Comics
5,Nightwing,1996,138,Issue,2008-01-01,Comicvine,5755,117891,Nightwing,1996,138, ,https://comicvine.gamespot.com/issue/4000-117891/,0 days 00:00:00,DC Comics
6,Detective Comics,1937,838,Issue,2008-01-01,Comicvine,18058,118095,Detective Comics,1937,838, ,https://comicvine.gamespot.com/issue/4000-118095/,0 days 00:00:00,DC Comics
7,Batman,1940,671,Issue,2008-01-01,Comicvine,796,118739,Batman,1940,671, ,https://comicvine.gamespot.com/issue/4000-118739/,31 days 00:00:00,DC Comics
8,Robin,1993,169,Issue,2008-02-01,Comicvine,4975,119199,Robin,1993,169, ,https://comicvine.gamespot.com/issue/4000-119199/,0 days 00:00:00,DC Comics
9,Nightwing,1996,139,Issue,2008-02-01,Comicvine,5755,119903,Nightwing,1996,139, ,https://comicvine.gamespot.com/issue/4000-119903/,0 days 00:00:00,DC Comics
10,Detective Comics,1937,839,Issue,2008-02-01,Comicvine,18058,120251,Detective Comics,1937,839, ,https://comicvine.gamespot.com/issue/4000-120251/,0 days 00:00:00,DC Comics
