,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Action Comics,1938,715,Issue,1995-11-30,Comicvine,18005,115556,Action Comics,1938,715, ,https://comicvine.gamespot.com/issue/4000-115556/,29 days 00:00:00,DC Comics
2,Superman: Man of Steel,1991,50,Issue,1995-11-01,Comicvine,4571,41693,Superman: The Man of Steel,1991,50, ,https://comicvine.gamespot.com/issue/4000-41693/,0 days 00:00:00,DC Comics
3,Superman,1987,106,Issue,1995-11-01,Comicvine,3816,70811,Superman,1987,106, ,https://comicvine.gamespot.com/issue/4000-70811/,29 days 00:00:00,DC Comics
4,Adventures of Superman,1987,529,Issue,1995-11-30,Comicvine,3778,41596,Adventures of Superman,1987,529, ,https://comicvine.gamespot.com/issue/4000-41596/,31 days 00:00:00,DC Comics
5,Action Comics,1938,716,Issue,1995-12-31,Comicvine,18005,115518,Action Comics,1938,716, ,https://comicvine.gamespot.com/issue/4000-115518/,30 days 00:00:00,DC Comics
6,Superman: Man of Steel,1991,51,Issue,1995-12-01,Comicvine,4571,41816,Superman: The Man of Steel,1991,51, ,https://comicvine.gamespot.com/issue/4000-41816/,30 days 00:00:00,DC Comics
7,Superman,1987,107,Issue,1995-12-31,Comicvine,3816,70812,Superman,1987,107, ,https://comicvine.gamespot.com/issue/4000-70812/,30 days 00:00:00,DC Comics
8,Adventures of Superman,1987,530,Issue,1995-12-01,Comicvine,3778,41723,Adventures of Superman,1987,530, ,https://comicvine.gamespot.com/issue/4000-41723/,0 days 00:00:00,DC Comics
9,Superman: Man of Tomorrow,1995,3,Issue,1995-12-01,Comicvine,5523,41793,Superman: The Man of Tomorrow,1995,3, ,https://comicvine.gamespot.com/issue/4000-41793/,61 days 00:00:00,DC Comics
10,Action Comics,1938,717,Issue,1996-01-31,Comicvine,18005,115517,Action Comics,1938,717, ,https://comicvine.gamespot.com/issue/4000-115517/,30 days 00:00:00,DC Comics
11,Superman: Man of Steel,1991,52,Issue,1996-01-01,Comicvine,4571,42029,Superman: The Man of Steel,1991,52, ,https://comicvine.gamespot.com/issue/4000-42029/,30 days 00:00:00,DC Comics
12,Superman,1987,108,Issue,1996-01-31,Comicvine,3816,70813,Superman,1987,108, ,https://comicvine.gamespot.com/issue/4000-70813/,30 days 00:00:00,DC Comics
13,Adventures of Superman,1987,531,Issue,1996-01-01,Comicvine,3778,70916,Adventures of Superman,1987,531, ,https://comicvine.gamespot.com/issue/4000-70916/,0 days 00:00:00,DC Comics
