,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Justice League,2011,19,Issue,2013-06-30,Comicvine,42488,397492,Justice League,2011,19, ,https://comicvine.gamespot.com/justice-league-19-prologue-to-trinity-war-chapter-/4000-397492/,31 days 00:00:00,DC Comics
2,Justice League,2011,20,Issue,2013-07-31,Comicvine,42488,404659,Justice League,2011,20, ,https://comicvine.gamespot.com/justice-league-20-prologue-to-trinity-war-chapter-/4000-404659/,3 days 00:00:00,DC Comics
3,Justice League,2011,21,Issue,2013-08-03,Comicvine,42488,413614,Justice League,2011,21, ,https://comicvine.gamespot.com/justice-league-21-shazam-conclusion/4000-413614/,28 days 00:00:00,DC Comics
4,Trinity of Sin: Pandora,2013,1,Issue,2013-08-31,Comicvine,64655,415205,Trinity of Sin: Pandora,2013,1, ,https://comicvine.gamespot.com/trinity-of-sin-pandora-1-three-million-days-a-preq/4000-415205/,30 days 00:00:00,DC Comics
5,Justice League,2011,22,Issue,2013-09-30,Comicvine,42488,416903,Justice League,2011,22, ,https://comicvine.gamespot.com/justice-league-22-trinity-war-chapter-one-the-deat/4000-416903/,0 days 00:00:00,DC Comics
6,Justice League of America,2013,6,Issue,2013-09-30,Comicvine,57485,417790,Justice League of America,2013,6, ,https://comicvine.gamespot.com/justice-league-of-america-6-trinity-war-chapter-tw/4000-417790/,0 days 00:00:00,DC Comics
7,Justice League Dark,2011,22,Issue,2013-09-30,Comicvine,42996,418769,Justice League Dark,2011,22, ,https://comicvine.gamespot.com/justice-league-dark-22-trinity-war-chapter-three-h/4000-418769/,0 days 00:00:00,DC Comics
8,Constantine,2013,5,Issue,2013-09-30,Comicvine,59156,418777,Constantine,2013,5, ,https://comicvine.gamespot.com/constantine-5-stealing-thunder-a-trinity-war-inter/4000-418777/,1 days 00:00:00,DC Comics
9,Constantine,2013,6,Issue,2013-10-01,Comicvine,59156,421657,Constantine,2013,6, ,https://comicvine.gamespot.com/constantine-6-metamorphosis-in-extremis/4000-421657/,61 days 00:00:00,DC Comics
10,Constantine,2013,7,Issue,2013-12-01,Comicvine,59156,428254,Constantine,2013,7, ,https://comicvine.gamespot.com/constantine-7-game-over/4000-428254/,62 days 00:00:00,DC Comics
11,Trinity of Sin: Pandora,2013,2,Issue,2013-09-30,Comicvine,64655,419960,Trinity of Sin: Pandora,2013,2, ,https://comicvine.gamespot.com/trinity-of-sin-pandora-2-drawing-blood/4000-419960/,65 days 00:00:00,DC Comics
12,Trinity of Sin: Phantom Stranger,2012,8,Issue,2013-07-27,Comicvine,51843,400117,The Phantom Stranger,2012,8, ,https://comicvine.gamespot.com/issue/4000-400117/,96 days 00:00:00,DC Comics
13,Justice League of America,2013,7,Issue,2013-10-31,Comicvine,57485,421655,Justice League of America,2013,7, ,https://comicvine.gamespot.com/justice-league-of-america-7-trinity-war-chapter-fo/4000-421655/,62 days 00:00:00,DC Comics
14,Constantine,2013,8,Issue,2014-01-01,Comicvine,59156,433114,Constantine,2013,8, ,https://comicvine.gamespot.com/constantine-8-spot-the-hustle/4000-433114/,92 days 00:00:00,DC Comics
15,Trinity of Sin: Pandora,2013,3,Issue,2013-10-01,Comicvine,64655,422438,Trinity of Sin: Pandora,2013,3, ,https://comicvine.gamespot.com/trinity-of-sin-pandora-3-kick-the-flood/4000-422438/,30 days 00:00:00,DC Comics
16,Justice League Dark,2011,23,Issue,2013-10-31,Comicvine,42996,422431,Justice League Dark,2011,23, ,https://comicvine.gamespot.com/justice-league-dark-23-trinity-war-chapter-five/4000-422431/,0 days 00:00:00,DC Comics
17,Justice League,2011,23,Issue,2013-10-31,Comicvine,42488,423616,Justice League,2011,23, ,https://comicvine.gamespot.com/justice-league-23-trinity-war-chapter-six-conclusi/4000-423616/,0 days 00:00:00,DC Comics
