,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Underworld Unleashed,1995,1,Issue,1995-11-30,Comicvine,5526,41625,Underworld Unleashed,1995,1, ,https://comicvine.gamespot.com/underworld-unleashed-1/4000-41625/,29 days 00:00:00,DC Comics
2,Aquaman,1994,14,Issue,1995-11-01,Comicvine,5230,41661,Aquaman,1994,14, ,https://comicvine.gamespot.com/aquaman-14-lamentations/4000-41661/,29 days 00:00:00,DC Comics
3,"Underworld Unleashed: Apokolips, Dark Uprising",1995,1,Issue,1995-11-30,Comicvine,22670,135962,Underworld Unleashed: Apokolips,1995,1, ,https://comicvine.gamespot.com/underworld-unleashed-apokolips-1-dark-uprising/4000-135962/,0 days 00:00:00,DC Comics
4,Azrael,1995,10,Issue,1995-11-30,Comicvine,5490,41598,Azrael,1995,10, ,https://comicvine.gamespot.com/azrael-10-arena/4000-41598/,29 days 00:00:00,DC Comics
5,Manhunter,1988,12,Issue,1995-11-01,Comicvine,22970,138406,Manhunter,1994,12, ,https://comicvine.gamespot.com/issue/4000-138406/,29 days 00:00:00,DC Comics
6,Damage,1994,18,Issue,1995-11-30,Comicvine,5242,41602,Damage,1994,18, ,https://comicvine.gamespot.com/issue/4000-41602/,0 days 00:00:00,DC Comics
7,Guy Gardner: Warrior,1994,36,Issue,1995-11-30,Comicvine,11894,104104,Guy Gardner: Warrior,1994,36, ,https://comicvine.gamespot.com/issue/4000-104104/,0 days 00:00:00,DC Comics
8,Extreme Justice,1995,10,Issue,1995-11-30,Comicvine,5505,41603,Extreme Justice,1995,10, ,https://comicvine.gamespot.com/issue/4000-41603/,29 days 00:00:00,DC Comics
9,The Flash,1987,107,Issue,1995-11-01,Comicvine,3790,41604,The Flash,1987,107, ,https://comicvine.gamespot.com/issue/4000-41604/,0 days 00:00:00,DC Comics
10,Primal Force,1994,13,Issue,1995-11-01,Comicvine,5253,41666,Primal Force,1994,13, ,https://comicvine.gamespot.com/issue/4000-41666/,0 days 00:00:00,DC Comics
11,The Spectre,1992,35,Issue,1995-11-01,Comicvine,4754,41618,The Spectre,1992,35, ,https://comicvine.gamespot.com/the-spectre-35-evil-intent/4000-41618/,29 days 00:00:00,DC Comics
12,Starman,1994,12,Issue,1995-10-03,Comicvine,5259,41496,Starman,1994,12, ,https://comicvine.gamespot.com/issue/4000-41496/,31 days 00:00:00,DC Comics
13,Starman,1994,13,Issue,1995-11-03,Comicvine,5259,41622,Starman,1994,13, ,https://comicvine.gamespot.com/issue/4000-41622/,30 days 00:00:00,DC Comics
14,Starman,1994,14,Issue,1995-12-03,Comicvine,5259,41749,Starman,1994,14, ,https://comicvine.gamespot.com/issue/4000-41749/,31 days 00:00:00,DC Comics
15,Starman,1994,15,Issue,1996-01-03,Comicvine,5259,41971,Starman,1994,15, ,https://comicvine.gamespot.com/issue/4000-41971/,31 days 00:00:00,DC Comics
16,Starman,1994,16,Issue,1996-02-03,Comicvine,5259,42081,Starman,1994,16, ,https://comicvine.gamespot.com/issue/4000-42081/,64 days 00:00:00,DC Comics
17,Robin,1993,23,Issue,1995-12-01,Comicvine,4975,41741,Robin,1993,23, ,https://comicvine.gamespot.com/robin-23-buggin/4000-41741/,31 days 00:00:00,DC Comics
18,Robin,1993,24,Issue,1996-01-01,Comicvine,4975,41963,Robin,1993,24, ,https://comicvine.gamespot.com/robin-24-insects-and-violence/4000-41963/,61 days 00:00:00,DC Comics
19,Hawkman,1993,26,Issue,1995-11-01,Comicvine,4962,137402,Hawkman,1993,26, ,https://comicvine.gamespot.com/issue/4000-137402/,0 days 00:00:00,DC Comics
20,Justice League America,1989,105,Issue,1995-11-01,Comicvine,4198,41609,Justice League America,1989,105, ,https://comicvine.gamespot.com/issue/4000-41609/,0 days 00:00:00,DC Comics
21,R.E.B.E.L.S. ’95,1994,13,Issue,1995-11-01,Comicvine,18426,122322,R.E.B.E.L.S.,1994,13, ,https://comicvine.gamespot.com/issue/4000-122322/,0 days 00:00:00,DC Comics
22,Steel,1994,21,Issue,1995-11-01,Comicvine,5260,136324,Steel,1994,21, ,https://comicvine.gamespot.com/issue/4000-136324/,0 days 00:00:00,DC Comics
23,Green Lantern,1990,68,Issue,1995-11-01,Comicvine,4363,41605,Green Lantern,1990,68, ,https://comicvine.gamespot.com/issue/4000-41605/,29 days 00:00:00,DC Comics
24,Green Arrow,1988,102,Issue,1995-11-30,Comicvine,4003,66788,Green Arrow,1988,102, ,https://comicvine.gamespot.com/green-arrow-102-jaguar-moon/4000-66788/,29 days 00:00:00,DC Comics
25,Impulse,1995,8,Issue,1995-11-01,Comicvine,5509,41607,Impulse,1995,8, ,https://comicvine.gamespot.com/issue/4000-41607/,0 days 00:00:00,DC Comics
26,Detective Comics,1937,691,Issue,1995-11-01,Comicvine,18058,113153,Detective Comics,1937,691, ,https://comicvine.gamespot.com/detective-comics-691-will-it-go-round-in-circles/4000-113153/,29 days 00:00:00,DC Comics
27,Ray,1994,18,Issue,1995-11-30,Comicvine,20587,123402,The Ray,1994,18, ,https://comicvine.gamespot.com/issue/4000-123402/,0 days 00:00:00,DC Comics
28,Fate,1994,13,Issue,1995-11-30,Comicvine,5243,226478,Fate,1994,13, ,https://comicvine.gamespot.com/issue/4000-226478/,31 days 00:00:00,DC Comics
29,Underworld Unleashed,1995,2,Issue,1995-12-31,Comicvine,5526,41753,Underworld Unleashed,1995,2, ,https://comicvine.gamespot.com/underworld-unleashed-2/4000-41753/,30 days 00:00:00,DC Comics
30,Adventures of Superman,1987,530,Issue,1995-12-01,Comicvine,3778,41723,Adventures of Superman,1987,530, ,https://comicvine.gamespot.com/issue/4000-41723/,0 days 00:00:00,DC Comics
31,Superman: Man of Tomorrow,1995,3,Issue,1995-12-01,Comicvine,5523,41793,Superman: The Man of Tomorrow,1995,3, ,https://comicvine.gamespot.com/issue/4000-41793/,30 days 00:00:00,DC Comics
32,"Underworld Unleashed: Abyss, Hell’s Sentinel",1995,1,Issue,1995-12-31,Comicvine,22671,135963,Underworld Unleashed: Abyss - Hell's Sentinel,1995,1, ,https://comicvine.gamespot.com/underworld-unleashed-abyss-hells-sentinel-1-over-d/4000-135963/,0 days 00:00:00,DC Comics
33,Batman,1940,525,Issue,1995-12-31,Comicvine,796,41725,Batman,1940,525, ,https://comicvine.gamespot.com/batman-525-frozen-assets/4000-41725/,0 days 00:00:00,DC Comics
34,"Underworld Unleashed: Batman, Devil’s Asylum",1995,1,Issue,1995-12-31,Comicvine,22656,135921,Underworld Unleashed: Batman - Devil's Asylum,1995,1, ,https://comicvine.gamespot.com/underworld-unleashed-batman-devils-asylum-1/4000-135921/,30 days 00:00:00,DC Comics
35,Catwoman,1993,27,Issue,1995-12-01,Comicvine,4955,41798,Catwoman,1993,27, ,https://comicvine.gamespot.com/issue/4000-41798/,30 days 00:00:00,DC Comics
36,Damage,1994,19,Issue,1995-12-31,Comicvine,5242,41729,Damage,1994,19, ,https://comicvine.gamespot.com/issue/4000-41729/,60 days 00:00:00,DC Comics
37,Deathstroke the Terminator,1991,53,Issue,1995-11-01,Comicvine,9645,109163,Deathstroke the Terminator,1991,53, ,https://comicvine.gamespot.com/deathstroke-the-terminator-53-the-borgia-plague-pa/4000-109163/,60 days 00:00:00,DC Comics
38,Extreme Justice,1995,11,Issue,1995-12-31,Comicvine,5505,41731,Extreme Justice,1995,11, ,https://comicvine.gamespot.com/issue/4000-41731/,0 days 00:00:00,DC Comics
39,Green Arrow,1988,103,Issue,1995-12-31,Comicvine,4003,66789,Green Arrow,1988,103, ,https://comicvine.gamespot.com/green-arrow-103-gods-and-tourists/4000-66789/,30 days 00:00:00,DC Comics
40,Green Lantern,1990,69,Issue,1995-12-01,Comicvine,4363,41733,Green Lantern,1990,69, ,https://comicvine.gamespot.com/issue/4000-41733/,30 days 00:00:00,DC Comics
41,Guy Gardner: Warrior,1994,37,Issue,1995-12-31,Comicvine,11894,104105,Guy Gardner: Warrior,1994,37, ,https://comicvine.gamespot.com/issue/4000-104105/,30 days 00:00:00,DC Comics
42,Hawkman,1993,27,Issue,1995-12-01,Comicvine,4962,137403,Hawkman,1993,27, ,https://comicvine.gamespot.com/issue/4000-137403/,0 days 00:00:00,DC Comics
43,Justice League America,1989,106,Issue,1995-12-01,Comicvine,4198,41737,Justice League America,1989,106, ,https://comicvine.gamespot.com/issue/4000-41737/,0 days 00:00:00,DC Comics
