,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,War Of The Gods,1991,1,Issue,1991-09-01,Comicvine,4572,34624,War of the Gods,1991,1, ,https://comicvine.gamespot.com/war-of-the-gods-1-hellfire-s-web/4000-34624/,29 days 00:00:00,DC Comics
2,Wonder Woman,1987,58,Issue,1991-09-30,Comicvine,3824,34626,Wonder Woman,1987,58, ,https://comicvine.gamespot.com/wonder-woman-58-atlas-shrugged/4000-34626/,29 days 00:00:00,DC Comics
3,Superman: Man of Steel,1991,3,Issue,1991-09-01,Comicvine,4571,34676,Superman: The Man of Steel,1991,3, ,https://comicvine.gamespot.com/issue/4000-34676/,0 days 00:00:00,DC Comics
4,Hawkworld,1990,15,Issue,1991-09-01,Comicvine,4365,34605,Hawkworld,1990,15, ,https://comicvine.gamespot.com/hawkworld-15-war-of-the-gods-part-4-the-hounds-of-/4000-34605/,29 days 00:00:00,DC Comics
5,Starman,1988,38,Issue,1991-09-30,Comicvine,4028,34621,Starman,1988,38, ,https://comicvine.gamespot.com/issue/4000-34621/,29 days 00:00:00,DC Comics
6,L.E.G.I.O.N.,1989,31,Issue,1991-09-01,Comicvine,18909,114685,L.E.G.I.O.N.,1989,31, ,https://comicvine.gamespot.com/issue/4000-114685/,60 days 00:00:00,DC Comics
7,Hawk & Dove,1989,28,Issue,1991-10-31,Comicvine,4191,34804,Hawk and Dove,1989,28, ,https://comicvine.gamespot.com/issue/4000-34804/,91 days 00:00:00,DC Comics
8,Captain Atom,1987,56,Issue,1991-08-01,Comicvine,3782,34482,Captain Atom,1987,56, ,https://comicvine.gamespot.com/issue/4000-34482/,31 days 00:00:00,DC Comics
9,Doctor Fate,1988,32,Issue,1991-09-01,Comicvine,3995,34598,Doctor Fate,1988,32, ,https://comicvine.gamespot.com/issue/4000-34598/,30 days 00:00:00,DC Comics
10,The Flash,1987,55,Issue,1991-10-01,Comicvine,3790,34723,The Flash,1987,55, ,https://comicvine.gamespot.com/issue/4000-34723/,30 days 00:00:00,DC Comics
11,Wonder Woman,1987,59,Issue,1991-10-31,Comicvine,3824,34747,Wonder Woman,1987,59, ,https://comicvine.gamespot.com/wonder-woman-59-battle-front/4000-34747/,30 days 00:00:00,DC Comics
12,Doctor Fate,1988,33,Issue,1991-10-01,Comicvine,3995,34721,Doctor Fate,1988,33, ,https://comicvine.gamespot.com/issue/4000-34721/,0 days 00:00:00,DC Comics
13,War Of The Gods,1991,2,Issue,1991-10-01,Comicvine,4572,34745,War of the Gods,1991,2, ,https://comicvine.gamespot.com/war-of-the-gods-2-the-holy-wars/4000-34745/,30 days 00:00:00,DC Comics
14,Batman,1940,470,Issue,1991-10-31,Comicvine,796,34718,Batman,1940,470, ,https://comicvine.gamespot.com/batman-470-war-of-the-gods-part-15-of-gods-and-men/4000-34718/,30 days 00:00:00,DC Comics
15,Hawkworld,1990,16,Issue,1991-10-01,Comicvine,4365,34726,Hawkworld,1990,16, ,https://comicvine.gamespot.com/hawkworld-16-war-of-the-gods-part-16-brothers-and-/4000-34726/,0 days 00:00:00,DC Comics
16,Animal Man,1988,40,Issue,1991-10-01,Comicvine,3976,34716,Animal Man,1988,40, ,https://comicvine.gamespot.com/animal-man-40-bear-claw-soup/4000-34716/,30 days 00:00:00,DC Comics
17,Captain Atom,1987,57,Issue,1991-09-01,Comicvine,3782,34595,Captain Atom,1987,57, ,https://comicvine.gamespot.com/issue/4000-34595/,60 days 00:00:00,DC Comics
18,Suicide Squad,1987,58,Issue,1991-10-31,Comicvine,3815,34796,Suicide Squad,1987,58, ,https://comicvine.gamespot.com/suicide-squad-58-suicide-attack/4000-34796/,30 days 00:00:00,DC Comics
19,Wonder Woman,1987,60,Issue,1991-11-30,Comicvine,3824,34859,Wonder Woman,1987,60, ,https://comicvine.gamespot.com/wonder-woman-60-blood-and-sand/4000-34859/,29 days 00:00:00,DC Comics
20,War Of The Gods,1991,3,Issue,1991-11-01,Comicvine,4572,34857,War of the Gods,1991,3, ,https://comicvine.gamespot.com/war-of-the-gods-3-casualties-of-war/4000-34857/,0 days 00:00:00,DC Comics
21,The Demon,1990,17,Issue,1991-11-01,Comicvine,4358,69777,The Demon,1990,17, ,https://comicvine.gamespot.com/issue/4000-69777/,30 days 00:00:00,DC Comics
22,New Titans,1988,81,Issue,1991-12-01,Comicvine,4014,74651,The New Titans,1988,81, ,https://comicvine.gamespot.com/issue/4000-74651/,31 days 00:00:00,DC Comics
23,Wonder Woman,1987,61,Issue,1992-01-01,Comicvine,3824,35245,Wonder Woman,1987,61, ,https://comicvine.gamespot.com/wonder-woman-61-to-avenge-an-amazon/4000-35245/,31 days 00:00:00,DC Comics
24,War Of The Gods,1991,4,Issue,1991-12-01,Comicvine,4572,34981,War of the Gods,1991,4, ,https://comicvine.gamespot.com/war-of-the-gods-4-in-the-beginningthere-was-the-en/4000-34981/,0 days 00:00:00,DC Comics
