,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Green Lantern: Emerald Warriors,2010,7,Issue,2011-04-01,Comicvine,34838,261123,Green Lantern: Emerald Warriors,2010,7, ,https://comicvine.gamespot.com/green-lantern-emerald-warriors-7-last-will-seeing-/4000-261123/,30 days 00:00:00,DC Comics
2,Green Lantern,2005,63,Issue,2011-05-01,Comicvine,18216,264584,Green Lantern,2005,63, ,https://comicvine.gamespot.com/green-lantern-63-war-of-the-green-lanterns-prologu/4000-264584/,0 days 00:00:00,DC Comics
3,Green Lantern,2005,64,Issue,2011-05-01,Comicvine,18216,266498,Green Lantern,2005,64, ,https://comicvine.gamespot.com/green-lantern-64-war-of-the-green-lanterns-part-on/4000-266498/,0 days 00:00:00,DC Comics
4,Green Lantern Corps,2006,58,Issue,2011-05-01,Comicvine,18248,266497,Green Lantern Corps,2006,58, ,https://comicvine.gamespot.com/green-lantern-corps-58-war-of-the-green-lanterns-p/4000-266497/,0 days 00:00:00,DC Comics
5,Green Lantern: Emerald Warriors,2010,8,Issue,2011-05-01,Comicvine,34838,267101,Green Lantern: Emerald Warriors,2010,8, ,https://comicvine.gamespot.com/green-lantern-emerald-warriors-8-war-of-the-green-/4000-267101/,60 days 00:00:00,DC Comics
6,Green Lantern,2005,65,Issue,2011-06-30,Comicvine,18216,268723,Green Lantern,2005,65, ,https://comicvine.gamespot.com/green-lantern-65-war-of-the-green-lanterns-part-fo/4000-268723/,29 days 00:00:00,DC Comics
7,Green Lantern Corps,2006,59,Issue,2011-06-01,Comicvine,18248,268722,Green Lantern Corps,2006,59, ,https://comicvine.gamespot.com/green-lantern-corps-59-war-of-the-green-lanterns-p/4000-268722/,0 days 00:00:00,DC Comics
8,Green Lantern: Emerald Warriors,2010,9,Issue,2011-06-01,Comicvine,34838,268972,Green Lantern: Emerald Warriors,2010,9, ,https://comicvine.gamespot.com/green-lantern-emerald-warriors-9-war-of-the-green-/4000-268972/,30 days 00:00:00,DC Comics
9,Green Lantern Corps,2006,60,Issue,2011-07-01,Comicvine,18248,271428,Green Lantern Corps,2006,60, ,https://comicvine.gamespot.com/green-lantern-corps-60-war-of-the-green-lanterns-p/4000-271428/,0 days 00:00:00,DC Comics
10,Green Lantern: Emerald Warriors,2010,10,Issue,2011-07-01,Comicvine,34838,271427,Green Lantern: Emerald Warriors,2010,10, ,https://comicvine.gamespot.com/green-lantern-emerald-warriors-10-war-of-the-green/4000-271427/,31 days 00:00:00,DC Comics
11,Green Lantern,2005,67,Issue,2011-08-01,Comicvine,18216,278617,Green Lantern,2005,67, ,https://comicvine.gamespot.com/green-lantern-67-war-of-the-green-lanterns-part-te/4000-278617/,48 days 00:00:00,DC Comics
12,War of the Green Lanterns: Aftermath,2011,1,Issue,2011-09-18,Comicvine,41402,280150,War of the Green Lanterns: Aftermath,2011,1, ,https://comicvine.gamespot.com/war-of-the-green-lanterns-aftermath-1-part-one/4000-280150/,43 days 00:00:00,DC Comics
13,War of the Green Lanterns: Aftermath,2011,2,Issue,2011-10-31,Comicvine,41402,285345,War of the Green Lanterns: Aftermath,2011,2, ,https://comicvine.gamespot.com/war-of-the-green-lanterns-aftermath-2-part-two/4000-285345/,0 days 00:00:00,DC Comics
