,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Superman: Man of Steel,1991,35,Issue,1994-07-31,Comicvine,4571,39418,Superman: The Man of Steel,1991,35, ,https://comicvine.gamespot.com/issue/4000-39418/,30 days 00:00:00,DC Comics
2,Hardware,1993,17,Issue,1994-07-01,Comicvine,5213,39386,Hardware,1993,17, ,https://comicvine.gamespot.com/issue/4000-39386/,0 days 00:00:00,Milestone
3,Superboy,1994,6,Issue,1994-07-01,Comicvine,5261,39339,Superboy,1994,6, ,https://comicvine.gamespot.com/issue/4000-39339/,0 days 00:00:00,DC Comics
4,Icon,1993,15,Issue,1994-07-01,Comicvine,5214,39387,Icon,1993,15, ,https://comicvine.gamespot.com/issue/4000-39387/,0 days 00:00:00,Milestone
5,Steel,1994,6,Issue,1994-07-01,Comicvine,5260,136290,Steel,1994,6, ,https://comicvine.gamespot.com/issue/4000-136290/,0 days 00:00:00,DC Comics
6,Blood Syndicate,1993,16,Issue,1994-07-01,Comicvine,5212,39385,Blood Syndicate,1993,16, ,https://comicvine.gamespot.com/issue/4000-39385/,30 days 00:00:00,Milestone
7,Worlds Collide,1994,1,Issue,1994-07-31,Comicvine,26647,159585,Worlds Collide,1994,1, ,https://comicvine.gamespot.com/worlds-collide-1-how-can-you-be-in-two-places-at-o/4000-159585/,1 days 00:00:00,Milestone
8,Superboy,1994,7,Issue,1994-08-01,Comicvine,5261,39477,Superboy,1994,7, ,https://comicvine.gamespot.com/issue/4000-39477/,30 days 00:00:00,DC Comics
9,Hardware,1993,18,Issue,1994-08-31,Comicvine,5213,39519,Hardware,1993,18, ,https://comicvine.gamespot.com/issue/4000-39519/,0 days 00:00:00,Milestone
10,Superman: Man of Steel,1991,36,Issue,1994-08-31,Comicvine,4571,39562,Superman: The Man of Steel,1991,36, ,https://comicvine.gamespot.com/issue/4000-39562/,30 days 00:00:00,DC Comics
11,Icon,1993,16,Issue,1994-08-01,Comicvine,5214,39520,Icon,1993,16, ,https://comicvine.gamespot.com/issue/4000-39520/,0 days 00:00:00,Milestone
12,Steel,1994,7,Issue,1994-08-01,Comicvine,5260,136294,Steel,1994,7, ,https://comicvine.gamespot.com/issue/4000-136294/,0 days 00:00:00,DC Comics
13,Blood Syndicate,1993,17,Issue,1994-08-01,Comicvine,5212,39518,Blood Syndicate,1993,17, ,https://comicvine.gamespot.com/issue/4000-39518/,0 days 00:00:00,Milestone
14,Static,1993,14,Issue,1994-08-01,Comicvine,5215,39523,Static,1993,14, ,https://comicvine.gamespot.com/issue/4000-39523/,0 days 00:00:00,Milestone
