,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Green Lantern,2011,17,Issue,2013-04-30,Comicvine,42808,387215,Green Lantern,2011,17, ,https://comicvine.gamespot.com/green-lantern-17-wrath-of-the-first-lantern-part-o/4000-387215/,0 days 00:00:00,DC Comics
2,Green Lantern Corps,2011,17,Issue,2013-04-30,Comicvine,42916,387216,Green Lantern Corps,2011,17, ,https://comicvine.gamespot.com/green-lantern-corps-17-wrath-of-the-first-lantern-/4000-387216/,0 days 00:00:00,DC Comics
3,Green Lantern: New Guardians,2011,17,Issue,2013-04-30,Comicvine,43007,387217,Green Lantern: New Guardians,2011,17, ,https://comicvine.gamespot.com/green-lantern-new-guardians-17-wrath-of-the-first-/4000-387217/,0 days 00:00:00,DC Comics
4,Red Lanterns,2011,17,Issue,2013-04-30,Comicvine,42804,388535,Red Lanterns,2011,17, ,https://comicvine.gamespot.com/red-lanterns-17-wrath-of-the-first-lantern-part-fo/4000-388535/,31 days 00:00:00,DC Comics
5,Green Lantern,2011,18,Issue,2013-05-31,Comicvine,42808,390401,Green Lantern,2011,18, ,https://comicvine.gamespot.com/green-lantern-18-wrath-of-the-first-lantern-part-f/4000-390401/,0 days 00:00:00,DC Comics
6,Green Lantern Corps,2011,18,Issue,2013-05-31,Comicvine,42916,392313,Green Lantern Corps,2011,18, ,https://comicvine.gamespot.com/green-lantern-corps-18-wrath-of-the-first-lantern-/4000-392313/,1 days 00:00:00,DC Comics
7,Green Lantern: New Guardians,2011,18,Issue,2013-05-30,Comicvine,43007,394658,Green Lantern: New Guardians,2011,18, ,https://comicvine.gamespot.com/green-lantern-new-guardians-18-wrath-of-the-first-/4000-394658/,1 days 00:00:00,DC Comics
8,Red Lanterns,2011,18,Issue,2013-05-31,Comicvine,42804,395305,Red Lanterns,2011,18, ,https://comicvine.gamespot.com/red-lanterns-18-wrath-of-the-first-lantern-part-ei/4000-395305/,1 days 00:00:00,DC Comics
9,Green Lantern,2011,19,Issue,2013-06-01,Comicvine,42808,395678,Green Lantern,2011,19, ,https://comicvine.gamespot.com/green-lantern-19-wrath-of-the-first-lantern-part-n/4000-395678/,29 days 00:00:00,DC Comics
10,Green Lantern Corps,2011,19,Issue,2013-06-30,Comicvine,42916,396385,Green Lantern Corps,2011,19, ,https://comicvine.gamespot.com/green-lantern-corps-19-wrath-of-the-first-lantern-/4000-396385/,4 days 00:00:00,DC Comics
11,Green Lantern: New Guardians,2011,19,Issue,2013-06-26,Comicvine,43007,397495,Green Lantern: New Guardians,2011,19, ,https://comicvine.gamespot.com/green-lantern-new-guardians-19-wrath-of-the-first-/4000-397495/,25 days 00:00:00,DC Comics
12,Red Lanterns,2011,19,Issue,2013-06-01,Comicvine,42804,398955,Red Lanterns,2011,19, ,https://comicvine.gamespot.com/red-lanterns-19-the-death-of-atrocitus/4000-398955/,60 days 00:00:00,DC Comics
13,Green Lantern,2011,20,Issue,2013-07-31,Comicvine,42808,404656,Green Lantern,2011,20, ,https://comicvine.gamespot.com/green-lantern-20-the-end/4000-404656/,0 days 00:00:00,DC Comics
14,Green Lantern Corps,2011,20,Issue,2013-07-31,Comicvine,42916,401178,Green Lantern Corps,2011,20, ,https://comicvine.gamespot.com/green-lantern-corps-20-coda/4000-401178/,0 days 00:00:00,DC Comics
15,Green Lantern: New Guardians,2011,20,Issue,2013-07-31,Comicvine,43007,404667,Green Lantern: New Guardians,2011,20, ,https://comicvine.gamespot.com/green-lantern-new-guardians-20-reunion/4000-404667/,0 days 00:00:00,DC Comics
16,Red Lanterns,2011,20,Issue,2013-07-31,Comicvine,42804,404668,Red Lanterns,2011,20, ,https://comicvine.gamespot.com/red-lanterns-20-a-death-long-coming/4000-404668/,0 days 00:00:00,DC Comics
