,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Showcase ‘94,1994,8,Issue,1994-07-01,Comicvine,21865,134773,Showcase '94,1994,8, ,https://comicvine.gamespot.com/issue/4000-134773/,31 days 00:00:00,DC Comics
2,Showcase ‘94,1994,9,Issue,1994-08-01,Comicvine,21865,134774,Showcase '94,1994,9, ,https://comicvine.gamespot.com/issue/4000-134774/,0 days 00:00:00,DC Comics
3,The Outsiders,1985,10,Issue,1994-08-01,Comicvine,22453,134914,Outsiders,1993,10, ,https://comicvine.gamespot.com/issue/4000-134914/,1 days 00:00:00,DC Comics
4,The Flash,1987,92,Issue,1994-07-31,Comicvine,3790,39322,The Flash,1987,92, ,https://comicvine.gamespot.com/issue/4000-39322/,31 days 00:00:00,DC Comics
5,The Flash,1987,93,Issue,1994-08-31,Comicvine,3790,39461,The Flash,1987,93, ,https://comicvine.gamespot.com/issue/4000-39461/,31 days 00:00:00,DC Comics
6,Valor,1992,21,Issue,1994-07-31,Comicvine,4759,39619,Valor,1992,21, ,https://comicvine.gamespot.com/valor-21-sudden-death-overtime-part-two-two-minute/4000-39619/,30 days 00:00:00,DC Comics
7,Legionaires,1993,16,Issue,1994-07-01,Comicvine,4971,39330,Legionnaires,1993,16, ,https://comicvine.gamespot.com/issue/4000-39330/,29 days 00:00:00,DC Comics
8,Legion of Super-Heroes,1989,59,Issue,1994-07-30,Comicvine,4201,39420,Legion of Super-Heroes,1989,59, ,https://comicvine.gamespot.com/legion-of-super-heroes-59-earthfall/4000-39420/,2 days 00:00:00,DC Comics
9,Legionaires,1993,17,Issue,1994-08-01,Comicvine,4971,39469,Legionnaires,1993,17, ,https://comicvine.gamespot.com/issue/4000-39469/,30 days 00:00:00,DC Comics
10,Valor,1992,22,Issue,1994-08-31,Comicvine,4759,39765,Valor,1992,22, ,https://comicvine.gamespot.com/valor-22-end-of-an-era-part-two-the-center-cannot-/4000-39765/,14 days 00:00:00,DC Comics
11,Legion of Super-Heroes,1989,60,Issue,1994-08-17,Comicvine,4201,39564,Legion of Super-Heroes,1989,60, ,https://comicvine.gamespot.com/legion-of-super-heroes-60-end-of-an-era-part-three/4000-39564/,44 days 00:00:00,DC Comics
12,The Flash,1987,94,Issue,1994-09-30,Comicvine,3790,39600,The Flash,1987,94, ,https://comicvine.gamespot.com/issue/4000-39600/,0 days 00:00:00,DC Comics
13,The Outsiders,1985,11,Issue,1994-09-30,Comicvine,22453,134772,Outsiders,1993,11, ,https://comicvine.gamespot.com/issue/4000-134772/,0 days 00:00:00,DC Comics
14,Zero Hour: Crisis in Time,1994,0,Issue,1994-09-30,Comicvine,5271,39711,Zero Hour: Crisis in Time,1994,0, ,https://comicvine.gamespot.com/zero-hour-crisis-in-time-0-zero-hour/4000-39711/,29 days 00:00:00,DC Comics
15,Darkstars,1992,24,Issue,1994-09-01,Comicvine,7273,76343,Darkstars,1992,24, ,https://comicvine.gamespot.com/issue/4000-76343/,29 days 00:00:00,DC Comics
16,Batman,1940,511,Issue,1994-09-30,Comicvine,796,39595,Batman,1940,511, ,https://comicvine.gamespot.com/batman-511-the-night-before-zero/4000-39595/,0 days 00:00:00,DC Comics
17,Superman: Man of Steel,1991,37,Issue,1994-09-30,Comicvine,4571,39698,Superman: The Man of Steel,1991,37, ,https://comicvine.gamespot.com/issue/4000-39698/,0 days 00:00:00,DC Comics
18,Green Lantern,1990,55,Issue,1994-09-30,Comicvine,4363,39601,Green Lantern,1990,55, ,https://comicvine.gamespot.com/issue/4000-39601/,29 days 00:00:00,DC Comics
19,Legionaires,1993,18,Issue,1994-09-01,Comicvine,4971,39609,Legionnaires,1993,18, ,https://comicvine.gamespot.com/issue/4000-39609/,0 days 00:00:00,DC Comics
20,Valor,1992,23,Issue,1994-09-01,Comicvine,4759,39911,Valor,1992,23, ,https://comicvine.gamespot.com/valor-23-end-of-an-era-part-5-infinite-valor/4000-39911/,0 days 00:00:00,DC Comics
21,Superboy,1994,8,Issue,1994-09-01,Comicvine,5261,39617,Superboy,1994,8, ,https://comicvine.gamespot.com/issue/4000-39617/,29 days 00:00:00,DC Comics
22,Superman,1987,93,Issue,1994-09-30,Comicvine,3816,113931,Superman,1987,93, ,https://comicvine.gamespot.com/superman-93-home/4000-113931/,29 days 00:00:00,DC Comics
23,Hawkman,1993,13,Issue,1994-09-01,Comicvine,4962,39602,Hawkman,1993,13, ,https://comicvine.gamespot.com/issue/4000-39602/,0 days 00:00:00,DC Comics
24,Steel,1994,8,Issue,1994-09-01,Comicvine,5260,136313,Steel,1994,8, ,https://comicvine.gamespot.com/issue/4000-136313/,29 days 00:00:00,DC Comics
25,Zero Hour: Crisis in Time,1994,3,Issue,1994-09-30,Comicvine,5271,39705,Zero Hour: Crisis in Time,1994,3, ,https://comicvine.gamespot.com/zero-hour-crisis-in-time-3-zero-hour/4000-39705/,0 days 00:00:00,DC Comics
26,Shadow of the Bat,1992,31,Issue,1994-09-30,Comicvine,4724,39697,Batman: Shadow of the Bat,1992,31, ,https://comicvine.gamespot.com/batman-shadow-of-the-bat-31-the-battling-butler/4000-39697/,29 days 00:00:00,DC Comics
27,Justice League America,1989,92,Issue,1994-09-01,Comicvine,4198,39605,Justice League America,1989,92, ,https://comicvine.gamespot.com/issue/4000-39605/,29 days 00:00:00,DC Comics
28,L.E.G.I.O.N.,1989,70,Issue,1994-09-30,Comicvine,18909,114827,L.E.G.I.O.N.,1989,70, ,https://comicvine.gamespot.com/issue/4000-114827/,0 days 00:00:00,DC Comics
29,Justice League Task Force,1993,16,Issue,1994-09-30,Comicvine,4967,39607,Justice League Task Force,1993,16, ,https://comicvine.gamespot.com/issue/4000-39607/,0 days 00:00:00,DC Comics
30,Detective Comics,1937,678,Issue,1994-09-30,Comicvine,18058,113131,Detective Comics,1937,678, ,https://comicvine.gamespot.com/issue/4000-113131/,29 days 00:00:00,DC Comics
31,Team Titans,1992,24,Issue,1994-09-01,Comicvine,9320,74630,Team Titans,1992,24, ,https://comicvine.gamespot.com/issue/4000-74630/,29 days 00:00:00,DC Comics
32,Zero Hour: Crisis in Time,1994,2,Issue,1994-09-30,Comicvine,5271,39709,Zero Hour: Crisis in Time,1994,2, ,https://comicvine.gamespot.com/zero-hour-crisis-in-time-2-zero-hour/4000-39709/,0 days 00:00:00,DC Comics
33,Adventures of Superman,1987,516,Issue,1994-09-30,Comicvine,3778,39593,Adventures of Superman,1987,516, ,https://comicvine.gamespot.com/issue/4000-39593/,0 days 00:00:00,DC Comics
34,Green Arrow,1988,90,Issue,1994-09-30,Comicvine,4003,66781,Green Arrow,1988,90, ,https://comicvine.gamespot.com/green-arrow-90-he-who-hesitates/4000-66781/,29 days 00:00:00,DC Comics
35,Guy Gardner: Warrior,1994,24,Issue,1994-09-01,Comicvine,11894,104092,Guy Gardner: Warrior,1994,24, ,https://comicvine.gamespot.com/issue/4000-104092/,29 days 00:00:00,DC Comics
36,Zero Hour: Crisis in Time,1994,1,Issue,1994-09-30,Comicvine,5271,39710,Zero Hour: Crisis in Time,1994,1, ,https://comicvine.gamespot.com/zero-hour-crisis-in-time-1-zero-hour/4000-39710/,29 days 00:00:00,DC Comics
37,Legion of Super-Heroes,1989,61,Issue,1994-09-01,Comicvine,4201,39700,Legion of Super-Heroes,1989,61, ,https://comicvine.gamespot.com/legion-of-super-heroes-61-borrowed-time/4000-39700/,0 days 00:00:00,DC Comics
38,Justice League International,1993,68,Issue,1994-09-01,Comicvine,4966,39606,Justice League International,1993,68, ,https://comicvine.gamespot.com/issue/4000-39606/,29 days 00:00:00,DC Comics
39,Damage,1994,6,Issue,1994-09-30,Comicvine,5242,39598,Damage,1994,6, ,https://comicvine.gamespot.com/issue/4000-39598/,0 days 00:00:00,DC Comics
40,Anima,1994,7,Issue,1994-09-30,Comicvine,5229,39699,Anima,1994,7, ,https://comicvine.gamespot.com/issue/4000-39699/,0 days 00:00:00,DC Comics
41,Robin,1993,10,Issue,1994-09-30,Comicvine,4975,39611,Robin,1993,10, ,https://comicvine.gamespot.com/issue/4000-39611/,0 days 00:00:00,DC Comics
42,Action Comics,1938,703,Issue,1994-09-30,Comicvine,18005,115770,Action Comics,1938,703, ,https://comicvine.gamespot.com/action-comics-703-chronocide/4000-115770/,0 days 00:00:00,DC Comics
43,Catwoman,1993,14,Issue,1994-09-30,Comicvine,4955,39692,Catwoman,1993,14, ,https://comicvine.gamespot.com/issue/4000-39692/,0 days 00:00:00,DC Comics
44,Showcase ‘94,1994,10,Issue,1994-09-30,Comicvine,21865,134775,Showcase '94,1994,10, ,https://comicvine.gamespot.com/issue/4000-134775/,31 days 00:00:00,DC Comics
45,The Flash,1987,0,Issue,1994-10-31,Comicvine,3790,39748,The Flash,1987,0, ,https://comicvine.gamespot.com/issue/4000-39748/,0 days 00:00:00,DC Comics
46,Green Lantern,1990,0,Issue,1994-10-31,Comicvine,4363,39749,Green Lantern,1990,0, ,https://comicvine.gamespot.com/issue/4000-39749/,0 days 00:00:00,DC Comics
47,Damage,1994,0,Issue,1994-10-31,Comicvine,5242,39745,Damage,1994,0, ,https://comicvine.gamespot.com/issue/4000-39745/,0 days 00:00:00,DC Comics
48,Darkstars,1992,0,Issue,1994-10-31,Comicvine,7273,76320,Darkstars,1992,0, ,https://comicvine.gamespot.com/issue/4000-76320/,0 days 00:00:00,DC Comics
