,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Series Publisher,CV Cover Image,CV Issue URL,Days Between Issues
1,Batman,1940.0,404,Issue,1987-02-01,Comicvine,796,27733,Batman,1940,404,DC Comics, ,https://comicvine.gamespot.com/issue/4000-27733/,28 days 00:00:00
2,Batman,1940.0,405,Issue,1987-03-01,Comicvine,796,27842,Batman,1940,405,DC Comics, ,https://comicvine.gamespot.com/issue/4000-27842/,31 days 00:00:00
3,Batman,1940.0,406,Issue,1987-04-01,Comicvine,796,27951,Batman,1940,406,DC Comics, ,https://comicvine.gamespot.com/issue/4000-27951/,30 days 00:00:00
4,Batman,1940.0,407,Issue,1987-05-01,Comicvine,796,28066,Batman,1940,407,DC Comics, ,https://comicvine.gamespot.com/issue/4000-28066/,642 days 00:00:00
5,Catwoman,1989.0,1,Issue,1989-02-01,Comicvine,4176,30847,Catwoman,1989,1,DC Comics, ,https://comicvine.gamespot.com/issue/4000-30847/,28 days 00:00:00
6,Catwoman,1989.0,2,Issue,1989-03-01,Comicvine,4176,30959,Catwoman,1989,2,DC Comics, ,https://comicvine.gamespot.com/issue/4000-30959/,31 days 00:00:00
7,Catwoman,1989.0,3,Issue,1989-04-01,Comicvine,4176,31053,Catwoman,1989,3,DC Comics, ,https://comicvine.gamespot.com/issue/4000-31053/,30 days 00:00:00
8,Catwoman,1989.0,4,Issue,1989-05-01,Comicvine,4176,31168,Catwoman,1989,4,DC Comics, ,https://comicvine.gamespot.com/issue/4000-31168/,-852 days +00:00:00
9,Tales of the Green Lantern Corps Annual,1985.0,2,Issue,1986-12-31,Comicvine,21324,134743,Tales of the Green Lantern Corps Annual,1985,2,DC Comics, ,https://comicvine.gamespot.com/issue/4000-134743/,6941 days 00:00:00
10,Batman and the Monster Men,2005.0,1,Issue,2006-01-01,Comicvine,22773,136618,Batman: The Monster Men,2006,1,DC Comics, ,https://comicvine.gamespot.com/issue/4000-136618/,31 days 00:00:00
11,Batman and the Monster Men,2005.0,2,Issue,2006-02-01,Comicvine,22773,136619,Batman: The Monster Men,2006,2,DC Comics, ,https://comicvine.gamespot.com/issue/4000-136619/,28 days 00:00:00
12,Batman and the Monster Men,2005.0,3,Issue,2006-03-01,Comicvine,22773,136620,Batman: The Monster Men,2006,3,DC Comics, ,https://comicvine.gamespot.com/issue/4000-136620/,31 days 00:00:00
