,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,JSA: The Liberty File,2000,1,Issue,2000-02-01,Comicvine,6660,47571,JSA: The Liberty File,2000,1, ,https://comicvine.gamespot.com/jsa-the-liberty-file-1-brother-can-you-spare-a-min/4000-47571/,29 days 00:00:00,DC Comics
2,JSA: The Liberty File,2000,2,Issue,2000-03-01,Comicvine,6660,47572,JSA: The Liberty File,2000,2, ,https://comicvine.gamespot.com/jsa-the-liberty-file-2-and-the-clock-struck-midnig/4000-47572/,4720 days 00:00:00,DC Comics
3,JSA Liberty Files: The Whistling Skull,2013,1,Issue,2013-02-01,Comicvine,54850,373274,JSA Liberty Files: The Whistling Skull,2013,1, ,https://comicvine.gamespot.com/jsa-liberty-files-the-whistling-skull-1-the-big-di/4000-373274/,43 days 00:00:00,DC Comics
4,JSA Liberty Files: The Whistling Skull,2013,2,Issue,2013-03-16,Comicvine,54850,381392,JSA Liberty Files: The Whistling Skull,2013,2, ,https://comicvine.gamespot.com/jsa-liberty-files-the-whistling-skull-2-the-big-di/4000-381392/,34 days 00:00:00,DC Comics
5,JSA Liberty Files: The Whistling Skull,2013,3,Issue,2013-04-19,Comicvine,54850,387223,JSA Liberty Files: The Whistling Skull,2013,3, ,https://comicvine.gamespot.com/jsa-liberty-files-the-whistling-skull-3-the-big-di/4000-387223/,27 days 00:00:00,DC Comics
6,JSA Liberty Files: The Whistling Skull,2013,4,Issue,2013-05-16,Comicvine,54850,394664,JSA Liberty Files: The Whistling Skull,2013,4, ,https://comicvine.gamespot.com/jsa-liberty-files-the-whistling-skull-4-the-big-di/4000-394664/,31 days 00:00:00,DC Comics
7,JSA Liberty Files: The Whistling Skull,2013,5,Issue,2013-06-16,Comicvine,54850,397759,JSA Liberty Files: The Whistling Skull,2013,5, ,https://comicvine.gamespot.com/jsa-liberty-files-the-whistling-skull-5-the-big-di/4000-397759/,33 days 00:00:00,DC Comics
8,JSA Liberty Files: The Whistling Skull,2013,6,Issue,2013-07-19,Comicvine,54850,402250,JSA Liberty Files: The Whistling Skull,2013,6, ,https://comicvine.gamespot.com/jsa-liberty-files-the-whistling-skull-6-the-big-di/4000-402250/,3852 days 00:00:00,DC Comics
9,JSA: The Unholy Three,2003,1,Issue,2003-01-01,Comicvine,30390,187214,JSA: The Unholy Three,2003,1, ,https://comicvine.gamespot.com/jsa-the-unholy-three-1/4000-187214/,458 days 00:00:00,DC Comics
10,JSA Secret Files & Origins,1999,2,Issue,2001-09-30,Comicvine,7222,51449,JSA Secret Files,1999,2, ,https://comicvine.gamespot.com/jsa-secret-files-2-breaking-storms/4000-51449/,93 days 00:00:00,DC Comics
11,Young Justice,1998,39,Issue,2002-01-01,Comicvine,9420,141149,Young Justice,1998,39, ,https://comicvine.gamespot.com/young-justice-39-petal-to-the-metal/4000-141149/,31 days 00:00:00,DC Comics
12,Young Justice,1998,40,Issue,2002-02-01,Comicvine,9420,126517,Young Justice,1998,40, ,https://comicvine.gamespot.com/young-justice-40-the-night-before-doomsday/4000-126517/,28 days 00:00:00,DC Comics
13,Young Justice,1998,41,Issue,2002-03-01,Comicvine,9420,141150,Young Justice,1998,41, ,https://comicvine.gamespot.com/young-justice-41-mishmosh/4000-141150/,31 days 00:00:00,DC Comics
14,Young Justice,1998,42,Issue,2002-04-01,Comicvine,9420,141151,Young Justice,1998,42, ,https://comicvine.gamespot.com/young-justice-42-dirty-little-secrets/4000-141151/,30 days 00:00:00,DC Comics
15,Young Justice,1998,43,Issue,2002-05-01,Comicvine,9420,141152,Young Justice,1998,43, ,https://comicvine.gamespot.com/young-justice-43-liberty-throughout-the-land/4000-141152/,122 days 00:00:00,DC Comics
16,Catwoman: Selina’s Big Score,2002,1,Issue,2002-08-31,Comicvine,34842,228853,Catwoman: Selina's Big Score,2002,1, ,https://comicvine.gamespot.com/catwoman-selinas-big-score-1-ogn/4000-228853/,242 days 00:00:00,DC Comics
17,Batgirl,2000,22,Issue,2002-01-01,Comicvine,7205,75523,Batgirl,2000,22, ,https://comicvine.gamespot.com/batgirl-22/4000-75523/,31 days 00:00:00,DC Comics
18,Batgirl,2000,23,Issue,2002-02-01,Comicvine,7205,75524,Batgirl,2000,23, ,https://comicvine.gamespot.com/batgirl-23-little-talk/4000-75524/,0 days 00:00:00,DC Comics
