,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Infinite Frontier,2021,0,Issue,2021-05-01,Comicvine,134140,831250,Infinite Frontier,2021,0, ,https://comicvine.gamespot.com/infinite-frontier-0/4000-831250/,0 days 00:00:00,DC Comics
2,Superman,2018,29,Issue,2021-05-01,Comicvine,112206,834445,Superman,2018,29, ,https://comicvine.gamespot.com/superman-29-the-golden-age-part-one-tales-of-metro/4000-834445/,0 days 00:00:00,DC Comics
3,Action Comics,1938,1029,Issue,2021-05-01,Comicvine,91078,839419,Action Comics,2016,1029, ,https://comicvine.gamespot.com/action-comics-1029-the-golden-age-part-two-the-pas/4000-839419/,31 days 00:00:00,DC Comics
4,Superman,2018,30,Issue,2021-06-01,Comicvine,112206,842643,Superman,2018,30, ,https://comicvine.gamespot.com/superman-30-the-one-who-fell-part-one-tales-of-met/4000-842643/,30 days 00:00:00,DC Comics
5,Superman,2018,31,Issue,2021-07-01,Comicvine,112206,848267,Superman,2018,31, ,https://comicvine.gamespot.com/superman-31-the-one-who-fell-part-two-tales-of-met/4000-848267/,31 days 00:00:00,DC Comics
6,Superman,2018,32,Issue,2021-08-01,Comicvine,112206,862626,Superman,2018,32, ,https://comicvine.gamespot.com/superman-32-the-one-who-fell-part-three-tales-of-m/4000-862626/,92 days 00:00:00,DC Comics
7,Batman,2016,106,Issue,2021-05-01,Comicvine,91273,831248,Batman,2016,106, ,https://comicvine.gamespot.com/batman-106-the-cowardly-lot-part-one-demon-or-dete/4000-831248/,31 days 00:00:00,DC Comics
8,Batman,2016,107,Issue,2021-06-01,Comicvine,91273,841713,Batman,2016,107, ,https://comicvine.gamespot.com/batman-107-the-cowardly-lot-part-two-ghost-maker-c/4000-841713/,30 days 00:00:00,DC Comics
9,Batman,2016,108,Issue,2021-07-01,Comicvine,91273,846952,Batman,2016,108, ,https://comicvine.gamespot.com/batman-108-the-cowardly-lot-part-three-ghost-maker/4000-846952/,31 days 00:00:00,DC Comics
10,Batman,2016,109,Issue,2021-08-01,Comicvine,91273,856435,Batman,2016,109, ,https://comicvine.gamespot.com/batman-109-the-cowardly-lot-part-four-ghost-maker-/4000-856435/,31 days 00:00:00,DC Comics
11,Batman,2016,110,Issue,2021-09-01,Comicvine,91273,867822,Batman,2016,110, ,https://comicvine.gamespot.com/batman-110-the-cowardly-lot-part-five-ghost-maker-/4000-867822/,30 days 00:00:00,DC Comics
12,Batman,2016,111,Issue,2021-10-01,Comicvine,91273,876272,Batman,2016,111, ,https://comicvine.gamespot.com/batman-111-the-cowardly-lot-part-six-ghost-maker-c/4000-876272/,92 days 00:00:00,DC Comics
13,Batman Vol. 3 2021 Annual,2021,1,Issue,2022-01-01,Comicvine,140252,895869,Batman 2021 Annual,2021,1, ,https://comicvine.gamespot.com/batman-2021-annual-1-ghost-maker-finale/4000-895869/,245 days 00:00:00,DC Comics
14,Wonder Woman,2016,770,Issue,2021-05-01,Comicvine,91774,834446,Wonder Woman,2016,770, ,https://comicvine.gamespot.com/wonder-woman-770-afterworlds-part-1-young-diana-in/4000-834446/,31 days 00:00:00,DC Comics
