,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,DC Universe: Rebirth,2016,1,Issue,2016-07-31,Comicvine,90597,531155,DC Universe: Rebirth,2016,1, ,https://comicvine.gamespot.com/dc-universe-rebirth-1-the-clock-is-ticking/4000-531155/,31 days 00:00:00,DC Comics
2,The Flash: Rebirth,2016,1,Issue,2016-08-31,Comicvine,91099,534262,The Flash: Rebirth,2016,1, ,https://comicvine.gamespot.com/the-flash-rebirth-1-doomed-to-repeat-it/4000-534262/,30 days 00:00:00,DC Comics
3,Nightwing: Rebirth,2016,1,Issue,2016-09-30,Comicvine,92193,539219,Nightwing: Rebirth,2016,1, ,https://comicvine.gamespot.com/nightwing-rebirth-1/4000-539219/,30 days 00:00:00,DC Comics
4,Titans: Rebirth,2016,1,Issue,2016-08-31,Comicvine,91302,535343,Titans: Rebirth,2016,1, ,https://comicvine.gamespot.com/titans-rebirth-1/4000-535343/,30 days 00:00:00,DC Comics
5,Titans,2016,1,Issue,2016-09-30,Comicvine,92577,541183,Titans,2016,1, ,https://comicvine.gamespot.com/titans-1-the-return-of-wally-west-part-one-run-for/4000-541183/,31 days 00:00:00,DC Comics
6,Titans,2016,2,Issue,2016-10-31,Comicvine,92577,546044,Titans,2016,2, ,https://comicvine.gamespot.com/titans-2-the-return-of-wally-west-part-two-smoke-a/4000-546044/,30 days 00:00:00,DC Comics
7,Titans,2016,3,Issue,2016-11-30,Comicvine,92577,551285,Titans,2016,3, ,https://comicvine.gamespot.com/titans-3-the-return-of-wally-west-part-three-face-/4000-551285/,31 days 00:00:00,DC Comics
8,Titans,2016,4,Issue,2016-12-31,Comicvine,92577,555502,Titans,2016,4, ,https://comicvine.gamespot.com/titans-4-the-return-of-wally-west-part-four-now-yo/4000-555502/,31 days 00:00:00,DC Comics
9,Titans,2016,5,Issue,2017-01-31,Comicvine,92577,558945,Titans,2016,5, ,https://comicvine.gamespot.com/titans-5-the-return-of-wally-west-part-five-run-fo/4000-558945/,28 days 00:00:00,DC Comics
10,Titans,2016,6,Issue,2017-02-28,Comicvine,92577,571650,Titans,2016,6, ,https://comicvine.gamespot.com/titans-6-the-return-of-wally-west-part-six-out-of-/4000-571650/,181 days 00:00:00,DC Comics
11,The Flash,2016,1,Issue,2016-08-31,Comicvine,91750,537213,The Flash,2016,1, ,https://comicvine.gamespot.com/the-flash-1-lightning-strikes-twice-part-one-deus-/4000-537213/,30 days 00:00:00,DC Comics
