,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Gotham Academy,2014,7,Issue,2015-08-01,Comicvine,77219,491474,Gotham Academy,2014,7, ,https://comicvine.gamespot.com/gotham-academy-7-curse-of-the-inishtree-quill/4000-491474/,0 days 00:00:00,DC Comics
2,Justice League of America,2015,1,Issue,2015-08-01,Comicvine,82720,492162,Justice League of America,2015,1, ,https://comicvine.gamespot.com/justice-league-of-america-1-power-and-glory-part-o/4000-492162/,31 days 00:00:00,DC Comics
3,Justice League of America,2015,2,Issue,2015-09-01,Comicvine,82720,494267,Justice League of America,2015,2, ,https://comicvine.gamespot.com/justice-league-of-america-2-power-and-glory-part-t/4000-494267/,60 days 00:00:00,DC Comics
4,Justice League of America,2015,3,Issue,2015-10-31,Comicvine,82720,498370,Justice League of America,2015,3, ,https://comicvine.gamespot.com/justice-league-of-america-3-power-and-glory-part-t/4000-498370/,61 days 00:00:00,DC Comics
5,Justice League of America,2015,4,Issue,2015-12-31,Comicvine,82720,502421,Justice League of America,2015,4, ,https://comicvine.gamespot.com/justice-league-of-america-4-power-and-glory-part-f/4000-502421/,31 days 00:00:00,DC Comics
6,Justice League of America,2015,5,Issue,2016-01-31,Comicvine,82720,506633,Justice League of America,2015,5, ,https://comicvine.gamespot.com/justice-league-of-america-5-the-unnamed/4000-506633/,29 days 00:00:00,DC Comics
7,Justice League of America,2015,6,Issue,2016-02-29,Comicvine,82720,508871,Justice League of America,2015,6, ,https://comicvine.gamespot.com/justice-league-of-america-6-power-and-glory-part-f/4000-508871/,31 days 00:00:00,DC Comics
8,Justice League of America,2015,7,Issue,2016-03-31,Comicvine,82720,512399,Justice League of America,2015,7, ,https://comicvine.gamespot.com/justice-league-of-america-7-power-and-glory-part-s/4000-512399/,61 days 00:00:00,DC Comics
9,Justice League of America,2015,8,Issue,2016-05-31,Comicvine,82720,522411,Justice League of America,2015,8, ,https://comicvine.gamespot.com/justice-league-of-america-8-power-and-glory-part-s/4000-522411/,153 days 00:00:00,DC Comics
10,Justice League of America,2015,9,Issue,2016-10-31,Comicvine,82720,547256,Justice League of America,2015,9, ,https://comicvine.gamespot.com/justice-league-of-america-9-power-and-glory-part-e/4000-547256/,92 days 00:00:00,DC Comics
11,Justice League of America,2015,10,Issue,2017-01-31,Comicvine,82720,562580,Justice League of America,2015,10, ,https://comicvine.gamespot.com/justice-league-of-america-10-power-and-glory-part-/4000-562580/,549 days 00:00:00,DC Comics
12,Gotham by Midnight,2015,6,Issue,2015-08-01,Comicvine,78325,493002,Gotham by Midnight,2014,6, ,https://comicvine.gamespot.com/gotham-by-midnight-6-return-on-investment/4000-493002/,60 days 00:00:00,DC Comics
13,Gotham By Midnight Annual,2015,1,Issue,2015-09-30,Comicvine,83606,496375,Gotham by Midnight Annual,2015,1, ,https://comicvine.gamespot.com/gotham-by-midnight-annual-1-the-gentleman-ghost/4000-496375/,60 days 00:00:00,DC Comics
14,Bat-Mite,2015,1,Issue,2015-08-01,Comicvine,82384,490835,Bat-Mite,2015,1, ,https://comicvine.gamespot.com/bat-mite-1-transplant/4000-490835/,31 days 00:00:00,DC Comics
15,Bat-Mite,2015,2,Issue,2015-09-01,Comicvine,82384,493753,Bat-Mite,2015,2, ,https://comicvine.gamespot.com/bat-mite-2-the-great-brain-robbery/4000-493753/,60 days 00:00:00,DC Comics
16,Bat-Mite,2015,3,Issue,2015-10-31,Comicvine,82384,496855,Bat-Mite,2015,3, ,https://comicvine.gamespot.com/bat-mite-3-smiles-and-frowns/4000-496855/,30 days 00:00:00,DC Comics
17,Bat-Mite,2015,4,Issue,2015-11-30,Comicvine,82384,499011,Bat-Mite,2015,4, ,https://comicvine.gamespot.com/bat-mite-4-the-gold-standard/4000-499011/,31 days 00:00:00,DC Comics
18,Bat-Mite,2015,5,Issue,2015-12-31,Comicvine,82384,502829,Bat-Mite,2015,5, ,https://comicvine.gamespot.com/bat-mite-5-with-6-you-get-fudge-roll/4000-502829/,31 days 00:00:00,DC Comics
19,Bat-Mite,2015,6,Issue,2016-01-31,Comicvine,82384,504906,Bat-Mite,2015,6, ,https://comicvine.gamespot.com/bat-mite-6-home-is-where-the-cape-is/4000-504906/,153 days 00:00:00,DC Comics
20,Robin: Son of Batman,2015,1,Issue,2015-08-31,Comicvine,82719,492165,Robin: Son of Batman,2015,1, ,https://comicvine.gamespot.com/robin-son-of-batman-1-year-of-blood-part-one/4000-492165/,30 days 00:00:00,DC Comics
21,Robin: Son of Batman,2015,2,Issue,2015-09-30,Comicvine,82719,495256,Robin: Son of Batman,2015,2, ,https://comicvine.gamespot.com/robin-son-of-batman-2-year-of-blood-part-two/4000-495256/,31 days 00:00:00,DC Comics
22,Robin: Son of Batman,2015,3,Issue,2015-10-31,Comicvine,82719,497922,Robin: Son of Batman,2015,3, ,https://comicvine.gamespot.com/robin-son-of-batman-3-year-of-blood-part-three/4000-497922/,30 days 00:00:00,DC Comics
23,Robin: Son of Batman,2015,4,Issue,2015-11-30,Comicvine,82719,500276,Robin: Son of Batman,2015,4, ,https://comicvine.gamespot.com/robin-son-of-batman-4-year-of-blood-part-four/4000-500276/,31 days 00:00:00,DC Comics
24,Robin: Son of Batman,2015,5,Issue,2015-12-31,Comicvine,82719,504323,Robin: Son of Batman,2015,5, ,https://comicvine.gamespot.com/robin-son-of-batman-5-year-of-blood-part-five/4000-504323/,92 days 00:00:00,DC Comics
25,Cyborg,2015,1,Issue,2015-09-30,Comicvine,83480,495771,Cyborg,2015,1, ,https://comicvine.gamespot.com/cyborg-1-unplugged/4000-495771/,31 days 00:00:00,DC Comics
26,Cyborg,2015,2,Issue,2015-10-31,Comicvine,83480,498359,Cyborg,2015,2, ,https://comicvine.gamespot.com/cyborg-2-target-victor-stone/4000-498359/,30 days 00:00:00,DC Comics
27,Cyborg,2015,3,Issue,2015-11-30,Comicvine,83480,501865,Cyborg,2015,3, ,https://comicvine.gamespot.com/cyborg-3-battleground-detroit/4000-501865/,31 days 00:00:00,DC Comics
28,Cyborg,2015,4,Issue,2015-12-31,Comicvine,83480,504310,Cyborg,2015,4, ,https://comicvine.gamespot.com/cyborg-4-shattered-reflections/4000-504310/,60 days 00:00:00,DC Comics
29,Cyborg,2015,5,Issue,2016-02-29,Comicvine,83480,507147,Cyborg,2015,5, ,https://comicvine.gamespot.com/cyborg-5-rubble-and-revelations/4000-507147/,0 days 00:00:00,DC Comics
30,Cyborg,2015,6,Issue,2016-02-29,Comicvine,83480,508863,Cyborg,2015,6, ,https://comicvine.gamespot.com/cyborg-6-techno-takedown/4000-508863/,182 days 00:00:00,DC Comics
31,Harley Quinn,2014,17,Issue,2015-08-31,Comicvine,69322,491475,Harley Quinn,2013,17, ,https://comicvine.gamespot.com/harley-quinn-17-the-gang-of-harleys/4000-491475/,30 days 00:00:00,DC Comics
32,Harley Quinn,2014,18,Issue,2015-09-30,Comicvine,69322,495249,Harley Quinn,2013,18, ,https://comicvine.gamespot.com/harley-quinn-18-fish-food/4000-495249/,31 days 00:00:00,DC Comics
33,Harley Quinn,2014,19,Issue,2015-10-31,Comicvine,69322,498366,Harley Quinn,2013,19, ,https://comicvine.gamespot.com/harley-quinn-19-ship-of-fools/4000-498366/,30 days 00:00:00,DC Comics
34,Harley Quinn Road Trip Special,2015,1,Issue,2015-11-30,Comicvine,84427,499725,Harley Quinn Road Trip Special,2015,1, ,https://comicvine.gamespot.com/harley-quinn-road-trip-special-1-road-trippy/4000-499725/,0 days 00:00:00,DC Comics
35,Harley Quinn,2014,20,Issue,2015-11-30,Comicvine,69322,500272,Harley Quinn,2013,20, ,https://comicvine.gamespot.com/harley-quinn-20-harleywood/4000-500272/,31 days 00:00:00,DC Comics
36,Harley Quinn,2014,21,Issue,2015-12-31,Comicvine,69322,502837,Harley Quinn,2013,21, ,https://comicvine.gamespot.com/harley-quinn-21-tug-a-war/4000-502837/,152 days 00:00:00,DC Comics
37,Deathstroke,2014,7,Issue,2015-08-01,Comicvine,77678,492999,Deathstroke,2014,7, ,https://comicvine.gamespot.com/deathstroke-7-god-killer/4000-492999/,60 days 00:00:00,DC Comics
38,Deathstroke,2014,8,Issue,2015-09-30,Comicvine,77678,495772,Deathstroke,2014,8, ,https://comicvine.gamespot.com/deathstroke-8-black-rain/4000-495772/,0 days 00:00:00,DC Comics
39,Deathstroke Vol. 3 Annual,2015,1,Issue,2015-09-30,Comicvine,83605,496372,Deathstroke Annual,2015,1, ,https://comicvine.gamespot.com/deathstroke-annual-1-fifty-shades-of-slade/4000-496372/,31 days 00:00:00,DC Comics
40,Deathstroke,2014,9,Issue,2015-10-31,Comicvine,77678,498360,Deathstroke,2014,9, ,https://comicvine.gamespot.com/deathstroke-9-paradise-lost/4000-498360/,30 days 00:00:00,DC Comics
41,Deathstroke,2014,10,Issue,2015-11-30,Comicvine,77678,500999,Deathstroke,2014,10, ,https://comicvine.gamespot.com/deathstroke-10-blood-sacrifice/4000-500999/,121 days 00:00:00,DC Comics
42,Bizarro,2015,1,Issue,2015-08-01,Comicvine,82385,490836,Bizarro,2015,1, ,https://comicvine.gamespot.com/bizarro-1-bizarro-america-part-6/4000-490836/,31 days 00:00:00,DC Comics
43,Bizarro,2015,2,Issue,2015-09-01,Comicvine,82385,493755,Bizarro,2015,2, ,https://comicvine.gamespot.com/bizarro-2-bizarro-america-part-5/4000-493755/,60 days 00:00:00,DC Comics
44,Bizarro,2015,3,Issue,2015-10-31,Comicvine,82385,497908,Bizarro,2015,3, ,https://comicvine.gamespot.com/bizarro-3-bizarro-america-part-4/4000-497908/,30 days 00:00:00,DC Comics
45,Bizarro,2015,4,Issue,2015-11-30,Comicvine,82385,500265,Bizarro,2015,4, ,https://comicvine.gamespot.com/bizarro-4-bizarro-america-part-3-do-you-believe-in/4000-500265/,31 days 00:00:00,DC Comics
46,Bizarro,2015,5,Issue,2015-12-31,Comicvine,82385,503525,Bizarro,2015,5, ,https://comicvine.gamespot.com/bizarro-5-bizarro-america-part-2/4000-503525/,31 days 00:00:00,DC Comics
47,Bizarro,2015,6,Issue,2016-01-31,Comicvine,82385,506142,Bizarro,2015,6, ,https://comicvine.gamespot.com/bizarro-6-bizarro-america-part-1-who-am-on-last/4000-506142/,183 days 00:00:00,DC Comics
48,Secret Six,2015,3,Issue,2015-08-01,Comicvine,78534,492166,Secret Six,2014,3, ,https://comicvine.gamespot.com/secret-six-3-the-nine-levels-of-suburbia/4000-492166/,60 days 00:00:00,DC Comics
49,Secret Six,2015,4,Issue,2015-09-30,Comicvine,78534,495257,Secret Six,2014,4, ,https://comicvine.gamespot.com/secret-six-4-friends-in-low-places/4000-495257/,31 days 00:00:00,DC Comics
50,Secret Six,2015,5,Issue,2015-10-31,Comicvine,78534,497923,Secret Six,2014,5, ,https://comicvine.gamespot.com/secret-six-5-block-party/4000-497923/,30 days 00:00:00,DC Comics
51,Secret Six,2015,6,Issue,2015-11-30,Comicvine,78534,500277,Secret Six,2014,6, ,https://comicvine.gamespot.com/secret-six-6-whippings-and-apologies/4000-500277/,61 days 00:00:00,DC Comics
52,Sinestro,2014,13,Issue,2015-09-30,Comicvine,73088,495786,Sinestro,2014,13, ,https://comicvine.gamespot.com/sinestro-13-new-orders/4000-495786/,60 days 00:00:00,DC Comics
53,The Flash,2011,41,Issue,2015-08-01,Comicvine,43018,493001,The Flash,2011,41, ,https://comicvine.gamespot.com/the-flash-41-yellow/4000-493001/,60 days 00:00:00,DC Comics
54,The Flash,2011,42,Issue,2015-09-30,Comicvine,43018,495776,The Flash,2011,42, ,https://comicvine.gamespot.com/the-flash-42-blood-is-thicker/4000-495776/,0 days 00:00:00,DC Comics
55,The Flash Vol. 4 Annual,2012,4,Issue,2015-09-30,Comicvine,51614,496374,The Flash Annual,2012,4, ,https://comicvine.gamespot.com/the-flash-annual-4-creation-myths/4000-496374/,31 days 00:00:00,DC Comics
56,The Flash,2011,43,Issue,2015-10-31,Comicvine,43018,498362,The Flash,2011,43, ,https://comicvine.gamespot.com/the-flash-43-getting-the-drop/4000-498362/,30 days 00:00:00,DC Comics
57,The Flash,2011,44,Issue,2015-11-30,Comicvine,43018,501000,The Flash,2011,44, ,https://comicvine.gamespot.com/the-flash-44-bubble/4000-501000/,31 days 00:00:00,DC Comics
58,The Flash,2011,45,Issue,2015-12-31,Comicvine,43018,504313,The Flash,2011,45, ,https://comicvine.gamespot.com/the-flash-45-thunderdome/4000-504313/,31 days 00:00:00,DC Comics
59,The Flash,2011,46,Issue,2016-01-31,Comicvine,43018,506627,The Flash,2011,46, ,https://comicvine.gamespot.com/the-flash-46-end-of-the-hunt/4000-506627/,29 days 00:00:00,DC Comics
60,The Flash,2011,47,Issue,2016-02-29,Comicvine,43018,509679,The Flash,2011,47, ,https://comicvine.gamespot.com/the-flash-47-reunion/4000-509679/,181 days 00:00:00,DC Comics
61,Gotham Academy,2014,8,Issue,2015-09-01,Comicvine,77219,494277,Gotham Academy,2014,8, ,https://comicvine.gamespot.com/gotham-academy-8-requiem/4000-494277/,60 days 00:00:00,DC Comics
62,Gotham Academy,2014,9,Issue,2015-10-31,Comicvine,77219,497367,Gotham Academy,2014,9, ,https://comicvine.gamespot.com/gotham-academy-9-calamity/4000-497367/,30 days 00:00:00,DC Comics
63,Gotham Academy,2014,10,Issue,2015-11-30,Comicvine,77219,499723,Gotham Academy,2014,10, ,https://comicvine.gamespot.com/gotham-academy-10-the-cursed-play/4000-499723/,121 days 00:00:00,DC Comics
64,Aquaman,2011,41,Issue,2015-08-01,Comicvine,43022,492997,Aquaman,2011,41, ,https://comicvine.gamespot.com/aquaman-41-terra-incognita/4000-492997/,60 days 00:00:00,DC Comics
65,Aquaman,2011,42,Issue,2015-09-30,Comicvine,43022,495765,Aquaman,2011,42, ,https://comicvine.gamespot.com/aquaman-42-the-other-atlantis/4000-495765/,31 days 00:00:00,DC Comics
66,Aquaman,2011,43,Issue,2015-10-31,Comicvine,43022,498356,Aquaman,2011,43, ,https://comicvine.gamespot.com/aquaman-43-gospel-of-destruction/4000-498356/,30 days 00:00:00,DC Comics
67,Aquaman,2011,44,Issue,2015-11-30,Comicvine,43022,501588,Aquaman,2011,44, ,https://comicvine.gamespot.com/aquaman-44-sirens-call/4000-501588/,31 days 00:00:00,DC Comics
68,Aquaman,2011,45,Issue,2015-12-31,Comicvine,43022,504300,Aquaman,2011,45, ,https://comicvine.gamespot.com/aquaman-45-alien-discovery/4000-504300/,31 days 00:00:00,DC Comics
69,Aquaman,2011,46,Issue,2016-01-31,Comicvine,43022,506617,Aquaman,2011,46, ,https://comicvine.gamespot.com/aquaman-46-amazon-in-the-amazon/4000-506617/,29 days 00:00:00,DC Comics
70,Aquaman,2011,47,Issue,2016-02-29,Comicvine,43022,508856,Aquaman,2011,47, ,https://comicvine.gamespot.com/aquaman-47-leagues-below-a-league-above/4000-508856/,31 days 00:00:00,DC Comics
71,Aquaman,2011,48,Issue,2016-03-31,Comicvine,43022,512386,Aquaman,2011,48, ,https://comicvine.gamespot.com/aquaman-48-return-of-the-king/4000-512386/,60 days 00:00:00,DC Comics
72,Harley Quinn,2014,22,Issue,2016-01-31,Comicvine,69322,506149,Harley Quinn,2013,22, ,https://comicvine.gamespot.com/harley-quinn-22-sy-borgman-and-harley-quinn-must-d/4000-506149/,29 days 00:00:00,DC Comics
73,Harley Quinn,2014,23,Issue,2016-02-29,Comicvine,69322,508405,Harley Quinn,2013,23, ,https://comicvine.gamespot.com/harley-quinn-23-kingpin-queen/4000-508405/,31 days 00:00:00,DC Comics
74,Harley Quinn,2014,24,Issue,2016-03-31,Comicvine,69322,511490,Harley Quinn,2013,24, ,https://comicvine.gamespot.com/harley-quinn-24-cant-fight-city-hall-or-can-you/4000-511490/,30 days 00:00:00,DC Comics
75,Harley Quinn,2014,25,Issue,2016-04-30,Comicvine,69322,516058,Harley Quinn,2013,25, ,https://comicvine.gamespot.com/harley-quinn-25-twenny-five-big-one/4000-516058/,273 days 00:00:00,DC Comics
76,Doomed,2015,1,Issue,2015-08-01,Comicvine,82722,492159,Doomed,2015,1, ,https://comicvine.gamespot.com/doomed-1-doomed-i-say/4000-492159/,60 days 00:00:00,DC Comics
77,Doomed,2015,2,Issue,2015-09-30,Comicvine,82722,495244,Doomed,2015,2, ,https://comicvine.gamespot.com/doomed-2-miles-ahead/4000-495244/,31 days 00:00:00,DC Comics
78,Sinestro,2014,14,Issue,2015-10-31,Comicvine,73088,498373,Sinestro,2014,14, ,https://comicvine.gamespot.com/sinestro-14-indoctrination/4000-498373/,91 days 00:00:00,DC Comics
79,All Star Section Eight,2015,1,Issue,2015-08-01,Comicvine,82531,491467,All-Star Section Eight,2015,1, ,https://comicvine.gamespot.com/all-star-section-8-1-1-i-often-wonder-what-the-vin/4000-491467/,31 days 00:00:00,DC Comics
80,All Star Section Eight,2015,2,Issue,2015-09-01,Comicvine,82531,494271,All-Star Section Eight,2015,2, ,https://comicvine.gamespot.com/all-star-section-eight-2-2-its-not-easy-being-gree/4000-494271/,60 days 00:00:00,DC Comics
81,All Star Section Eight,2015,3,Issue,2015-10-31,Comicvine,82531,497360,All-Star Section Eight,2015,3, ,https://comicvine.gamespot.com/all-star-section-eight-3-3-i-would-do-anything-for/4000-497360/,30 days 00:00:00,DC Comics
82,All Star Section Eight,2015,4,Issue,2015-11-30,Comicvine,82531,499717,All-Star Section Eight,2015,4, ,https://comicvine.gamespot.com/all-star-section-eight-4-4-in-your-satin-tights-fi/4000-499717/,31 days 00:00:00,DC Comics
83,All Star Section Eight,2015,5,Issue,2015-12-31,Comicvine,82531,504299,All-Star Section Eight,2015,5, ,https://comicvine.gamespot.com/all-star-section-eight-5-5-suggested-for-mature-re/4000-504299/,60 days 00:00:00,DC Comics
84,All Star Section Eight,2015,6,Issue,2016-02-29,Comicvine,82531,507140,All-Star Section Eight,2015,6, ,https://comicvine.gamespot.com/all-star-section-eight-6-6-hes-gotta-be-strong-and/4000-507140/,212 days 00:00:00,DC Comics
85,Lobo,2014,7,Issue,2015-08-01,Comicvine,77220,490840,Lobo,2014,7, ,https://comicvine.gamespot.com/lobo-7-whip/4000-490840/,31 days 00:00:00,DC Comics
86,Lobo,2014,8,Issue,2015-09-01,Comicvine,77220,493758,Lobo,2014,8, ,https://comicvine.gamespot.com/lobo-8-surrounded/4000-493758/,60 days 00:00:00,DC Comics
