,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Dial H,2012,0.0,Issue,2012-11-30,Comicvine,48531,355785,Dial H,2012,0, ,https://comicvine.gamespot.com/issue/4000-355785/,0 days 00:00:00,DC Comics
2,Demon Knights,2011,0.0,Issue,2012-11-30,Comicvine,42811,356725,Demon Knights,2011,0, ,https://comicvine.gamespot.com/issue/4000-356725/,366 days 00:00:00,DC Comics
3,Demon Knights,2011,1.0,Issue,2011-11-30,Comicvine,42811,292587,Demon Knights,2011,1, ,https://comicvine.gamespot.com/demon-knights-1-seven-against-the-dark/4000-292587/,26 days 00:00:00,DC Comics
4,Demon Knights,2011,2.0,Issue,2011-12-26,Comicvine,42811,294824,Demon Knights,2011,2, ,https://comicvine.gamespot.com/demon-knights-2-they-shall-not-pass/4000-294824/,31 days 00:00:00,DC Comics
5,Demon Knights,2011,3.0,Issue,2012-01-26,Comicvine,42811,301536,Demon Knights,2011,3, ,https://comicvine.gamespot.com/demon-knights-3-first-sacrifices/4000-301536/,31 days 00:00:00,DC Comics
6,Demon Knights,2011,4.0,Issue,2012-02-26,Comicvine,42811,306509,Demon Knights,2011,4, ,https://comicvine.gamespot.com/demon-knights-4-merlin-watches-the-storm/4000-306509/,29 days 00:00:00,DC Comics
7,Demon Knights,2011,5.0,Issue,2012-03-26,Comicvine,42811,310555,Demon Knights,2011,5, ,https://comicvine.gamespot.com/demon-knights-5-the-traitor/4000-310555/,31 days 00:00:00,DC Comics
8,Demon Knights,2011,6.0,Issue,2012-04-26,Comicvine,42811,314086,Demon Knights,2011,6, ,https://comicvine.gamespot.com/demon-knights-6-the-balance/4000-314086/,30 days 00:00:00,DC Comics
9,Demon Knights,2011,7.0,Issue,2012-05-26,Comicvine,42811,321669,Demon Knights,2011,7, ,https://comicvine.gamespot.com/demon-knights-7-the-end-of-all-things/4000-321669/,31 days 00:00:00,DC Comics
10,Demon Knights,2011,8.0,Issue,2012-06-26,Comicvine,42811,329227,Demon Knights,2011,8, ,https://comicvine.gamespot.com/demon-knights-8-the-ballad-of-nimue-the-demon/4000-329227/,30 days 00:00:00,DC Comics
11,Demon Knights,2011,9.0,Issue,2012-07-26,Comicvine,42811,335120,Demon Knights,2011,9, ,https://comicvine.gamespot.com/demon-knights-9-the-city-stilled-by-death/4000-335120/,31 days 00:00:00,DC Comics
12,Demon Knights,2011,10.0,Issue,2012-08-26,Comicvine,42811,340160,Demon Knights,2011,10, ,https://comicvine.gamespot.com/demon-knights-10-the-once-and-always-king/4000-340160/,31 days 00:00:00,DC Comics
13,Demon Knights,2011,11.0,Issue,2012-09-26,Comicvine,42811,345356,Demon Knights,2011,11, ,https://comicvine.gamespot.com/demon-knights-11-the-darkness-that-was-camelot/4000-345356/,30 days 00:00:00,DC Comics
14,Demon Knights,2011,12.0,Issue,2012-10-26,Comicvine,42811,349626,Demon Knights,2011,12, ,https://comicvine.gamespot.com/demon-knights-12-the-avalon-trap/4000-349626/,61 days 00:00:00,DC Comics
15,Demon Knights,2011,13.0,Issue,2012-12-26,Comicvine,42811,360797,Demon Knights,2011,13, ,https://comicvine.gamespot.com/demon-knights-13-torment/4000-360797/,31 days 00:00:00,DC Comics
16,Demon Knights,2011,14.0,Issue,2013-01-26,Comicvine,42811,367675,Demon Knights,2011,14, ,https://comicvine.gamespot.com/demon-knights-14-occupy-hell/4000-367675/,33 days 00:00:00,DC Comics
17,Demon Knights,2011,15.0,Issue,2013-02-28,Comicvine,42811,372344,Demon Knights,2011,15, ,https://comicvine.gamespot.com/demon-knights-15-the-moment-of-forgetting/4000-372344/,1 days 00:00:00,DC Comics
18,Demon Knights,2011,16.0,Issue,2013-03-01,Comicvine,42811,380324,Demon Knights,2011,16, ,https://comicvine.gamespot.com/demon-knights-16-the-gathering-storm/4000-380324/,60 days 00:00:00,DC Comics
19,Demon Knights,2011,17.0,Issue,2013-04-30,Comicvine,42811,386095,Demon Knights,2011,17, ,https://comicvine.gamespot.com/demon-knights-17-the-demon-bound/4000-386095/,1 days 00:00:00,DC Comics
20,Demon Knights,2011,18.0,Issue,2013-05-01,Comicvine,42811,392321,Demon Knights,2011,18, ,https://comicvine.gamespot.com/demon-knights-18-reunions/4000-392321/,31 days 00:00:00,DC Comics
21,Demon Knights,2011,19.0,Issue,2013-06-01,Comicvine,42811,396384,Demon Knights,2011,19, ,https://comicvine.gamespot.com/demon-knights-19-as-goes-paradise-so-goes-the-worl/4000-396384/,30 days 00:00:00,DC Comics
22,Demon Knights,2011,20.0,Issue,2013-07-01,Comicvine,42811,401176,Demon Knights,2011,20, ,https://comicvine.gamespot.com/demon-knights-20-the-stone-door/4000-401176/,31 days 00:00:00,DC Comics
23,Demon Knights,2011,21.0,Issue,2013-08-01,Comicvine,42811,410274,Demon Knights,2011,21, ,https://comicvine.gamespot.com/demon-knights-21-one-way/4000-410274/,31 days 00:00:00,DC Comics
24,Demon Knights,2011,22.0,Issue,2013-09-01,Comicvine,42811,416908,Demon Knights,2011,22, ,https://comicvine.gamespot.com/demon-knights-22-comeuppance/4000-416908/,30 days 00:00:00,DC Comics
25,Demon Knights,2011,23.0,Issue,2013-10-01,Comicvine,42811,421659,Demon Knights,2011,23, ,https://comicvine.gamespot.com/demon-knights-23-the-balance-of-things/4000-421659/,305 days 00:00:00,DC Comics
26,"I, Vampire",2011,0.0,Issue,2012-11-30,Comicvine,43017,358822,"I, Vampire",2011,0, ,https://comicvine.gamespot.com/issue/4000-358822/,0 days 00:00:00,DC Comics
27,"Frankenstein, Agent of S.H.A.D.E.",2011,0.0,Issue,2012-11-30,Comicvine,42793,356724,"Frankenstein, Agent of S.H.A.D.E.",2011,0, ,https://comicvine.gamespot.com/frankenstein-agent-of-shade-0-meeting-his-maker/4000-356724/,372 days 00:00:00,DC Comics
28,All-Star Western,2011,1.0,Issue,2011-11-24,Comicvine,43019,293580,All-Star Western,2011,1, ,https://comicvine.gamespot.com/all-star-western-1-no-rest-for-the-wicked/4000-293580/,30 days 00:00:00,DC Comics
29,All-Star Western,2011,2.0,Issue,2011-12-24,Comicvine,43019,299476,All-Star Western,2011,2, ,https://comicvine.gamespot.com/all-star-western-2-showdown-at-house-arkham-el-dia/4000-299476/,31 days 00:00:00,DC Comics
30,All-Star Western,2011,3.0,Issue,2012-01-24,Comicvine,43019,303284,All-Star Western,2011,3, ,https://comicvine.gamespot.com/all-star-western-3-no-news-is-good-el-diablo-part-/4000-303284/,31 days 00:00:00,DC Comics
31,All-Star Western,2011,4.0,Issue,2012-02-24,Comicvine,43019,308769,All-Star Western,2011,4, ,https://comicvine.gamespot.com/all-star-western-4-untitled-the-barbary-ghost-part/4000-308769/,36 days 00:00:00,DC Comics
32,All-Star Western,2011,5.0,Issue,2012-03-31,Comicvine,43019,312639,All-Star Western,2011,5, ,https://comicvine.gamespot.com/all-star-western-5-gotham-underground-the-barbary-/4000-312639/,30 days 00:00:00,DC Comics
33,All-Star Western,2011,6.0,Issue,2012-04-30,Comicvine,43019,316667,All-Star Western,2011,6, ,https://comicvine.gamespot.com/all-star-western-6-beneath-the-batcave-the-barbary/4000-316667/,31 days 00:00:00,DC Comics
34,All-Star Western,2011,7.0,Issue,2012-05-31,Comicvine,43019,324817,All-Star Western,2011,7, ,https://comicvine.gamespot.com/all-star-western-7-the-arena-nighthawk-and-cinnamo/4000-324817/,24 days 00:00:00,DC Comics
35,All-Star Western,2011,8.0,Issue,2012-06-24,Comicvine,43019,333472,All-Star Western,2011,8, ,https://comicvine.gamespot.com/all-star-western-8-the-august-7-dark-as-the-dungeo/4000-333472/,30 days 00:00:00,DC Comics
