,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,FCBD 2019: Spider-Man/Venom,2019,1,Issue,2019-07-01,Comicvine,118758,707848,Free Comic Book Day 2019 (Spider-Man/Venom),2019,1, ,https://comicvine.gamespot.com/free-comic-book-day-2019-spider-manvenom-1-untitle/4000-707848/,123 days 00:00:00,Marvel
2,Absolute Carnage: Symbiote of Vengeance,2019,1,Issue,2019-11-01,Comicvine,121221,718743,Absolute Carnage: Symbiote of Vengeance,2019,1, ,https://comicvine.gamespot.com/absolute-carnage-symbiote-of-vengeance-1/4000-718743/,0 days 00:00:00,Marvel
3,Absolute Carnage: Symbiote Spider-Man,2019,1,Issue,2019-11-01,Comicvine,121056,718119,Absolute Carnage: Symbiote Spider-Man,2019,1, ,https://comicvine.gamespot.com/absolute-carnage-symbiote-spider-man-1/4000-718119/,31 days 00:00:00,Marvel
4,Absolute Carnage: Separation Anxiety,2019,1,Issue,2019-10-01,Comicvine,120628,716348,Absolute Carnage: Separation Anxiety,2019,1, ,https://comicvine.gamespot.com/absolute-carnage-separation-anxiety-1/4000-716348/,92 days 00:00:00,Marvel
5,Absolute Carnage: Weapon Plus,2019,1,Issue,2020-01-01,Comicvine,122664,726199,Absolute Carnage: Weapon Plus,2019,1, ,https://comicvine.gamespot.com/absolute-carnage-weapon-plus-1/4000-726199/,92 days 00:00:00,Marvel
6,Absolute Carnage,2019,1,Issue,2019-10-01,Comicvine,120532,715296,Absolute Carnage,2019,1, ,https://comicvine.gamespot.com/absolute-carnage-1/4000-715296/,0 days 00:00:00,Marvel
7,Absolute Carnage,2019,2,Issue,2019-10-01,Comicvine,120532,717508,Absolute Carnage,2019,2, ,https://comicvine.gamespot.com/absolute-carnage-2/4000-717508/,0 days 00:00:00,Marvel
8,Venom,2018,17,Issue,2019-10-01,Comicvine,110770,717535,Venom,2018,17, ,https://comicvine.gamespot.com/venom-17/4000-717535/,0 days 00:00:00,Marvel
9,Absolute Carnage: Miles Morales,2019,1,Issue,2019-10-01,Comicvine,120946,717510,Absolute Carnage: Miles Morales,2019,1, ,https://comicvine.gamespot.com/absolute-carnage-miles-morales-1/4000-717510/,31 days 00:00:00,Marvel
10,Absolute Carnage: Miles Morales,2019,2,Issue,2019-11-01,Comicvine,120946,720155,Absolute Carnage: Miles Morales,2019,2, ,https://comicvine.gamespot.com/absolute-carnage-miles-morales-2/4000-720155/,30 days 00:00:00,Marvel
11,Absolute Carnage: Miles Morales,2019,3,Issue,2019-12-01,Comicvine,120946,721775,Absolute Carnage: Miles Morales,2019,3, ,https://comicvine.gamespot.com/absolute-carnage-miles-morales-3/4000-721775/,61 days 00:00:00,Marvel
12,Absolute Carnage: Lethal Protectors,2019,1,Issue,2019-10-01,Comicvine,120945,717509,Absolute Carnage: Lethal Protectors,2019,1, ,https://comicvine.gamespot.com/absolute-carnage-lethal-protectors-1/4000-717509/,31 days 00:00:00,Marvel
13,Absolute Carnage: Lethal Protectors,2019,2,Issue,2019-11-01,Comicvine,120945,719431,Absolute Carnage: Lethal Protectors,2019,2, ,https://comicvine.gamespot.com/absolute-carnage-lethal-protectors-2/4000-719431/,30 days 00:00:00,Marvel
14,Absolute Carnage: Lethal Protectors,2019,3,Issue,2019-12-01,Comicvine,120945,723847,Absolute Carnage: Lethal Protectors,2019,3, ,https://comicvine.gamespot.com/absolute-carnage-lethal-protectors-3/4000-723847/,61 days 00:00:00,Marvel
15,Absolute Carnage vs. Deadpool,2019,1,Issue,2019-10-01,Comicvine,120811,716950,Absolute Carnage vs. Deadpool,2019,1, ,https://comicvine.gamespot.com/absolute-carnage-vs-deadpool-1/4000-716950/,31 days 00:00:00,Marvel
16,Absolute Carnage vs. Deadpool,2019,2,Issue,2019-11-01,Comicvine,120811,718744,Absolute Carnage vs. Deadpool,2019,2, ,https://comicvine.gamespot.com/absolute-carnage-vs-deadpool-2/4000-718744/,30 days 00:00:00,Marvel
17,Absolute Carnage vs. Deadpool,2019,3,Issue,2019-12-01,Comicvine,120811,723106,Absolute Carnage vs. Deadpool,2019,3, ,https://comicvine.gamespot.com/absolute-carnage-vs-deadpool-3/4000-723106/,61 days 00:00:00,Marvel
18,Absolute Carnage: Scream,2019,1,Issue,2019-10-01,Comicvine,120627,716347,Absolute Carnage: Scream,2019,1, ,https://comicvine.gamespot.com/absolute-carnage-scream-1/4000-716347/,31 days 00:00:00,Marvel
19,Absolute Carnage: Scream,2019,2,Issue,2019-11-01,Comicvine,120627,718118,Absolute Carnage: Scream,2019,2, ,https://comicvine.gamespot.com/absolute-carnage-scream-2/4000-718118/,30 days 00:00:00,Marvel
20,Absolute Carnage: Scream,2019,3,Issue,2019-12-01,Comicvine,120627,723105,Absolute Carnage: Scream,2019,3, ,https://comicvine.gamespot.com/absolute-carnage-scream-3/4000-723105/,0 days 00:00:00,Marvel
21,Absolute Carnage: Avengers,2019,1,Issue,2019-12-01,Comicvine,122065,723104,Absolute Carnage: Avengers,2019,1, ,https://comicvine.gamespot.com/absolute-carnage-avengers-1/4000-723104/,30 days 00:00:00,Marvel
22,Venom,2018,18,Issue,2019-11-01,Comicvine,110770,718771,Venom,2018,18, ,https://comicvine.gamespot.com/venom-18/4000-718771/,30 days 00:00:00,Marvel
23,Venom,2018,19,Issue,2019-12-01,Comicvine,110770,725261,Venom,2018,19, ,https://comicvine.gamespot.com/venom-19/4000-725261/,30 days 00:00:00,Marvel
24,Absolute Carnage,2019,3,Issue,2019-11-01,Comicvine,120532,719430,Absolute Carnage,2019,3, ,https://comicvine.gamespot.com/absolute-carnage-3/4000-719430/,30 days 00:00:00,Marvel
25,Absolute Carnage: Immortal Hulk,2019,1,Issue,2019-12-01,Comicvine,121731,721144,Absolute Carnage: Immortal Hulk,2019,1, ,https://comicvine.gamespot.com/absolute-carnage-immortal-hulk-1-we-are-hulk/4000-721144/,0 days 00:00:00,Marvel
26,Absolute Carnage,2019,4,Issue,2019-12-01,Comicvine,120532,723103,Absolute Carnage,2019,4, ,https://comicvine.gamespot.com/absolute-carnage-4/4000-723103/,30 days 00:00:00,Marvel
27,Amazing Spider-Man,2018,30,Issue,2019-11-01,Comicvine,112161,720156,The Amazing Spider-Man,2018,30, ,https://comicvine.gamespot.com/the-amazing-spider-man-30-absolute-carnage-part-on/4000-720156/,30 days 00:00:00,Marvel
28,Amazing Spider-Man,2018,31,Issue,2019-12-01,Comicvine,112161,721778,The Amazing Spider-Man,2018,31, ,https://comicvine.gamespot.com/the-amazing-spider-man-31-absolute-carnage-part-tw/4000-721778/,31 days 00:00:00,Marvel
29,Absolute Carnage: Captain Marvel,2019,1,Issue,2020-01-01,Comicvine,122985,728410,Absolute Carnage: Captain Marvel,2019,1, ,https://comicvine.gamespot.com/absolute-carnage-captain-marvel-1/4000-728410/,0 days 00:00:00,Marvel
30,Absolute Carnage,2019,5,Issue,2020-01-01,Comicvine,120532,728409,Absolute Carnage,2019,5, ,https://comicvine.gamespot.com/absolute-carnage-5/4000-728409/,0 days 00:00:00,Marvel
31,Venom,2018,20,Issue,2020-01-01,Comicvine,110770,728983,Venom,2018,20, ,https://comicvine.gamespot.com/venom-20-oversight-part-two/4000-728983/,0 days 00:00:00,Marvel
