,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Avengers Spotlight,1989,26,Issue,1989-12-31,Comicvine,4218,31992,Avengers Spotlight,1989,26, ,https://comicvine.gamespot.com/avengers-spotlight-26-tales-from-the-vault/4000-31992/,32 days 00:00:00,Marvel
2,New Mutants,1983,86,Issue,1990-02-01,Comicvine,3234,32456,The New Mutants,1983,86, ,https://comicvine.gamespot.com/the-new-mutants-86-bang-youre-dead/4000-32456/,31 days 00:00:00,Marvel
3,X-Factor,1986,50,Issue,1990-01-01,Comicvine,3657,32340,X-Factor,1986,50, ,https://comicvine.gamespot.com/x-factor-50-judgement-day/4000-32340/,215 days 00:00:00,Marvel
4,Damage Control,1989,1,Issue,1989-05-31,Comicvine,4349,31211,Damage Control,1989,1, ,https://comicvine.gamespot.com/damage-control-1-a-restoration-comedy/4000-31211/,214 days 00:00:00,Marvel
5,Avengers,1963,311,Issue,1989-12-31,Comicvine,2128,31993,The Avengers,1963,311, ,https://comicvine.gamespot.com/the-avengers-311-the-weakest-point/4000-31993/,60 days 00:00:00,Marvel
6,Thor,1989,410,Issue,1989-11-01,Comicvine,61213,31934,The Mighty Thor,1989,410, ,https://comicvine.gamespot.com/issue/4000-31934/,30 days 00:00:00,Marvel
7,Iron Man,1968,250,Issue,1989-12-01,Comicvine,2407,32000,Iron Man,1968,250, ,https://comicvine.gamespot.com/iron-man-250-recurring-knightmare/4000-32000/,0 days 00:00:00,Marvel
8,Captain America,1968,365,Issue,1989-12-01,Comicvine,2400,32056,Captain America,1968,365, ,https://comicvine.gamespot.com/captain-america-365-submission/4000-32056/,0 days 00:00:00,Marvel
9,Fantastic Four,1961,334,Issue,1989-12-01,Comicvine,2045,32319,Fantastic Four,1961,334, ,https://comicvine.gamespot.com/fantastic-four-334-shadows-of-alarm/4000-32319/,0 days 00:00:00,Marvel
10,Amazing Spider-Man,1963,326,Issue,1989-12-01,Comicvine,2127,31991,The Amazing Spider-Man,1963,326, ,https://comicvine.gamespot.com/the-amazing-spider-man-326-gravity-storm/4000-31991/,0 days 00:00:00,Marvel
11,Spectacular Spider-Man,1976,158,Issue,1989-12-01,Comicvine,2870,32014,The Spectacular Spider-Man,1976,158, ,https://comicvine.gamespot.com/the-spectacular-spider-man-158-the-paste-and-the-p/4000-32014/,30 days 00:00:00,Marvel
12,Wolverine,1988,19,Issue,1989-12-31,Comicvine,4250,64284,Wolverine,1988,19, ,https://comicvine.gamespot.com/wolverine-19-heroes-villains/4000-64284/,31 days 00:00:00,Marvel
13,Wolverine,1988,20,Issue,1990-01-31,Comicvine,4250,64285,Wolverine,1988,20, ,https://comicvine.gamespot.com/wolverine-20-miracles/4000-64285/,91 days 00:00:00,Marvel
14,Cloak and Dagger,1988,8,Issue,1989-11-01,Comicvine,4060,95266,The Mutant Misadventures of Cloak and Dagger,1988,8, ,https://comicvine.gamespot.com/issue/4000-95266/,60 days 00:00:00,Marvel
15,Cloak and Dagger,1988,9,Issue,1989-12-31,Comicvine,4060,95267,The Mutant Misadventures of Cloak and Dagger,1988,9, ,https://comicvine.gamespot.com/issue/4000-95267/,12 days 00:00:00,Marvel
16,Web of Spider-Man,1985,59,Issue,1989-12-19,Comicvine,3519,32075,Web of Spider-Man,1985,59, ,https://comicvine.gamespot.com/web-of-spider-man-59-with-great-power/4000-32075/,43 days 00:00:00,Marvel
17,Power Pack,1984,53,Issue,1990-01-31,Comicvine,3358,32326,Power Pack,1984,53, ,https://comicvine.gamespot.com/power-pack-53-chinks-in-the-armor/4000-32326/,31 days 00:00:00,Marvel
