,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Drax the Destroyer,2005,1,Issue,2005-11-30,Comicvine,18291,107044,Drax the Destroyer,2005,1, ,https://comicvine.gamespot.com/drax-the-destroyer-1-earthfall/4000-107044/,31 days 00:00:00,Marvel
2,Drax the Destroyer,2005,2,Issue,2005-12-31,Comicvine,18291,107164,Drax the Destroyer,2005,2, ,https://comicvine.gamespot.com/drax-the-destroyer-2-illegal-aliens/4000-107164/,31 days 00:00:00,Marvel
3,Drax the Destroyer,2005,3,Issue,2006-01-31,Comicvine,18291,107165,Drax the Destroyer,2005,3, ,https://comicvine.gamespot.com/drax-the-destroyer-3-from-the-ashes/4000-107165/,28 days 00:00:00,Marvel
4,Drax the Destroyer,2005,4,Issue,2006-02-28,Comicvine,18291,107166,Drax the Destroyer,2005,4, ,https://comicvine.gamespot.com/drax-the-destroyer-4-hard-penance/4000-107166/,62 days 00:00:00,Marvel
5,Annihilation: Prologue,2006,1,Issue,2006-05-01,Comicvine,18290,107043,Annihilation: Prologue,2006,1, ,https://comicvine.gamespot.com/annihilation-prologue-1-annihilation-day/4000-107043/,60 days 00:00:00,Marvel
6,Annihilation: Nova,2006,1,Issue,2006-06-30,Comicvine,18017,105470,Annihilation: Nova,2006,1, ,https://comicvine.gamespot.com/annihilation-nova-1-all-for-one/4000-105470/,31 days 00:00:00,Marvel
7,Annihilation: Nova,2006,2,Issue,2006-07-31,Comicvine,18017,105476,Annihilation: Nova,2006,2, ,https://comicvine.gamespot.com/annihilation-nova-2-and-one-for-all/4000-105476/,31 days 00:00:00,Marvel
8,Annihilation: Nova,2006,3,Issue,2006-08-31,Comicvine,18017,105477,Annihilation: Nova,2006,3, ,https://comicvine.gamespot.com/annihilation-nova-3-safety-in-numbers/4000-105477/,30 days 00:00:00,Marvel
9,Annihilation: Nova,2006,4,Issue,2006-09-30,Comicvine,18017,105478,Annihilation: Nova,2006,4, ,https://comicvine.gamespot.com/annihilation-nova-4-ten-minutes-and-counting/4000-105478/,92 days 00:00:00,Marvel
10,Annihilation: Silver Surfer,2006,1,Issue,2006-06-30,Comicvine,20185,125533,Annihilation: Silver Surfer,2006,1, ,https://comicvine.gamespot.com/annihilation-silver-surfer-1-opposing-force/4000-125533/,31 days 00:00:00,Marvel
11,Annihilation: Silver Surfer,2006,2,Issue,2006-07-31,Comicvine,20185,120431,Annihilation: Silver Surfer,2006,2, ,https://comicvine.gamespot.com/annihilation-silver-surfer-2-the-culling/4000-120431/,31 days 00:00:00,Marvel
