,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Extraordinary X-Men,2016,8,Issue,2016-05-31,Comicvine,85756,520201,Extraordinary X-Men,2015,8, ,https://comicvine.gamespot.com/issue/4000-520201/,30 days 00:00:00,Marvel
2,Extraordinary X-Men,2016,9,Issue,2016-06-30,Comicvine,85756,526051,Extraordinary X-Men,2015,9, ,https://comicvine.gamespot.com/issue/4000-526051/,31 days 00:00:00,Marvel
3,Extraordinary X-Men,2016,10,Issue,2016-07-31,Comicvine,85756,531882,Extraordinary X-Men,2015,10, ,https://comicvine.gamespot.com/issue/4000-531882/,31 days 00:00:00,Marvel
4,Extraordinary X-Men,2016,11,Issue,2016-08-31,Comicvine,85756,537938,Extraordinary X-Men,2015,11, ,https://comicvine.gamespot.com/issue/4000-537938/,30 days 00:00:00,Marvel
5,Extraordinary X-Men,2016,12,Issue,2016-09-30,Comicvine,85756,541202,Extraordinary X-Men,2015,12, ,https://comicvine.gamespot.com/issue/4000-541202/,92 days 00:00:00,Marvel
6,Uncanny X-Men,2016,6,Issue,2016-06-30,Comicvine,87190,523269,Uncanny X-Men,2016,6, ,https://comicvine.gamespot.com/uncanny-x-men-6-awakening-going-public/4000-523269/,31 days 00:00:00,Marvel
7,Uncanny X-Men,2016,7,Issue,2016-07-31,Comicvine,87190,528525,Uncanny X-Men,2016,7, ,https://comicvine.gamespot.com/uncanny-x-men-7/4000-528525/,31 days 00:00:00,Marvel
8,Uncanny X-Men,2016,8,Issue,2016-08-31,Comicvine,87190,535372,Uncanny X-Men,2016,8, ,https://comicvine.gamespot.com/uncanny-x-men-8/4000-535372/,0 days 00:00:00,Marvel
9,Uncanny X-Men,2016,9,Issue,2016-08-31,Comicvine,87190,537956,Uncanny X-Men,2016,9, ,https://comicvine.gamespot.com/uncanny-x-men-9/4000-537956/,30 days 00:00:00,Marvel
10,Uncanny X-Men,2016,10,Issue,2016-09-30,Comicvine,87190,540092,Uncanny X-Men,2016,10, ,https://comicvine.gamespot.com/uncanny-x-men-10/4000-540092/,61 days 00:00:00,Marvel
11,All-New X-Men,2016,9,Issue,2016-07-31,Comicvine,86334,529649,All-New X-Men,2015,9, ,https://comicvine.gamespot.com/issue/4000-529649/,31 days 00:00:00,Marvel
12,All-New X-Men,2016,10,Issue,2016-08-31,Comicvine,86334,534277,All-New X-Men,2015,10, ,https://comicvine.gamespot.com/issue/4000-534277/,30 days 00:00:00,Marvel
13,All-New X-Men,2016,11,Issue,2016-09-30,Comicvine,86334,539233,All-New X-Men,2015,11, ,https://comicvine.gamespot.com/issue/4000-539233/,0 days 00:00:00,Marvel
