,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Uncanny X-Men,1981,368,Issue,1999-05-01,Comicvine,3092,45834,The Uncanny X-Men,1981,368, ,https://comicvine.gamespot.com/the-uncanny-x-men-368-mansions-in-heaven/4000-45834/,0 days 00:00:00,Marvel
2,X-Men,1991,88,Issue,1999-05-01,Comicvine,4605,65787,X-Men,1991,88, ,https://comicvine.gamespot.com/x-men-88-a-world-apart/4000-65787/,31 days 00:00:00,Marvel
3,Uncanny X-Men,1981,369,Issue,1999-06-01,Comicvine,3092,45878,The Uncanny X-Men,1981,369, ,https://comicvine.gamespot.com/the-uncanny-x-men-369-unstoppable/4000-45878/,0 days 00:00:00,Marvel
4,X-Men,1991,89,Issue,1999-06-01,Comicvine,4605,65788,X-Men,1991,89, ,https://comicvine.gamespot.com/x-men-89-back-from-the-dead/4000-65788/,30 days 00:00:00,Marvel
5,Uncanny X-Men,1981,370,Issue,1999-07-01,Comicvine,3092,65136,The Uncanny X-Men,1981,370, ,https://comicvine.gamespot.com/the-uncanny-x-men-370-history-repeats/4000-65136/,0 days 00:00:00,Marvel
6,X-Men,1991,90,Issue,1999-07-01,Comicvine,4605,65789,X-Men,1991,90, ,https://comicvine.gamespot.com/x-men-90-the-devourer-upon-them/4000-65789/,31 days 00:00:00,Marvel
7,Uncanny X-Men,1981,371,Issue,1999-08-01,Comicvine,3092,65137,The Uncanny X-Men,1981,371, ,https://comicvine.gamespot.com/the-uncanny-x-men-371-crossed-wires/4000-65137/,0 days 00:00:00,Marvel
8,X-Men,1991,91,Issue,1999-08-01,Comicvine,4605,65790,X-Men,1991,91, ,https://comicvine.gamespot.com/x-men-91-plague-of-evil/4000-65790/,1 days 00:00:00,Marvel
9,Wolverine,1988,140,Issue,1999-07-31,Comicvine,4250,51207,Wolverine,1988,140, ,https://comicvine.gamespot.com/wolverine-140-vengeance/4000-51207/,31 days 00:00:00,Marvel
10,Wolverine,1988,141,Issue,1999-08-31,Comicvine,4250,51208,Wolverine,1988,141, ,https://comicvine.gamespot.com/wolverine-141-broken-dreams/4000-51208/,30 days 00:00:00,Marvel
