,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Silver Surfer Annual,1988,2,Issue,1989-08-31,Comicvine,4069,30596,Silver Surfer Annual,1988,2, ,https://comicvine.gamespot.com/silver-surfer-annual-2-how-sharper-than-a-serpents/4000-30596/,30 days 00:00:00,Marvel
2,Iron Man Annual,1970,10,Issue,1989-09-30,Comicvine,2905,31655,Iron Man Annual,1970,10, ,https://comicvine.gamespot.com/iron-man-annual-10-two-if-by-sea/4000-31655/,30 days 00:00:00,Marvel
3,Marvel Comics Presents,1988,26,Issue,1989-08-31,Comicvine,4058,31586,Marvel Comics Presents,1988,26, ,https://comicvine.gamespot.com/marvel-comics-presents-26-splashdown/4000-31586/,30 days 00:00:00,Marvel
4,X-Men Annual,1970,13,Issue,1989-08-01,Comicvine,22988,107609,X-Men Annual,1970,13, ,https://comicvine.gamespot.com/x-men-annual-13-double-x-cross-jubilation-day-serp/4000-107609/,60 days 00:00:00,Marvel
5,Amazing Spider-Man Annual,1987,23,Issue,1989-09-30,Comicvine,2189,30692,The Amazing Spider-Man Annual,1964,23, ,https://comicvine.gamespot.com/the-amazing-spider-man-annual-23-abominations/4000-30692/,29 days 00:00:00,Marvel
6,Punisher Vol. 2 Annual,1988,2,Issue,1989-09-01,Comicvine,4064,31546,The Punisher Annual,1988,2, ,https://comicvine.gamespot.com/issue/4000-31546/,29 days 00:00:00,Marvel
7,Spectacular Spider-Man Annual,1979,9,Issue,1989-09-30,Comicvine,3012,30632,The Spectacular Spider-Man Annual,1979,9, ,https://comicvine.gamespot.com/the-spectacular-spider-man-annual-9-the-serpent-in/4000-30632/,92 days 00:00:00,Marvel
8,Daredevil Annual,1967,4,Issue,1989-12-31,Comicvine,2351,30617,Daredevil Annual,1967,5, ,https://comicvine.gamespot.com/issue/4000-30617/,61 days 00:00:00,Marvel
9,Avengers Annual,1967,18,Issue,1989-10-31,Comicvine,2350,30682,The Avengers Annual,1967,18, ,https://comicvine.gamespot.com/the-avengers-annual-18-avengers-assembled/4000-30682/,123 days 00:00:00,Marvel
10,New Mutants,1983,76,Issue,1989-06-30,Comicvine,3234,31363,The New Mutants,1983,76, ,https://comicvine.gamespot.com/the-new-mutants-76-splash/4000-31363/,123 days 00:00:00,Marvel
11,New Mutants Annual,1984,5,Issue,1989-10-31,Comicvine,3356,30616,The New Mutants Annual,1984,5, ,https://comicvine.gamespot.com/the-new-mutants-annual-5-here-be-monsters/4000-30616/,0 days 00:00:00,Marvel
12,X-Factor Annual,1986,4,Issue,1989-10-31,Comicvine,3658,30609,X-Factor Annual,1986,4, ,https://comicvine.gamespot.com/x-factor-annual-4-i-must-go-down-to-the-sea-again/4000-30609/,30 days 00:00:00,Marvel
13,Web of Spider-Man Annual,1985,5,Issue,1989-11-30,Comicvine,3520,30615,Web of Spider-Man Annual,1985,5, ,https://comicvine.gamespot.com/web-of-spider-man-annual-5-war-zone-new-york/4000-30615/,91 days 00:00:00,Marvel
14,Avengers: West Coast,1989,56,Issue,1990-03-01,Comicvine,18494,114102,Avengers West Coast,1989,56, ,https://comicvine.gamespot.com/avengers-west-coast-56-darker-than-scarlet/4000-114102/,91 days 00:00:00,Marvel
15,Avengers West Coast Annual,1989,4,Issue,1989-11-30,Comicvine,4219,31863,Avengers West Coast Annual,1989,4, ,https://comicvine.gamespot.com/avengers-west-coast-annual-4-gather-now-ye-seven-b/4000-31863/,0 days 00:00:00,Marvel
16,Thor Annual,1966,14,Issue,1989-11-30,Comicvine,79259,30677,The Mighty Thor Annual,1989,14, ,https://comicvine.gamespot.com/issue/4000-30677/,29 days 00:00:00,Marvel
17,Fantastic Four Annual,1963,22,Issue,1989-11-01,Comicvine,2129,30691,Fantastic Four Annual,1963,22, ,https://comicvine.gamespot.com/fantastic-four-annual-22-for-crown-and-conquest/4000-30691/,0 days 00:00:00,Marvel
