,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Spectacular Spider-Man,2003,15,Issue,2004-08-01,Comicvine,11069,96985,Spectacular Spider-Man,2003,15, ,https://comicvine.gamespot.com/spectacular-spider-man-15-under-my-skin-part-1/4000-96985/,0 days 00:00:00,Marvel
2,Spectacular Spider-Man,2003,16,Issue,2004-08-01,Comicvine,11069,97334,Spectacular Spider-Man,2003,16, ,https://comicvine.gamespot.com/spectacular-spider-man-16-under-my-skin-part-2/4000-97334/,31 days 00:00:00,Marvel
3,Spectacular Spider-Man,2003,17,Issue,2004-09-01,Comicvine,11069,97335,Spectacular Spider-Man,2003,17, ,https://comicvine.gamespot.com/spectacular-spider-man-17-changes-part-1/4000-97335/,30 days 00:00:00,Marvel
4,Spectacular Spider-Man,2003,18,Issue,2004-10-01,Comicvine,11069,97336,Spectacular Spider-Man,2003,18, ,https://comicvine.gamespot.com/spectacular-spider-man-18-changes-part-2/4000-97336/,31 days 00:00:00,Marvel
5,Spectacular Spider-Man,2003,19,Issue,2004-11-01,Comicvine,11069,97337,Spectacular Spider-Man,2003,19, ,https://comicvine.gamespot.com/spectacular-spider-man-19-changes-part-3/4000-97337/,30 days 00:00:00,Marvel
6,Spectacular Spider-Man,2003,20,Issue,2004-12-01,Comicvine,11069,97338,Spectacular Spider-Man,2003,20, ,https://comicvine.gamespot.com/spectacular-spider-man-20-changes-part-4/4000-97338/,122 days 00:00:00,Marvel
7,Iron Man,1998,84,Issue,2004-08-01,Comicvine,6504,99917,Iron Man,1998,84, ,https://comicvine.gamespot.com/iron-man-84-turf-war-part-1-when-worlds-collide/4000-99917/,0 days 00:00:00,Marvel
8,Iron Man,1998,85,Issue,2004-08-01,Comicvine,6504,99918,Iron Man,1998,85, ,https://comicvine.gamespot.com/iron-man-85-turf-war-part-2-uninvited-guests/4000-99918/,0 days 00:00:00,Marvel
9,Thor,1998,80,Issue,2004-08-01,Comicvine,6226,99326,Thor,1998,80, ,https://comicvine.gamespot.com/thor-80-ragnarok-part-the-first/4000-99326/,0 days 00:00:00,Marvel
10,Thor,1998,81,Issue,2004-08-01,Comicvine,6226,99327,Thor,1998,81, ,https://comicvine.gamespot.com/thor-81-ragnarok-part-the-second/4000-99327/,31 days 00:00:00,Marvel
11,Captain America & The Falcon,2004,5,Issue,2004-09-01,Comicvine,10973,94292,Captain America & the Falcon,2004,5, ,https://comicvine.gamespot.com/captain-america-the-falcon-5-jimmys-way/4000-94292/,30 days 00:00:00,Marvel
12,Captain America & The Falcon,2004,6,Issue,2004-10-01,Comicvine,10973,94293,Captain America & the Falcon,2004,6, ,https://comicvine.gamespot.com/captain-america-the-falcon-6-snapped/4000-94293/,31 days 00:00:00,Marvel
13,Captain America & The Falcon,2004,7,Issue,2004-11-01,Comicvine,10973,94294,Captain America & the Falcon,2004,7, ,https://comicvine.gamespot.com/captain-america-the-falcon-7-lost-in-translation/4000-94294/,61 days 00:00:00,Marvel
