,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Marvel Point One,2012,1.0,Issue,2011-07-31,Comicvine,41854,284853,Marvel Point One,2011,1, ,https://comicvine.gamespot.com/marvel-point-one-1-tpb/4000-284853/,185 days 00:00:00,Marvel
2,Avengers X-Sanction,2012,1.0,Issue,2012-02-01,Comicvine,44477,306478,Avengers: X-Sanction,2012,1, ,https://comicvine.gamespot.com/avengers-x-sanction-1-midnight/4000-306478/,29 days 00:00:00,Marvel
3,Avengers X-Sanction,2012,2.0,Issue,2012-03-01,Comicvine,44477,309396,Avengers: X-Sanction,2012,2, ,https://comicvine.gamespot.com/avengers-x-sanction-2-dawn/4000-309396/,31 days 00:00:00,Marvel
4,Avengers X-Sanction,2012,3.0,Issue,2012-04-01,Comicvine,44477,313883,Avengers: X-Sanction,2012,3, ,https://comicvine.gamespot.com/avengers-x-sanction-3-noon/4000-313883/,30 days 00:00:00,Marvel
5,Avengers X-Sanction,2012,4.0,Issue,2012-05-01,Comicvine,44477,322751,Avengers: X-Sanction,2012,4, ,https://comicvine.gamespot.com/avengers-x-sanction-4-sundown/4000-322751/,0 days 00:00:00,Marvel
6,Avengers,2010,24.1,Issue,2012-05-01,Comicvine,33227,324946,Avengers,2010,24.1, ,https://comicvine.gamespot.com/avengers-24-1-a-vision-of-things-to-come/4000-324946/,0 days 00:00:00,Marvel
7,Avengers vs. X-Men,2012,0.0,Issue,2012-05-01,Comicvine,47331,324839,Avengers Vs. X-Men,2012,0, ,https://comicvine.gamespot.com/avengers-vs-x-men-0-prologue/4000-324839/,31 days 00:00:00,Marvel
8,Avengers vs. X-Men,2012,1.0,Issue,2012-06-01,Comicvine,47331,326860,Avengers Vs. X-Men,2012,1, ,https://comicvine.gamespot.com/avengers-vs-x-men-1-round-1/4000-326860/,0 days 00:00:00,Marvel
9,Wolverine and The X-Men,2011,9.0,Issue,2012-06-01,Comicvine,43539,332029,Wolverine & the X-Men,2011,9, ,https://comicvine.gamespot.com/wolverine-and-the-x-men-9-day-of-the-phoenix-dark-/4000-332029/,0 days 00:00:00,Marvel
10,New Avengers,2010,24.0,Issue,2012-06-01,Comicvine,33777,329220,New Avengers,2010,24, ,https://comicvine.gamespot.com/new-avengers-24/4000-329220/,0 days 00:00:00,Marvel
11,Avengers vs. X-Men,2012,2.0,Issue,2012-06-01,Comicvine,47331,331952,Avengers Vs. X-Men,2012,2, ,https://comicvine.gamespot.com/avengers-vs-x-men-2-round-2/4000-331952/,0 days 00:00:00,Marvel
12,Avengers,2010,25.0,Issue,2012-06-01,Comicvine,33227,331948,Avengers,2010,25, ,https://comicvine.gamespot.com/avengers-25/4000-331948/,0 days 00:00:00,Marvel
13,AvX: VS,2012,1.0,Issue,2012-06-01,Comicvine,48342,333447,AVX: VS,2012,1, ,https://comicvine.gamespot.com/avx-vs-1-the-invincible-iron-man-vs-magneto-thing-/4000-333447/,517 days 00:00:00,Marvel
14,Uncanny X-Men,2012,11.0,Issue,2013-10-31,Comicvine,57181,423684,Uncanny X-Men,2013,11, ,https://comicvine.gamespot.com/uncanny-x-men-11/4000-423684/,487 days 00:00:00,Marvel
15,Avengers vs. X-Men,2012,3.0,Issue,2012-07-01,Comicvine,47331,334169,Avengers Vs. X-Men,2012,3, ,https://comicvine.gamespot.com/avengers-vs-x-men-3-round-3/4000-334169/,0 days 00:00:00,Marvel
16,Avengers Academy,2010,29.0,Issue,2012-07-01,Comicvine,33633,334211,Avengers Academy,2010,29, ,https://comicvine.gamespot.com/avengers-academy-29-protective-services-part-1/4000-334211/,0 days 00:00:00,Marvel
17,Avengers Academy,2010,30.0,Issue,2012-07-01,Comicvine,33633,335928,Avengers Academy,2010,30, ,https://comicvine.gamespot.com/avengers-academy-30-protective-services-part-2/4000-335928/,31 days 00:00:00,Marvel
18,Avengers Academy,2010,31.0,Issue,2012-08-01,Comicvine,33633,338524,Avengers Academy,2010,31, ,https://comicvine.gamespot.com/avengers-academy-31-protective-services-part-3/4000-338524/,31 days 00:00:00,Marvel
19,Wolverine and The X-Men,2011,10.0,Issue,2012-07-01,Comicvine,43539,335236,Wolverine & the X-Men,2011,10, ,https://comicvine.gamespot.com/wolverine-and-the-x-men-10-avengers-vs-x-men-vs-x-/4000-335236/,0 days 00:00:00,Marvel
20,X-Men: Legacy,2008,266.0,Issue,2012-07-01,Comicvine,20691,335232,X-Men: Legacy,2008,266, ,https://comicvine.gamespot.com/x-men-legacy-266-occupy-the-jean-grey-school-pt-1/4000-335232/,29 days 00:00:00,Marvel
21,X-Men: Legacy,2008,267.0,Issue,2012-07-30,Comicvine,20691,337502,X-Men: Legacy,2008,267, ,https://comicvine.gamespot.com/x-men-legacy-267-occupy-the-jean-grey-school-pt-2/4000-337502/,59 days 00:00:00,Marvel
22,Secret Avengers,2010,26.0,Issue,2012-06-01,Comicvine,33350,333444,Secret Avengers,2010,26, ,https://comicvine.gamespot.com/secret-avengers-26-operation-phoenix/4000-333444/,30 days 00:00:00,Marvel
23,Secret Avengers,2010,27.0,Issue,2012-07-01,Comicvine,33350,336585,Secret Avengers,2010,27, ,https://comicvine.gamespot.com/secret-avengers-27-sacred-ground/4000-336585/,31 days 00:00:00,Marvel
24,Secret Avengers,2010,28.0,Issue,2012-08-01,Comicvine,33350,341693,Secret Avengers,2010,28, ,https://comicvine.gamespot.com/secret-avengers-28-fire-falls-on-hala/4000-341693/,31 days 00:00:00,Marvel
25,Avengers,2010,26.0,Issue,2012-07-01,Comicvine,33227,335925,Avengers,2010,26, ,https://comicvine.gamespot.com/avengers-26-loyalties-divided/4000-335925/,31 days 00:00:00,Marvel
26,Avengers,2010,27.0,Issue,2012-08-01,Comicvine,33227,340392,Avengers,2010,27, ,https://comicvine.gamespot.com/avengers-27-kree-supremacy/4000-340392/,31 days 00:00:00,Marvel
27,Avengers vs. X-Men,2012,4.0,Issue,2012-07-01,Comicvine,47331,336045,Avengers Vs. X-Men,2012,4, ,https://comicvine.gamespot.com/avengers-vs-x-men-4-round-4/4000-336045/,92 days 00:00:00,Marvel
28,AvX: VS,2012,5.0,Issue,2012-10-01,Comicvine,48342,354184,AVX: VS,2012,5, ,https://comicvine.gamespot.com/avx-vs-5-angel-vs-hawkeye-black-panther-vs-storm/4000-354184/,92 days 00:00:00,Marvel
29,AvX: VS,2012,2.0,Issue,2012-07-01,Comicvine,48342,335954,AVX: VS,2012,2, ,https://comicvine.gamespot.com/avx-vs-2-captain-america-vs-gambit-the-amazing-spi/4000-335954/,517 days 00:00:00,Marvel
30,Uncanny X-Men,2012,12.0,Issue,2013-11-30,Comicvine,57181,425944,Uncanny X-Men,2013,12, ,https://comicvine.gamespot.com/uncanny-x-men-12-battle-of-the-atom-chapter-4/4000-425944/,517 days 00:00:00,Marvel
31,Wolverine and The X-Men,2011,11.0,Issue,2012-07-01,Comicvine,43539,337499,Wolverine & the X-Men,2011,11, ,https://comicvine.gamespot.com/wolverine-and-the-x-men-11-got-hope/4000-337499/,31 days 00:00:00,Marvel
32,Avengers vs. X-Men,2012,5.0,Issue,2012-08-01,Comicvine,47331,338525,Avengers Vs. X-Men,2012,5, ,https://comicvine.gamespot.com/avengers-vs-x-men-5-round-5/4000-338525/,517 days 00:00:00,Marvel
33,Uncanny X-Men,2012,13.0,Issue,2013-12-31,Comicvine,57181,428867,Uncanny X-Men,2013,13, ,https://comicvine.gamespot.com/uncanny-x-men-13-battle-of-the-atom-chapter-8/4000-428867/,517 days 00:00:00,Marvel
34,AvX: VS,2012,3.0,Issue,2012-08-01,Comicvine,48342,340399,AVX: VS,2012,3, ,https://comicvine.gamespot.com/avx-vs-3-the-thing-vs-colossus-black-widow-vs-magi/4000-340399/,0 days 00:00:00,Marvel
35,X-Men: Legacy,2008,268.0,Issue,2012-08-01,Comicvine,20691,340395,X-Men: Legacy,2008,268, ,https://comicvine.gamespot.com/x-men-legacy-268-loose-ends/4000-340395/,0 days 00:00:00,Marvel
36,Avengers Academy,2010,32.0,Issue,2012-08-01,Comicvine,33633,341837,Avengers Academy,2010,32, ,https://comicvine.gamespot.com/avengers-academy-32-what-the-heart-wants-part-1/4000-341837/,31 days 00:00:00,Marvel
37,Avengers Academy,2010,33.0,Issue,2012-09-01,Comicvine,33633,346269,Avengers Academy,2010,33, ,https://comicvine.gamespot.com/avengers-academy-33-what-the-heart-wants-conclusio/4000-346269/,517 days 00:00:00,Marvel
38,Uncanny X-Men,2012,14.0,Issue,2014-01-31,Comicvine,57181,433852,Uncanny X-Men,2013,14, ,https://comicvine.gamespot.com/uncanny-x-men-14/4000-433852/,548 days 00:00:00,Marvel
39,Avengers vs. X-Men,2012,6.0,Issue,2012-08-01,Comicvine,47331,341749,Avengers Vs. X-Men,2012,6, ,https://comicvine.gamespot.com/avengers-vs-x-men-6-round-6/4000-341749/,61 days 00:00:00,Marvel
40,New Avengers,2010,25.0,Issue,2012-06-01,Comicvine,33777,333450,New Avengers,2010,25, ,https://comicvine.gamespot.com/new-avengers-25-dragon-vs-phoenix/4000-333450/,30 days 00:00:00,Marvel
41,New Avengers,2010,26.0,Issue,2012-07-01,Comicvine,33777,335284,New Avengers,2010,26, ,https://comicvine.gamespot.com/new-avengers-26-legacy-of-fire/4000-335284/,62 days 00:00:00,Marvel
42,Avengers,2010,28.0,Issue,2012-09-01,Comicvine,33227,347231,Avengers,2010,28, ,https://comicvine.gamespot.com/avengers-28-a-rampaging-hulk-defeated/4000-347231/,576 days 00:00:00,Marvel
43,Uncanny X-Men,2012,15.0,Issue,2014-03-31,Comicvine,57181,436208,Uncanny X-Men,2013,15, ,https://comicvine.gamespot.com/uncanny-x-men-15-inh/4000-436208/,0 days 00:00:00,Marvel
44,Uncanny X-Men,2012,16.0,Issue,2014-03-31,Comicvine,57181,442179,Uncanny X-Men,2013,16, ,https://comicvine.gamespot.com/uncanny-x-men-16/4000-442179/,30 days 00:00:00,Marvel
45,Uncanny X-Men,2012,17.0,Issue,2014-04-30,Comicvine,57181,445823,Uncanny X-Men,2013,17, ,https://comicvine.gamespot.com/uncanny-x-men-17/4000-445823/,576 days 00:00:00,Marvel
46,Avengers,2010,29.0,Issue,2012-10-01,Comicvine,33227,351071,Avengers,2010,29, ,https://comicvine.gamespot.com/avengers-29-avengers-ambush/4000-351071/,61 days 00:00:00,Marvel
47,Wolverine and The X-Men,2011,12.0,Issue,2012-08-01,Comicvine,43539,342841,Wolverine & the X-Men,2011,12, ,https://comicvine.gamespot.com/wolverine-and-the-x-men-12-hounded/4000-342841/,31 days 00:00:00,Marvel
48,Wolverine and The X-Men,2011,13.0,Issue,2012-09-01,Comicvine,43539,345398,Wolverine & the X-Men,2011,13, ,https://comicvine.gamespot.com/wolverine-and-the-x-men-13-born-warbird/4000-345398/,0 days 00:00:00,Marvel
49,Avengers vs. X-Men,2012,7.0,Issue,2012-09-01,Comicvine,47331,344114,Avengers Vs. X-Men,2012,7, ,https://comicvine.gamespot.com/avengers-vs-x-men-7-round-7/4000-344114/,0 days 00:00:00,Marvel
50,AvX: VS,2012,4.0,Issue,2012-09-01,Comicvine,48342,345445,AVX: VS,2012,4, ,https://comicvine.gamespot.com/avx-vs-4-daredevil-vs-psylocke-thor-vs-emma-frost/4000-345445/,0 days 00:00:00,Marvel
51,New Avengers,2010,28.0,Issue,2012-09-01,Comicvine,33777,345393,New Avengers,2010,28, ,https://comicvine.gamespot.com/new-avengers-28-breakout-from-the-x-brig/4000-345393/,30 days 00:00:00,Marvel
52,New Avengers,2010,29.0,Issue,2012-10-01,Comicvine,33777,349640,New Avengers,2010,29, ,https://comicvine.gamespot.com/new-avengers-29-illuminati-assemble/4000-349640/,30 days 00:00:00,Marvel
53,Avengers vs. X-Men,2012,8.0,Issue,2012-09-01,Comicvine,47331,346240,Avengers Vs. X-Men,2012,8, ,https://comicvine.gamespot.com/avengers-vs-x-men-8-round-8/4000-346240/,31 days 00:00:00,Marvel
54,New Avengers,2010,27.0,Issue,2012-08-01,Comicvine,33777,341733,New Avengers,2010,27, ,https://comicvine.gamespot.com/new-avengers-27-a-phoenix-rises-in-kun-lun/4000-341733/,0 days 00:00:00,Marvel
55,X-Men: Legacy,2008,269.0,Issue,2012-08-01,Comicvine,20691,342842,X-Men: Legacy,2008,269, ,https://comicvine.gamespot.com/x-men-legacy-269-allegiances-pt-1/4000-342842/,31 days 00:00:00,Marvel
56,X-Men: Legacy,2008,270.0,Issue,2012-09-01,Comicvine,20691,347229,X-Men: Legacy,2008,270, ,https://comicvine.gamespot.com/x-men-legacy-270-allegiances-pt-2/4000-347229/,0 days 00:00:00,Marvel
57,Wolverine and The X-Men,2011,14.0,Issue,2012-09-01,Comicvine,43539,347208,Wolverine & the X-Men,2011,14, ,https://comicvine.gamespot.com/wolverine-and-the-x-men-14-my-dinner-with-the-phoe/4000-347208/,30 days 00:00:00,Marvel
58,Avengers vs. X-Men,2012,9.0,Issue,2012-10-01,Comicvine,47331,348054,Avengers Vs. X-Men,2012,9, ,https://comicvine.gamespot.com/avengers-vs-x-men-9-round-9/4000-348054/,0 days 00:00:00,Marvel
59,Avengers vs. X-Men,2012,10.0,Issue,2012-10-01,Comicvine,47331,351068,Avengers Vs. X-Men,2012,10, ,https://comicvine.gamespot.com/avengers-vs-x-men-10-round-10/4000-351068/,0 days 00:00:00,Marvel
