,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Chaos War: Chaos King,2010,1,Issue,2011-01-01,Comicvine,36737,244976,Chaos War: Chaos King,2011,1, ,https://comicvine.gamespot.com/chaos-war-chaos-king-1-nothing-at-all-at-the-cross/4000-244976/,31 days 00:00:00,Marvel
2,Chaos War,2010,1,Issue,2010-12-01,Comicvine,35877,237208,Chaos War,2010,1, ,https://comicvine.gamespot.com/chaos-war-1-the-end-is-nigh/4000-237208/,62 days 00:00:00,Marvel
3,Chaos War: Ares,2010,1,Issue,2011-02-01,Comicvine,37344,248495,Chaos War: Ares,2011,1, ,https://comicvine.gamespot.com/chaos-war-ares-1/4000-248495/,62 days 00:00:00,Marvel
4,Chaos War,2010,2,Issue,2010-12-01,Comicvine,35877,239053,Chaos War,2010,2, ,https://comicvine.gamespot.com/chaos-war-2-return-of-the-god-squad/4000-239053/,31 days 00:00:00,Marvel
5,Chaos War,2010,3,Issue,2011-01-01,Comicvine,35877,240898,Chaos War,2010,3, ,https://comicvine.gamespot.com/chaos-war-3-paradises-lost/4000-240898/,31 days 00:00:00,Marvel
6,Chaos War: God Squad,2010,1,Issue,2011-02-01,Comicvine,36852,247525,Chaos War: God Squad,2011,1, ,https://comicvine.gamespot.com/chaos-war-god-squad-1-gods-monsters/4000-247525/,31 days 00:00:00,Marvel
7,Chaos War: Alpha Flight,2010,1,Issue,2011-01-01,Comicvine,36952,246466,Chaos War: Alpha Flight,2011,1, ,https://comicvine.gamespot.com/chaos-war-alpha-flight-1/4000-246466/,51 days 00:00:00,Marvel
8,Incredible Hulks,2010,618,Issue,2011-02-21,Comicvine,35303,248499,Incredible Hulks,2010,618, ,https://comicvine.gamespot.com/incredible-hulks-618-inferno-smash-files-a-bomb-ho/4000-248499/,51 days 00:00:00,Marvel
9,Chaos War: Dead Avengers,2010,1,Issue,2011-01-01,Comicvine,36730,244901,Chaos War: Dead Avengers,2011,1, ,https://comicvine.gamespot.com/chaos-war-dead-avengers-1-the-chaos-races-on/4000-244901/,31 days 00:00:00,Marvel
10,Chaos War,2010,4,Issue,2011-02-01,Comicvine,35877,249228,Chaos War,2010,4, ,https://comicvine.gamespot.com/chaos-war-4-facing-oblivion/4000-249228/,0 days 00:00:00,Marvel
11,Chaos War: X-Men,2010,1,Issue,2011-02-01,Comicvine,37956,252737,Chaos War: X-Men,2011,1, ,https://comicvine.gamespot.com/chaos-war-x-men-1-dead-x-men-pt-1/4000-252737/,28 days 00:00:00,Marvel
12,Chaos War: X-Men,2010,2,Issue,2011-03-01,Comicvine,37956,259132,Chaos War: X-Men,2011,2, ,https://comicvine.gamespot.com/chaos-war-x-men-2-dead-x-men-pt-2/4000-259132/,59 days 00:00:00,Marvel
13,Chaos War: Thor,2010,1,Issue,2011-01-01,Comicvine,36613,242917,Chaos War: Thor,2011,1, ,https://comicvine.gamespot.com/chaos-war-thor-1-answered-prayers-part-1-the-falle/4000-242917/,31 days 00:00:00,Marvel
14,Chaos War: Thor,2010,2,Issue,2011-02-01,Comicvine,36613,249564,Chaos War: Thor,2011,2, ,https://comicvine.gamespot.com/chaos-war-thor-2-answered-prayers-part-2-the-risen/4000-249564/,20 days 00:00:00,Marvel
15,Incredible Hulks,2010,619,Issue,2011-02-21,Comicvine,35303,250621,Incredible Hulks,2010,619, ,https://comicvine.gamespot.com/incredible-hulks-619-hell-break-smash-files-savage/4000-250621/,28 days 00:00:00,Marvel
16,Incredible Hulks,2010,620,Issue,2011-03-21,Comicvine,35303,255919,Incredible Hulks,2010,620, ,https://comicvine.gamespot.com/incredible-hulks-620-harrowed-inductive-reasoning/4000-255919/,48 days 00:00:00,Marvel
17,Chaos war: Dead Avengers,2011,2,Issue,2011-02-01,Comicvine,36730,250619,Chaos War: Dead Avengers,2011,2, ,https://comicvine.gamespot.com/chaos-war-dead-avengers-2-even-the-dead-can-die/4000-250619/,28 days 00:00:00,Marvel
18,Chaos war: Dead Avengers,2011,3,Issue,2011-03-01,Comicvine,36730,255931,Chaos War: Dead Avengers,2011,3, ,https://comicvine.gamespot.com/chaos-war-dead-avengers-3-terminated/4000-255931/,0 days 00:00:00,Marvel
19,Chaos War,2010,5,Issue,2011-03-01,Comicvine,35877,259135,Chaos War,2010,5, ,https://comicvine.gamespot.com/chaos-war-5-the-end-is-here/4000-259135/,0 days 00:00:00,Marvel
