,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Amazing Spider-Man,2015,16,Issue,2016-10-31,Comicvine,85076,543745,The Amazing Spider-Man,2015,16, ,https://comicvine.gamespot.com/the-amazing-spider-man-16-before-dead-no-more-part/4000-543745/,0 days 00:00:00,Marvel
2,Amazing Spider-Man,2015,17,Issue,2016-10-31,Comicvine,85076,547268,The Amazing Spider-Man,2015,17, ,https://comicvine.gamespot.com/the-amazing-spider-man-17-before-dead-no-more-part/4000-547268/,30 days 00:00:00,Marvel
3,Amazing Spider-Man,2015,18,Issue,2016-11-30,Comicvine,85076,550344,The Amazing Spider-Man,2015,18, ,https://comicvine.gamespot.com/the-amazing-spider-man-18-before-dead-no-more-part/4000-550344/,31 days 00:00:00,Marvel
4,Amazing Spider-Man,2015,19,Issue,2016-12-31,Comicvine,85076,552152,The Amazing Spider-Man,2015,19, ,https://comicvine.gamespot.com/the-amazing-spider-man-19-before-dead-no-more-part/4000-552152/,0 days 00:00:00,Marvel
5,The Clone Conspiracy,2016,1,Issue,2016-12-31,Comicvine,94788,553001,The Clone Conspiracy,2016,1, ,https://comicvine.gamespot.com/the-clone-conspiracy-1-dead-no-more-part-one-the-l/4000-553001/,0 days 00:00:00,Marvel
6,Amazing Spider-Man,2015,20,Issue,2016-12-31,Comicvine,85076,553945,The Amazing Spider-Man,2015,20, ,https://comicvine.gamespot.com/the-amazing-spider-man-20-spider-mans-superior/4000-553945/,31 days 00:00:00,Marvel
7,The Clone Conspiracy,2016,2,Issue,2017-01-31,Comicvine,94788,557361,The Clone Conspiracy,2016,2, ,https://comicvine.gamespot.com/the-clone-conspiracy-2/4000-557361/,0 days 00:00:00,Marvel
8,Amazing Spider-Man,2015,21,Issue,2017-01-31,Comicvine,85076,558408,The Amazing Spider-Man,2015,21, ,https://comicvine.gamespot.com/the-amazing-spider-man-21-live-another-day/4000-558408/,0 days 00:00:00,Marvel
9,Silk,2016,14,Issue,2017-01-31,Comicvine,86251,558421,Silk,2015,14, ,https://comicvine.gamespot.com/silk-14/4000-558421/,28 days 00:00:00,Marvel
10,Silk,2016,15,Issue,2017-02-28,Comicvine,86251,566723,Silk,2015,15, ,https://comicvine.gamespot.com/silk-15-the-night-shift/4000-566723/,0 days 00:00:00,Marvel
11,The Clone Conspiracy,2016,3,Issue,2017-02-28,Comicvine,94788,563719,The Clone Conspiracy,2016,3, ,https://comicvine.gamespot.com/the-clone-conspiracy-3/4000-563719/,0 days 00:00:00,Marvel
12,Amazing Spider-Man,2015,22,Issue,2017-02-28,Comicvine,85076,569323,The Amazing Spider-Man,2015,22, ,https://comicvine.gamespot.com/the-amazing-spider-man-22-seeing-red/4000-569323/,59 days 00:00:00,Marvel
13,Prowler,2016,1,Issue,2016-12-31,Comicvine,95232,555536,Prowler,2016,1, ,https://comicvine.gamespot.com/prowler-1/4000-555536/,31 days 00:00:00,Marvel
14,Prowler,2016,2,Issue,2017-01-31,Comicvine,95232,558973,Prowler,2016,2, ,https://comicvine.gamespot.com/prowler-2/4000-558973/,28 days 00:00:00,Marvel
15,Prowler,2016,3,Issue,2017-02-28,Comicvine,95232,571680,Prowler,2016,3, ,https://comicvine.gamespot.com/prowler-3/4000-571680/,31 days 00:00:00,Marvel
16,Silk,2016,16,Issue,2017-03-31,Comicvine,86251,575881,Silk,2015,16, ,https://comicvine.gamespot.com/silk-16/4000-575881/,0 days 00:00:00,Marvel
17,The Clone Conspiracy,2016,4,Issue,2017-03-31,Comicvine,94788,576619,The Clone Conspiracy,2016,4, ,https://comicvine.gamespot.com/the-clone-conspiracy-4/4000-576619/,0 days 00:00:00,Marvel
18,Amazing Spider-Man,2015,23,Issue,2017-03-31,Comicvine,85076,576613,The Amazing Spider-Man,2015,23, ,https://comicvine.gamespot.com/the-amazing-spider-man-23-the-moment-you-know/4000-576613/,0 days 00:00:00,Marvel
19,Prowler,2016,4,Issue,2017-03-31,Comicvine,95232,578469,Prowler,2016,4, ,https://comicvine.gamespot.com/prowler-4/4000-578469/,30 days 00:00:00,Marvel
20,The Clone Conspiracy,2016,5,Issue,2017-04-30,Comicvine,94788,581550,The Clone Conspiracy,2016,5, ,https://comicvine.gamespot.com/the-clone-conspiracy-5/4000-581550/,0 days 00:00:00,Marvel
21,Silk,2016,17,Issue,2017-04-30,Comicvine,86251,581567,Silk,2015,17, ,https://comicvine.gamespot.com/silk-17/4000-581567/,0 days 00:00:00,Marvel
22,Amazing Spider-Man,2015,24,Issue,2017-04-30,Comicvine,85076,582516,The Amazing Spider-Man,2015,24, ,https://comicvine.gamespot.com/the-amazing-spider-man-24-night-of-the-jackals/4000-582516/,0 days 00:00:00,Marvel
23,Prowler,2016,5,Issue,2017-04-30,Comicvine,95232,582539,Prowler,2016,5, ,https://comicvine.gamespot.com/prowler-5/4000-582539/,120 days 00:00:00,Marvel
24,Dead No More: The Clone Conspiracy Omega,2017,1,Issue,2016-12-31,Comicvine,94788,553001,The Clone Conspiracy,2016,1, ,https://comicvine.gamespot.com/the-clone-conspiracy-1-dead-no-more-part-one-the-l/4000-553001/,0 days 00:00:00,Marvel
