,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Amazing Spider-Man,2018,32,Issue,2019-12-01,Comicvine,112161,723850,The Amazing Spider-Man,2018,32, ,https://comicvine.gamespot.com/the-amazing-spider-man-32-running-late/4000-723850/,31 days 00:00:00,Marvel
2,Amazing Spider-Man,2018,33,Issue,2020-01-01,Comicvine,112161,726200,The Amazing Spider-Man,2018,33, ,https://comicvine.gamespot.com/the-amazing-spider-man-33-point-blank/4000-726200/,0 days 00:00:00,Marvel
3,Amazing Spider-Man,2018,34,Issue,2020-01-01,Comicvine,112161,728413,The Amazing Spider-Man,2018,34, ,https://comicvine.gamespot.com/the-amazing-spider-man-34-target-doom/4000-728413/,0 days 00:00:00,Marvel
4,2099 Alpha,2020,1,Issue,2020-01-01,Comicvine,122984,728408,2099 Alpha,2019,1, ,https://comicvine.gamespot.com/issue/4000-728408/,0 days 00:00:00,Marvel
5,Conan 2099,2020,1,Issue,2020-01-01,Comicvine,123122,728971,Conan 2099,2019,1, ,https://comicvine.gamespot.com/issue/4000-728971/,31 days 00:00:00,Marvel
6,Doom 2099,2020,1,Issue,2020-02-01,Comicvine,123409,730332,Doom 2099,2019,1, ,https://comicvine.gamespot.com/issue/4000-730332/,31 days 00:00:00,Marvel
7,Fantastic Four 2099,2020,1,Issue,2020-01-01,Comicvine,122988,728421,Fantastic Four 2099,2019,1, ,https://comicvine.gamespot.com/issue/4000-728421/,31 days 00:00:00,Marvel
8,Ghost Rider 2099,2020,1,Issue,2020-02-01,Comicvine,123266,729680,Ghost Rider 2099,2019,1, ,https://comicvine.gamespot.com/issue/4000-729680/,31 days 00:00:00,Marvel
9,Punisher 2099,2020,1,Issue,2020-01-01,Comicvine,123124,728978,The Punisher 2099,2019,1, ,https://comicvine.gamespot.com/issue/4000-728978/,31 days 00:00:00,Marvel
10,Venom 2099,2020,1,Issue,2020-02-01,Comicvine,123276,729690,Venom 2099,2019,1, ,https://comicvine.gamespot.com/issue/4000-729690/,0 days 00:00:00,Marvel
11,Amazing Spider-Man,2018,35,Issue,2020-02-01,Comicvine,112161,729672,The Amazing Spider-Man,2018,35, ,https://comicvine.gamespot.com/the-amazing-spider-man-35-dooms-day/4000-729672/,0 days 00:00:00,Marvel
12,Amazing Spider-Man,2018,36,Issue,2020-02-01,Comicvine,112161,731503,The Amazing Spider-Man,2018,36, ,https://comicvine.gamespot.com/the-amazing-spider-man-36-time-after-time/4000-731503/,0 days 00:00:00,Marvel
13,Spider-Man 2099,2020,1,Issue,2020-02-01,Comicvine,123411,730344,Spider-Man 2099,2019,1, ,https://comicvine.gamespot.com/issue/4000-730344/,0 days 00:00:00,Marvel
14,2099 Omega,2020,1,Issue,2020-02-01,Comicvine,123691,731422,2099 Omega,2019,1, ,https://comicvine.gamespot.com/issue/4000-731422/,0 days 00:00:00,Marvel
