,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Monsters Unleashed,2017,1,Issue,2017-06-30,Comicvine,100829,592601,Monsters Unleashed,2017,1, ,https://comicvine.gamespot.com/monsters-unleashed-1/4000-592601/,91 days 00:00:00,Marvel
2,Avengers,2017,1.MU,Issue,2017-03-31,Comicvine,95402,578450,Avengers,2016,1.MU, ,https://comicvine.gamespot.com/issue/4000-578450/,0 days 00:00:00,Marvel
3,Spider-Man/Deadpool,2017,1.MU,Issue,2017-03-31,Comicvine,87182,578473,Spider-Man/Deadpool,2016,1.MU, ,https://comicvine.gamespot.com/issue/4000-578473/,122 days 00:00:00,Marvel
4,Monsters Unleashed,2017,2,Issue,2017-07-31,Comicvine,100829,595695,Monsters Unleashed,2017,2, ,https://comicvine.gamespot.com/monsters-unleashed-2/4000-595695/,92 days 00:00:00,Marvel
5,All-New X-Men,2017,1.MU,Issue,2017-04-30,Comicvine,86334,579304,All-New X-Men,2015,1.MU, ,https://comicvine.gamespot.com/issue/4000-579304/,123 days 00:00:00,Marvel
6,Monsters Unleashed,2017,3,Issue,2017-08-31,Comicvine,100829,603129,Monsters Unleashed,2017,3, ,https://comicvine.gamespot.com/monsters-unleashed-3/4000-603129/,123 days 00:00:00,Marvel
7,Doctor Strange,2017,1.MU,Issue,2017-04-30,Comicvine,85094,581555,Doctor Strange,2015,1.MU, ,https://comicvine.gamespot.com/issue/4000-581555/,0 days 00:00:00,Marvel
8,Uncanny Inhumans,2017,1.MU,Issue,2017-04-30,Comicvine,81092,580766,Uncanny Inhumans,2015,1.MU, ,https://comicvine.gamespot.com/issue/4000-580766/,0 days 00:00:00,Marvel
9,Champions,2017,1.MU,Issue,2017-04-30,Comicvine,94612,582520,Champions,2016,1.MU, ,https://comicvine.gamespot.com/issue/4000-582520/,153 days 00:00:00,Marvel
10,Monsters Unleashed,2017,4,Issue,2017-09-30,Comicvine,100829,609352,Monsters Unleashed,2017,4, ,https://comicvine.gamespot.com/monsters-unleashed-4/4000-609352/,122 days 00:00:00,Marvel
11,Totally Awesome Hulk,2017,1.MU,Issue,2017-05-31,Comicvine,86408,583732,The Totally Awesome Hulk,2015,1.MU, ,https://comicvine.gamespot.com/issue/4000-583732/,0 days 00:00:00,Marvel
12,Guardians of the Galaxy,2017,1.MU,Issue,2017-05-31,Comicvine,85290,585079,Guardians of the Galaxy,2015,1.MU, ,https://comicvine.gamespot.com/issue/4000-585079/,153 days 00:00:00,Marvel
13,Monsters Unleashed,2017,5,Issue,2017-10-31,Comicvine,100829,615026,Monsters Unleashed,2017,5, ,https://comicvine.gamespot.com/monsters-unleashed-5/4000-615026/,0 days 00:00:00,Marvel
