,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Fantastic Four,1988,533,Issue,2006-01-01,Comicvine,6211,151579,Fantastic Four,1998,533, ,https://comicvine.gamespot.com/fantastic-four-533-what-happens-in-vegas-stays-in-/4000-151579/,59 days 00:00:00,Marvel
2,Fantastic Four,1988,534,Issue,2006-03-01,Comicvine,6211,151580,Fantastic Four,1998,534, ,https://comicvine.gamespot.com/fantastic-four-534-shadow-boxing/4000-151580/,31 days 00:00:00,Marvel
3,Fantastic Four,1988,535,Issue,2006-04-01,Comicvine,6211,151582,Fantastic Four,1998,535, ,https://comicvine.gamespot.com/fantastic-four-535-to-be-this-monster/4000-151582/,60 days 00:00:00,Marvel
4,New Avengers: Illuminati,2006,1,Issue,2006-05-31,Comicvine,18180,106482,The New Avengers: Illuminati,2006,1, ,https://comicvine.gamespot.com/the-new-avengers-illuminati-1/4000-106482/,130 days 00:00:00,Marvel
5,Incredible Hulk,2000,88,Issue,2006-01-21,Comicvine,6558,151586,Incredible Hulk,2000,88, ,https://comicvine.gamespot.com/incredible-hulk-88-peace-in-our-time-part-1/4000-151586/,0 days 00:00:00,Marvel
6,Incredible Hulk,2000,89,Issue,2006-01-21,Comicvine,6558,151587,Incredible Hulk,2000,89, ,https://comicvine.gamespot.com/incredible-hulk-89-peace-in-our-time-part-2/4000-151587/,31 days 00:00:00,Marvel
7,Incredible Hulk,2000,90,Issue,2006-02-21,Comicvine,6558,117037,Incredible Hulk,2000,90, ,https://comicvine.gamespot.com/incredible-hulk-90-peace-in-our-time-part-3/4000-117037/,28 days 00:00:00,Marvel
8,Incredible Hulk,2000,91,Issue,2006-03-21,Comicvine,6558,112741,Incredible Hulk,2000,91, ,https://comicvine.gamespot.com/incredible-hulk-91-peace-in-our-time-part-4/4000-112741/,31 days 00:00:00,Marvel
9,Incredible Hulk,2000,92,Issue,2006-04-21,Comicvine,6558,108947,Incredible Hulk,2000,92, ,https://comicvine.gamespot.com/incredible-hulk-92-planet-hulk-exile-part-1-of-4/4000-108947/,10 days 00:00:00,Marvel
10,Incredible Hulk,2000,93,Issue,2006-05-01,Comicvine,6558,113692,Incredible Hulk,2000,93, ,https://comicvine.gamespot.com/incredible-hulk-93-planet-hulk-exile-part-2-of-4/4000-113692/,31 days 00:00:00,Marvel
11,Incredible Hulk,2000,94,Issue,2006-06-01,Comicvine,6558,112742,Incredible Hulk,2000,94, ,https://comicvine.gamespot.com/incredible-hulk-94-planet-hulk-exile-part-3-of-4/4000-112742/,30 days 00:00:00,Marvel
12,Incredible Hulk,2000,95,Issue,2006-07-01,Comicvine,6558,112743,Incredible Hulk,2000,95, ,https://comicvine.gamespot.com/incredible-hulk-95-planet-hulk-exile-part-4-of-4/4000-112743/,61 days 00:00:00,Marvel
13,Giant-Size Hulk,2006,1,Issue,2006-08-31,Comicvine,18222,106733,Giant-Size Hulk,2006,1, ,https://comicvine.gamespot.com/giant-size-hulk-1/4000-106733/,10 days 00:00:00,Marvel
14,Incredible Hulk,2000,96,Issue,2006-08-21,Comicvine,6558,112744,Incredible Hulk,2000,96, ,https://comicvine.gamespot.com/incredible-hulk-96-planet-hulk-anarchy-part-1-of-4/4000-112744/,61 days 00:00:00,Marvel
15,Incredible Hulk,2000,97,Issue,2006-10-21,Comicvine,6558,106736,Incredible Hulk,2000,97, ,https://comicvine.gamespot.com/incredible-hulk-97-planet-hulk-anarchy-part-2-of-4/4000-106736/,31 days 00:00:00,Marvel
16,Incredible Hulk,2000,98,Issue,2006-11-21,Comicvine,6558,113724,Incredible Hulk,2000,98, ,https://comicvine.gamespot.com/incredible-hulk-98-planet-hulk-anarchy-part-3-of-4/4000-113724/,30 days 00:00:00,Marvel
17,Incredible Hulk,2000,99,Issue,2006-12-21,Comicvine,6558,113725,Incredible Hulk,2000,99, ,https://comicvine.gamespot.com/incredible-hulk-99-planet-hulk-anarchy-part-4-of-4/4000-113725/,31 days 00:00:00,Marvel
18,Incredible Hulk,2000,100,Issue,2007-01-21,Comicvine,6558,112746,Incredible Hulk,2000,100, ,https://comicvine.gamespot.com/incredible-hulk-100-planet-hulk-allegiance-part-1-/4000-112746/,11 days 00:00:00,Marvel
19,Incredible Hulk,2000,101,Issue,2007-02-01,Comicvine,6558,106399,Incredible Hulk,2000,101, ,https://comicvine.gamespot.com/incredible-hulk-101-planet-hulk-allegiance-part-2-/4000-106399/,58 days 00:00:00,Marvel
20,Incredible Hulk,2000,102,Issue,2007-03-31,Comicvine,6558,112747,Incredible Hulk,2000,102, ,https://comicvine.gamespot.com/incredible-hulk-102-planet-hulk-allegiance-part-3-/4000-112747/,21 days 00:00:00,Marvel
21,Incredible Hulk,2000,103,Issue,2007-04-21,Comicvine,6558,106416,Incredible Hulk,2000,103, ,https://comicvine.gamespot.com/incredible-hulk-103-planet-hulk-allegiance-part-4-/4000-106416/,30 days 00:00:00,Marvel
22,Incredible Hulk,2000,104,Issue,2007-05-21,Comicvine,6558,106796,Incredible Hulk,2000,104, ,https://comicvine.gamespot.com/incredible-hulk-104-planet-hulk-armageddon-part-1-/4000-106796/,11 days 00:00:00,Marvel
23,Incredible Hulk,2000,105,Issue,2007-06-01,Comicvine,6558,108001,Incredible Hulk,2000,105, ,https://comicvine.gamespot.com/incredible-hulk-105-planet-hulk-armageddon-part-2-/4000-108001/,0 days 00:00:00,Marvel
