,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Fear Itself: The Fearless,2011,1.0,Issue,2011-12-31,Comicvine,43215,297579,Fear Itself: The Fearless,2011,1, ,https://comicvine.gamespot.com/fear-itself-the-fearless-1-battle-lines/4000-297579/,1 days 00:00:00,Marvel
2,Avengers Academy,2010,21.0,Issue,2012-01-01,Comicvine,33633,301050,Avengers Academy,2010,21, ,https://comicvine.gamespot.com/avengers-academy-21-welcome-students/4000-301050/,0 days 00:00:00,Marvel
3,Invincible Iron Man,2008,510.0,Issue,2012-01-01,Comicvine,21487,303430,Invincible Iron Man,2008,510, ,https://comicvine.gamespot.com/invincible-iron-man-510-demon-part-1-the-beast-in-/4000-303430/,31 days 00:00:00,Marvel
4,Invincible Iron Man,2008,511.0,Issue,2012-02-01,Comicvine,21487,307518,Invincible Iron Man,2008,511, ,https://comicvine.gamespot.com/invincible-iron-man-511-demon-part-2-exposure/4000-307518/,29 days 00:00:00,Marvel
5,Invincible Iron Man,2008,512.0,Issue,2012-03-01,Comicvine,21487,311755,Invincible Iron Man,2008,512, ,https://comicvine.gamespot.com/invincible-iron-man-512-demon-part-3-control/4000-311755/,31 days 00:00:00,Marvel
6,Invincible Iron Man,2008,513.0,Issue,2012-04-01,Comicvine,21487,315804,Invincible Iron Man,2008,513, ,https://comicvine.gamespot.com/invincible-iron-man-513-demon-4-control/4000-315804/,30 days 00:00:00,Marvel
7,Invincible Iron Man,2008,514.0,Issue,2012-05-01,Comicvine,21487,323376,Invincible Iron Man,2008,514, ,https://comicvine.gamespot.com/invincible-iron-man-514-demon-5-melt/4000-323376/,31 days 00:00:00,Marvel
8,Invincible Iron Man,2008,515.0,Issue,2012-06-01,Comicvine,21487,331872,Invincible Iron Man,2008,515, ,https://comicvine.gamespot.com/invincible-iron-man-515-demon-6-fall/4000-331872/,152 days 00:00:00,Marvel
9,Journey into Mystery,2011,631.0,Issue,2012-01-01,Comicvine,39761,301962,Journey into Mystery,2011,631, ,https://comicvine.gamespot.com/journey-into-mystery-631-for-the-crime-of-fratrici/4000-301962/,31 days 00:00:00,Marvel
10,Journey into Mystery,2011,632.0,Issue,2012-02-01,Comicvine,39761,306629,Journey into Mystery,2011,632, ,https://comicvine.gamespot.com/journey-into-mystery-632-issue-632/4000-306629/,29 days 00:00:00,Marvel
11,Journey into Mystery,2011,633.0,Issue,2012-03-01,Comicvine,39761,310922,Journey into Mystery,2011,633, ,https://comicvine.gamespot.com/journey-into-mystery-633-the-terrorism-myth-part-o/4000-310922/,31 days 00:00:00,Marvel
12,Journey into Mystery,2011,634.0,Issue,2012-04-01,Comicvine,39761,315172,Journey into Mystery,2011,634, ,https://comicvine.gamespot.com/journey-into-mystery-634-the-terrorism-myth-part-2/4000-315172/,30 days 00:00:00,Marvel
13,Journey into Mystery,2011,635.0,Issue,2012-05-01,Comicvine,39761,321320,Journey into Mystery,2011,635, ,https://comicvine.gamespot.com/journey-into-mystery-635-the-terrorism-myth-part-t/4000-321320/,31 days 00:00:00,Marvel
14,Journey into Mystery,2011,636.0,Issue,2012-06-01,Comicvine,39761,329222,Journey into Mystery,2011,636, ,https://comicvine.gamespot.com/journey-into-mystery-636-the-terrorism-myth-conclu/4000-329222/,152 days 00:00:00,Marvel
15,Mighty Thor,2011,8.0,Issue,2012-01-01,Comicvine,39763,303552,The Mighty Thor,2011,8, ,https://comicvine.gamespot.com/the-mighty-thor-8-the-mighty-tanarus-part-1-lost/4000-303552/,31 days 00:00:00,Marvel
16,Mighty Thor,2011,9.0,Issue,2012-02-01,Comicvine,39763,308696,The Mighty Thor,2011,9, ,https://comicvine.gamespot.com/the-mighty-thor-9-the-mighty-tanarus-part-2-the-wa/4000-308696/,29 days 00:00:00,Marvel
17,Mighty Thor,2011,10.0,Issue,2012-03-01,Comicvine,39763,312810,The Mighty Thor,2011,10, ,https://comicvine.gamespot.com/the-mighty-thor-10-the-mighty-tanarus-part-3-doome/4000-312810/,31 days 00:00:00,Marvel
18,Mighty Thor,2011,11.0,Issue,2012-04-01,Comicvine,39763,316682,The Mighty Thor,2011,11, ,https://comicvine.gamespot.com/the-mighty-thor-11-the-mighty-tanarus-part-4-the-a/4000-316682/,30 days 00:00:00,Marvel
19,Mighty Thor,2011,12.0,Issue,2012-05-01,Comicvine,39763,325032,The Mighty Thor,2011,12, ,https://comicvine.gamespot.com/the-mighty-thor-12-the-mighty-tanarus-part-5-the-r/4000-325032/,90 days 00:00:00,Marvel
20,Captain America,2011,6.0,Issue,2012-02-01,Comicvine,41245,308841,Captain America,2011,6, ,https://comicvine.gamespot.com/captain-america-6-powerless-part-1/4000-308841/,59 days 00:00:00,Marvel
21,Captain America,2011,7.0,Issue,2012-03-31,Comicvine,41245,310916,Captain America,2011,7, ,https://comicvine.gamespot.com/captain-america-7-powerless-part-2/4000-310916/,1 days 00:00:00,Marvel
22,Captain America,2011,8.0,Issue,2012-04-01,Comicvine,41245,315148,Captain America,2011,8, ,https://comicvine.gamespot.com/captain-america-8-powerless-part-3/4000-315148/,30 days 00:00:00,Marvel
23,Captain America,2011,9.0,Issue,2012-05-01,Comicvine,41245,321311,Captain America,2011,9, ,https://comicvine.gamespot.com/captain-america-9-powerless-part-4/4000-321311/,31 days 00:00:00,Marvel
24,Captain America,2011,10.0,Issue,2012-06-01,Comicvine,41245,333399,Captain America,2011,10, ,https://comicvine.gamespot.com/captain-america-10-powerless-part-5/4000-333399/,152 days 00:00:00,Marvel
25,Avengers Academy,2010,22.0,Issue,2012-01-01,Comicvine,33633,302682,Avengers Academy,2010,22, ,https://comicvine.gamespot.com/avengers-academy-22-disappointments/4000-302682/,61 days 00:00:00,Marvel
26,New Avengers,2010,16.1,Issue,2011-11-01,Comicvine,33777,293633,New Avengers,2010,16.1, ,https://comicvine.gamespot.com/new-avengers-16-1-osborn-rises/4000-293633/,48 days 00:00:00,Marvel
