,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Siege: The Cabal,2010,1,Issue,2010-02-01,Comicvine,30155,185621,Siege: The Cabal,2010,1, ,https://comicvine.gamespot.com/siege-the-cabal-1-untitled/4000-185621/,0 days 00:00:00,Marvel
2,Avengers: The Initiative,2007,31,Issue,2010-02-01,Comicvine,18419,189500,Avengers: The Initiative,2007,31, ,https://comicvine.gamespot.com/avengers-the-initiative-31-poisoned-chalice/4000-189500/,28 days 00:00:00,Marvel
3,New Avengers,2005,61,Issue,2010-03-01,Comicvine,11497,194421,New Avengers,2004,61, ,https://comicvine.gamespot.com/new-avengers-61-cap-sez-join-the-siege/4000-194421/,31 days 00:00:00,Marvel
4,New Avengers,2005,62,Issue,2010-04-01,Comicvine,11497,198259,New Avengers,2004,62, ,https://comicvine.gamespot.com/new-avengers-62-avenger-dead-or-alive/4000-198259/,31 days 00:00:00,Marvel
5,Dark Avengers,2009,13,Issue,2010-03-01,Comicvine,25512,193359,Dark Avengers,2009,13, ,https://comicvine.gamespot.com/dark-avengers-13-the-secret-of-the-sentry/4000-193359/,31 days 00:00:00,Marvel
6,Dark Avengers,2009,14,Issue,2010-04-01,Comicvine,25512,197355,Dark Avengers,2009,14, ,https://comicvine.gamespot.com/dark-avengers-14-the-void-rising/4000-197355/,30 days 00:00:00,Marvel
7,Dark Avengers,2009,15,Issue,2010-05-01,Comicvine,25512,200762,Dark Avengers,2009,15, ,https://comicvine.gamespot.com/dark-avengers-15-bullseye/4000-200762/,62 days 00:00:00,Marvel
8,Origins of Siege,2010,1,Issue,2010-02-28,Comicvine,30823,190503,Origins of Siege,2009,1, ,https://comicvine.gamespot.com/origins-of-siege-1-siege-prologue/4000-190503/,1 days 00:00:00,Marvel
9,Siege,2010,1,Issue,2010-03-01,Comicvine,30904,191146,Siege,2010,1, ,https://comicvine.gamespot.com/siege-1-untitled/4000-191146/,0 days 00:00:00,Marvel
10,Avengers: The Initiative,2007,32,Issue,2010-03-01,Comicvine,18419,194420,Avengers: The Initiative,2007,32, ,https://comicvine.gamespot.com/avengers-the-initiative-32-seize-the-day/4000-194420/,0 days 00:00:00,Marvel
11,Dark Wolverine,2009,82,Issue,2010-03-01,Comicvine,26883,193349,Dark Wolverine,2009,82, ,https://comicvine.gamespot.com/dark-wolverine-82-godlike-part-1/4000-193349/,0 days 00:00:00,Marvel
12,Siege: Embedded,2010,1,Issue,2010-03-01,Comicvine,30906,191148,Siege: Embedded,2010,1, ,https://comicvine.gamespot.com/siege-embedded-1-siege-embedded-part-1/4000-191148/,30 days 00:00:00,Marvel
