,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Friendly Neighborhood Spider-Man,2005,1,Issue,2005-12-31,Comicvine,17998,105375,Friendly Neighborhood Spider-Man,2005,1, ,https://comicvine.gamespot.com/friendly-neighborhood-spider-man-1-the-other-evolv/4000-105375/,0 days 00:00:00,Marvel
2,Marvel Knights Spider-Man,2004,19,Issue,2005-12-31,Comicvine,11066,135799,Marvel Knights Spider-Man,2004,19, ,https://comicvine.gamespot.com/marvel-knights-spider-man-19-the-other-evolve-or-d/4000-135799/,0 days 00:00:00,Marvel Knights
3,Amazing Spider-Man,1963,525,Issue,2005-12-31,Comicvine,2127,113513,The Amazing Spider-Man,1963,525, ,https://comicvine.gamespot.com/the-amazing-spider-man-525-the-other-evolve-or-die/4000-113513/,31 days 00:00:00,Marvel
4,Friendly Neighborhood Spider-Man,2005,2,Issue,2006-01-31,Comicvine,17998,105376,Friendly Neighborhood Spider-Man,2005,2, ,https://comicvine.gamespot.com/friendly-neighborhood-spider-man-2-the-other-evolv/4000-105376/,0 days 00:00:00,Marvel
5,Marvel Knights Spider-Man,2004,20,Issue,2006-01-31,Comicvine,11066,135800,Marvel Knights Spider-Man,2004,20, ,https://comicvine.gamespot.com/marvel-knights-spider-man-20-the-other-evolve-or-d/4000-135800/,0 days 00:00:00,Marvel Knights
6,Amazing Spider-Man,1963,526,Issue,2006-01-31,Comicvine,2127,113514,The Amazing Spider-Man,1963,526, ,https://comicvine.gamespot.com/the-amazing-spider-man-526-the-other-evolve-or-die/4000-113514/,28 days 00:00:00,Marvel
7,Friendly Neighborhood Spider-Man,2005,3,Issue,2006-02-28,Comicvine,17998,105377,Friendly Neighborhood Spider-Man,2005,3, ,https://comicvine.gamespot.com/friendly-neighborhood-spider-man-3-the-other-evolv/4000-105377/,0 days 00:00:00,Marvel
8,Marvel Knights Spider-Man,2004,21,Issue,2006-02-28,Comicvine,11066,135804,Marvel Knights Spider-Man,2004,21, ,https://comicvine.gamespot.com/marvel-knights-spider-man-21-the-other-evolve-or-d/4000-135804/,0 days 00:00:00,Marvel Knights
9,Amazing Spider-Man,1963,527,Issue,2006-02-28,Comicvine,2127,113515,The Amazing Spider-Man,1963,527, ,https://comicvine.gamespot.com/the-amazing-spider-man-527-the-other-evolve-or-die/4000-113515/,31 days 00:00:00,Marvel
10,Friendly Neighborhood Spider-Man,2005,4,Issue,2006-03-31,Comicvine,17998,105379,Friendly Neighborhood Spider-Man,2005,4, ,https://comicvine.gamespot.com/friendly-neighborhood-spider-man-4-the-other-evolv/4000-105379/,0 days 00:00:00,Marvel
11,Marvel Knights Spider-Man,2004,22,Issue,2006-03-31,Comicvine,11066,135805,Marvel Knights Spider-Man,2004,22, ,https://comicvine.gamespot.com/marvel-knights-spider-man-22-the-other-evolve-or-d/4000-135805/,0 days 00:00:00,Marvel Knights
12,Amazing Spider-Man,1963,528,Issue,2006-03-31,Comicvine,2127,113516,The Amazing Spider-Man,1963,528, ,https://comicvine.gamespot.com/the-amazing-spider-man-528-the-other-evolve-or-die/4000-113516/,0 days 00:00:00,Marvel
