,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Superior Spider-Man,2013,32,Issue,2014-10-31,Comicvine,55552,461740,Superior Spider-Man,2013,32, ,https://comicvine.gamespot.com/superior-spider-man-32-edge-of-spider-verse-prolog/4000-461740/,30 days 00:00:00,Marvel
2,Superior Spider-Man,2013,33,Issue,2014-11-30,Comicvine,55552,465850,Superior Spider-Man,2013,33, ,https://comicvine.gamespot.com/superior-spider-man-33-edge-of-spider-verse-prolog/4000-465850/,31 days 00:00:00,Marvel
3,Amazing Spider-Man,2014,7,Issue,2014-12-31,Comicvine,73420,467646,The Amazing Spider-Man,2014,7, ,https://comicvine.gamespot.com/the-amazing-spider-man-7-ms-marvel-team-up-edge-of/4000-467646/,0 days 00:00:00,Marvel
4,Amazing Spider-Man,2014,8,Issue,2014-12-31,Comicvine,73420,468455,The Amazing Spider-Man,2014,8, ,https://comicvine.gamespot.com/the-amazing-spider-man-8-msadventures-in-babysitti/4000-468455/,31 days 00:00:00,Marvel
5,Edge of Spider-Verse,2014,1,Issue,2014-11-30,Comicvine,76863,464979,Edge of Spider-Verse,2014,1, ,https://comicvine.gamespot.com/edge-of-spider-verse-1-spider-man-noir/4000-464979/,0 days 00:00:00,Marvel
6,Edge of Spider-Verse,2014,2,Issue,2014-11-30,Comicvine,76863,465842,Edge of Spider-Verse,2014,2, ,https://comicvine.gamespot.com/edge-of-spider-verse-2-gwen-stacy-spider-woman/4000-465842/,0 days 00:00:00,Marvel
7,Edge of Spider-Verse,2014,3,Issue,2014-11-30,Comicvine,76863,466326,Edge of Spider-Verse,2014,3, ,https://comicvine.gamespot.com/edge-of-spider-verse-3-aaron-aikman-the-spider-man/4000-466326/,31 days 00:00:00,Marvel
8,Edge of Spider-Verse,2014,4,Issue,2014-12-31,Comicvine,76863,467035,Edge of Spider-Verse,2014,4, ,https://comicvine.gamespot.com/edge-of-spider-verse-4-i-walked-with-a-spider/4000-467035/,0 days 00:00:00,Marvel
9,Edge of Spider-Verse,2014,5,Issue,2014-12-31,Comicvine,76863,468077,Edge of Spider-Verse,2014,5, ,https://comicvine.gamespot.com/edge-of-spider-verse-5-sp-dr-nu-xing-cao-zong-shi/4000-468077/,0 days 00:00:00,Marvel
10,Spider-Man 2099,2014,5,Issue,2014-12-31,Comicvine,75557,468087,Spider-Man 2099,2014,5, ,https://comicvine.gamespot.com/spider-man-2099-5/4000-468087/,31 days 00:00:00,Marvel
