,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Iron Man,1968,55,Issue,1973-02-01,Comicvine,2407,12928,Iron Man,1968,55, ,https://comicvine.gamespot.com/iron-man-55-beware-beware-beware-the-blood-brother/4000-12928/,28 days 00:00:00,Marvel
2,Captain Marvel,1968,25,Issue,1973-03-01,Comicvine,2401,13002,Captain Marvel,1968,25, ,https://comicvine.gamespot.com/captain-marvel-25-a-taste-of-madness/4000-13002/,61 days 00:00:00,Marvel
3,Captain Marvel,1968,26,Issue,1973-05-01,Comicvine,2401,13172,Captain Marvel,1968,26, ,https://comicvine.gamespot.com/captain-marvel-26-betrayal/4000-13172/,61 days 00:00:00,Marvel
4,Captain Marvel,1968,27,Issue,1973-07-01,Comicvine,2401,13380,Captain Marvel,1968,27, ,https://comicvine.gamespot.com/captain-marvel-27-trapped-on-titan/4000-13380/,62 days 00:00:00,Marvel
5,Captain Marvel,1968,28,Issue,1973-09-01,Comicvine,2401,13567,Captain Marvel,1968,28, ,https://comicvine.gamespot.com/captain-marvel-28-when-titans-collide/4000-13567/,61 days 00:00:00,Marvel
6,Captain Marvel,1968,29,Issue,1973-11-01,Comicvine,2401,13785,Captain Marvel,1968,29, ,https://comicvine.gamespot.com/captain-marvel-29-metamorphosis/4000-13785/,0 days 00:00:00,Marvel
7,Marvel Feature,1971,12,Issue,1973-11-01,Comicvine,2515,13800,Marvel Feature,1971,12, ,https://comicvine.gamespot.com/marvel-feature-12-the-bite-of-the-blood-brothers/4000-13800/,61 days 00:00:00,Marvel
8,Captain Marvel,1968,30,Issue,1974-01-01,Comicvine,2401,13981,Captain Marvel,1968,30, ,https://comicvine.gamespot.com/captain-marvel-30-to-be-free-from-control/4000-13981/,59 days 00:00:00,Marvel
9,Captain Marvel,1968,31,Issue,1974-03-01,Comicvine,2401,14119,Captain Marvel,1968,31, ,https://comicvine.gamespot.com/captain-marvel-31-the-beginning-of-the-end/4000-14119/,61 days 00:00:00,Marvel
10,Captain Marvel,1968,32,Issue,1974-05-01,Comicvine,2401,14257,Captain Marvel,1968,32, ,https://comicvine.gamespot.com/captain-marvel-32-thanos-the-insane-god/4000-14257/,91 days 00:00:00,Marvel
11,Avengers,1963,125,Issue,1974-07-31,Comicvine,2128,14454,The Avengers,1963,125, ,https://comicvine.gamespot.com/the-avengers-125-the-power-of-babel/4000-14454/,0 days 00:00:00,Marvel
12,Captain Marvel,1968,33,Issue,1974-07-31,Comicvine,2401,14410,Captain Marvel,1968,33, ,https://comicvine.gamespot.com/captain-marvel-33-the-god-himself/4000-14410/,0 days 00:00:00,Marvel
