,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Dark Avengers/Uncanny X-Men: Utopia,2019,1,Issue,2009-08-01,Comicvine,26888,161518,Dark Avengers/Uncanny X-Men: Utopia,2009,1, ,https://comicvine.gamespot.com/dark-avengersuncanny-x-men-utopia-1-utopia-chapter/4000-161518/,31 days 00:00:00,Marvel
2,Uncanny X-Men,1981,513,Issue,2009-09-01,Comicvine,3092,162522,The Uncanny X-Men,1981,513, ,https://comicvine.gamespot.com/the-uncanny-x-men-513-utopia-chapter-2/4000-162522/,29 days 00:00:00,Marvel
3,Dark X-Men: The Beginning,2009,1,Issue,2009-09-30,Comicvine,27004,163261,Dark X-Men: The Beginning,2009,1, ,https://comicvine.gamespot.com/dark-x-men-the-beginning-1-namornorman-mimic-dark-/4000-163261/,0 days 00:00:00,Marvel
4,X-Men: Legacy,2008,226,Issue,2009-09-30,Comicvine,20691,163253,X-Men: Legacy,2008,226, ,https://comicvine.gamespot.com/x-men-legacy-226-suppressing-fire-part-1/4000-163253/,29 days 00:00:00,Marvel
5,Dark Avengers,2009,7,Issue,2009-09-01,Comicvine,25512,164008,Dark Avengers,2009,7, ,https://comicvine.gamespot.com/dark-avengers-7-utopia-chapter-3/4000-164008/,29 days 00:00:00,Marvel
6,Dark X-Men: The Beginning,2009,2,Issue,2009-09-30,Comicvine,27004,165447,Dark X-Men: The Beginning,2009,2, ,https://comicvine.gamespot.com/dark-x-men-the-beginning-2-the-temptation-of-cloak/4000-165447/,1 days 00:00:00,Marvel
7,Uncanny X-Men,1981,514,Issue,2009-10-01,Comicvine,3092,166794,The Uncanny X-Men,1981,514, ,https://comicvine.gamespot.com/the-uncanny-x-men-514-utopia-chapter-4/4000-166794/,0 days 00:00:00,Marvel
8,X-Men: Legacy,2008,227,Issue,2009-10-01,Comicvine,20691,167374,X-Men: Legacy,2008,227, ,https://comicvine.gamespot.com/x-men-legacy-227-suppressing-fire-part-2/4000-167374/,0 days 00:00:00,Marvel
9,Dark Avengers,2009,8,Issue,2009-10-01,Comicvine,25512,168320,Dark Avengers,2009,8, ,https://comicvine.gamespot.com/dark-avengers-8-utopia-chapter-5/4000-168320/,0 days 00:00:00,Marvel
10,Dark X-Men: The Beginning,2009,3,Issue,2009-10-01,Comicvine,27004,168299,Dark X-Men: The Beginning,2009,3, ,https://comicvine.gamespot.com/dark-x-men-the-beginning-3-hidden-depths-get-mysti/4000-168299/,31 days 00:00:00,Marvel
11,Dark Avengers/Uncanny X-Men: Exodus,2009,1,Issue,2009-11-01,Comicvine,27804,170312,Dark Avengers/Uncanny X-Men: Exodus,2009,1, ,https://comicvine.gamespot.com/dark-avengersuncanny-x-men-exodus-1-utopia-chapter/4000-170312/,0 days 00:00:00,Marvel
12,Dark X-Men: Confession,2009,1,Issue,2009-11-01,Comicvine,28085,172433,Dark X-Men: The Confession,2009,1, ,https://comicvine.gamespot.com/dark-x-men-the-confession-1-one-shot/4000-172433/,0 days 00:00:00,Marvel
13,Dark Reign: The List: X-Men,2009,1,Issue,2009-11-01,Comicvine,28084,172431,Dark Reign: The List - X-Men,2009,1, ,https://comicvine.gamespot.com/dark-reign-the-list-x-men-1/4000-172431/,0 days 00:00:00,Marvel
