,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Rom,1979,40,Issue,1983-03-01,Comicvine,3010,22964,Rom,1979,40, ,https://comicvine.gamespot.com/rom-40-piper-of-peril/4000-22964/,31 days 00:00:00,Marvel
2,Rom,1979,41,Issue,1983-04-01,Comicvine,3010,23045,Rom,1979,41, ,https://comicvine.gamespot.com/rom-41-the-dweller-on-the-threshold/4000-23045/,30 days 00:00:00,Marvel
3,Rom,1979,42,Issue,1983-05-01,Comicvine,3010,23133,Rom,1979,42, ,https://comicvine.gamespot.com/rom-42-lead-me-not-into-temptation/4000-23133/,31 days 00:00:00,Marvel
4,Rom,1979,43,Issue,1983-06-01,Comicvine,3010,23214,Rom,1979,43, ,https://comicvine.gamespot.com/rom-43-rom-spaceman/4000-23214/,30 days 00:00:00,Marvel
5,Rom,1979,44,Issue,1983-07-01,Comicvine,3010,23302,Rom,1979,44, ,https://comicvine.gamespot.com/rom-44-it-takes-two-to-tango/4000-23302/,31 days 00:00:00,Marvel
6,Rom,1979,45,Issue,1983-08-01,Comicvine,3010,23382,Rom,1979,45, ,https://comicvine.gamespot.com/rom-45-cry-the-mother-country/4000-23382/,31 days 00:00:00,Marvel
7,Rom,1979,46,Issue,1983-09-01,Comicvine,3010,23463,Rom,1979,46, ,https://comicvine.gamespot.com/rom-46-bestiary/4000-23463/,30 days 00:00:00,Marvel
8,Rom,1979,47,Issue,1983-10-01,Comicvine,3010,23551,Rom,1979,47, ,https://comicvine.gamespot.com/rom-47-one-mans-toys-are-another-mans-terror/4000-23551/,60 days 00:00:00,Marvel
9,Rom,1979,48,Issue,1983-11-30,Comicvine,3010,23641,Rom,1979,48, ,https://comicvine.gamespot.com/rom-48-renunciation-or-what-happens-when-a-spacekn/4000-23641/,1 days 00:00:00,Marvel
10,Rom,1979,49,Issue,1983-12-01,Comicvine,3010,23738,Rom,1979,49, ,https://comicvine.gamespot.com/rom-49-massacre/4000-23738/,31 days 00:00:00,Marvel
11,Rom,1979,50,Issue,1984-01-01,Comicvine,3010,23889,Rom,1979,50, ,https://comicvine.gamespot.com/rom-50-the-extraterrestrials/4000-23889/,31 days 00:00:00,Marvel
12,Rom,1979,51,Issue,1984-02-01,Comicvine,3010,23988,Rom,1979,51, ,https://comicvine.gamespot.com/rom-51-gloves-off/4000-23988/,29 days 00:00:00,Marvel
13,Rom,1979,52,Issue,1984-03-01,Comicvine,3010,24107,Rom,1979,52, ,https://comicvine.gamespot.com/rom-52-total-war-part-1/4000-24107/,121 days 00:00:00,Marvel
14,Incredible Hulk,1968,296,Issue,1984-06-30,Comicvine,2406,24409,The Incredible Hulk,1968,296, ,https://comicvine.gamespot.com/the-incredible-hulk-296-to-kill-or-cure/4000-24409/,90 days 00:00:00,Marvel
15,Rom,1979,53,Issue,1984-04-01,Comicvine,3010,24211,Rom,1979,53, ,https://comicvine.gamespot.com/rom-53-total-war-part-2-paranoia-strikes-deep/4000-24211/,61 days 00:00:00,Marvel
16,Avengers,1963,244,Issue,1984-06-01,Comicvine,2128,24397,The Avengers,1963,244, ,https://comicvine.gamespot.com/the-avengers-244-and-the-rockets-red-glare/4000-24397/,30 days 00:00:00,Marvel
17,Avengers,1963,245,Issue,1984-07-01,Comicvine,2128,24497,The Avengers,1963,245, ,https://comicvine.gamespot.com/the-avengers-245-bombshells/4000-24497/,61 days 00:00:00,Marvel
18,Rom,1979,54,Issue,1984-05-01,Comicvine,3010,24317,Rom,1979,54, ,https://comicvine.gamespot.com/rom-54-total-war-part-3-the-blood-trail/4000-24317/,31 days 00:00:00,Marvel
19,Rom,1979,55,Issue,1984-06-01,Comicvine,3010,24414,Rom,1979,55, ,https://comicvine.gamespot.com/rom-55-total-war-part-4-the-enemy-within/4000-24414/,30 days 00:00:00,Marvel
20,Rom,1979,56,Issue,1984-07-01,Comicvine,3010,24511,Rom,1979,56, ,https://comicvine.gamespot.com/rom-56-total-war-part-5-clear-waters-remembered/4000-24511/,31 days 00:00:00,Marvel
21,Rom,1979,57,Issue,1984-08-01,Comicvine,3010,24613,Rom,1979,57, ,https://comicvine.gamespot.com/rom-57-total-war-part-6-scenes-of-destruction-on-e/4000-24613/,31 days 00:00:00,Marvel
