,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Scarlet Witch,2016,10.0,Issue,2016-11-30,Comicvine,86552,549523,Scarlet Witch,2015,10, ,https://comicvine.gamespot.com/scarlet-witch-10/4000-549523/,31 days 00:00:00,Marvel
2,Scarlet Witch,2016,11.0,Issue,2016-12-31,Comicvine,86552,552168,Scarlet Witch,2015,11, ,https://comicvine.gamespot.com/scarlet-witch-11/4000-552168/,31 days 00:00:00,Marvel
3,Scarlet Witch,2016,12.0,Issue,2017-01-31,Comicvine,86552,556477,Scarlet Witch,2015,12, ,https://comicvine.gamespot.com/scarlet-witch-12/4000-556477/,28 days 00:00:00,Marvel
4,Scarlet Witch,2016,13.0,Issue,2017-02-28,Comicvine,86552,563724,Scarlet Witch,2015,13, ,https://comicvine.gamespot.com/scarlet-witch-13/4000-563724/,31 days 00:00:00,Marvel
5,Scarlet Witch,2016,14.0,Issue,2017-03-31,Comicvine,86552,574874,Scarlet Witch,2015,14, ,https://comicvine.gamespot.com/scarlet-witch-14/4000-574874/,30 days 00:00:00,Marvel
6,Scarlet Witch,2016,15.0,Issue,2017-04-30,Comicvine,86552,582542,Scarlet Witch,2015,15, ,https://comicvine.gamespot.com/scarlet-witch-15/4000-582542/,120 days 00:00:00,Marvel
7,Ms. Marvel,2015,12.0,Issue,2016-12-31,Comicvine,86114,555532,Ms. Marvel,2015,12, ,https://comicvine.gamespot.com/ms-marvel-12-the-road-to-war/4000-555532/,31 days 00:00:00,Marvel
8,Ms. Marvel,2015,13.0,Issue,2017-01-31,Comicvine,86114,562600,Ms. Marvel,2015,13, ,https://comicvine.gamespot.com/ms-marvel-13-election-day/4000-562600/,31 days 00:00:00,Marvel
9,Captain America: Sam Wilson,2015,14.0,Issue,2016-12-31,Comicvine,85274,553949,Captain America: Sam Wilson,2015,14, ,https://comicvine.gamespot.com/captain-america-sam-wilson-14-take-back-the-shield/4000-553949/,31 days 00:00:00,Marvel
10,Captain America: Sam Wilson,2015,15.0,Issue,2017-01-31,Comicvine,85274,558410,Captain America: Sam Wilson,2015,15, ,https://comicvine.gamespot.com/captain-america-sam-wilson-15/4000-558410/,28 days 00:00:00,Marvel
