,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Marvel Legacy,2017,1,Issue,2017-11-30,Comicvine,104625,625313,Marvel Legacy,2017,1, ,https://comicvine.gamespot.com/marvel-legacy-1/4000-625313/,31 days 00:00:00,Marvel
2,Iceman,2017,6,Issue,2017-12-31,Comicvine,101937,626284,Iceman,2017,6, ,https://comicvine.gamespot.com/iceman-6-champions-reunited-part-1/4000-626284/,31 days 00:00:00,Marvel
3,Iceman,2017,7,Issue,2018-01-31,Comicvine,101937,634535,Iceman,2017,7, ,https://comicvine.gamespot.com/iceman-7-champions-reunited-part-2/4000-634535/,28 days 00:00:00,Marvel
4,Iceman,2017,8,Issue,2018-02-28,Comicvine,101937,644508,Iceman,2017,8, ,https://comicvine.gamespot.com/iceman-8-iceman-vs-iceman/4000-644508/,28 days 00:00:00,Marvel
5,Power Pack,2018,63,Issue,2018-01-31,Comicvine,105771,634542,Power Pack,2017,63, ,https://comicvine.gamespot.com/power-pack-63-rarely-pure-and-never-simple/4000-634542/,0 days 00:00:00,Marvel
6,Master of Kung Fu,2018,126,Issue,2018-01-31,Comicvine,105963,636376,Master of Kung Fu,2017,126, ,https://comicvine.gamespot.com/master-of-kung-fu-126-shang-chis-day-off/4000-636376/,92 days 00:00:00,Marvel
7,Inhumans: Once and Future Kings,2017,1,Issue,2017-10-31,Comicvine,103389,613793,Inhumans: Once And Future Kings,2017,1, ,https://comicvine.gamespot.com/inhumans-once-and-future-kings-1-who-mourns-for-dk/4000-613793/,30 days 00:00:00,Marvel
8,Inhumans: Once and Future Kings,2017,2,Issue,2017-11-30,Comicvine,103389,619626,Inhumans: Once And Future Kings,2017,2, ,https://comicvine.gamespot.com/inhumans-once-and-future-kings-2-the-hunted/4000-619626/,31 days 00:00:00,Marvel
9,Inhumans: Once and Future Kings,2017,3,Issue,2017-12-31,Comicvine,103389,628584,Inhumans: Once And Future Kings,2017,3, ,https://comicvine.gamespot.com/inhumans-once-and-future-kings-3-band-of-brothers-/4000-628584/,31 days 00:00:00,Marvel
10,Inhumans: Once and Future Kings,2017,4,Issue,2018-01-31,Comicvine,103389,634536,Inhumans: Once And Future Kings,2017,4, ,https://comicvine.gamespot.com/inhumans-once-and-future-kings-4-whatever-a-spider/4000-634536/,28 days 00:00:00,Marvel
11,Inhumans: Once and Future Kings,2017,5,Issue,2018-02-28,Comicvine,103389,644509,Inhumans: Once And Future Kings,2017,5, ,https://comicvine.gamespot.com/inhumans-once-and-future-kings-5-emancipation-lock/4000-644509/,212 days 00:00:00,Marvel
12,Venom,2016,150,Issue,2017-07-31,Comicvine,95845,597207,Venom,2016,150, ,https://comicvine.gamespot.com/venom-150-heart-of-darkness-dependence-day-malled/4000-597207/,31 days 00:00:00,Marvel
13,Venom,2016,151,Issue,2017-08-31,Comicvine,95845,601809,Venom,2016,151, ,https://comicvine.gamespot.com/venom-151-the-land-before-crime-part-one/4000-601809/,30 days 00:00:00,Marvel
14,Venom,2016,152,Issue,2017-09-30,Comicvine,95845,608263,Venom,2016,152, ,https://comicvine.gamespot.com/venom-152-the-land-before-crime-part-two/4000-608263/,31 days 00:00:00,Marvel
15,Venom,2016,153,Issue,2017-10-31,Comicvine,95845,613809,Venom,2016,153, ,https://comicvine.gamespot.com/venom-153-the-land-before-crime-conclusion/4000-613809/,30 days 00:00:00,Marvel
16,Venom,2016,154,Issue,2017-11-30,Comicvine,95845,622959,Venom,2016,154, ,https://comicvine.gamespot.com/venom-154-skin-deep/4000-622959/,31 days 00:00:00,Marvel
17,Jean Grey,2017,8,Issue,2017-12-31,Comicvine,101195,632498,Jean Grey,2017,8, ,https://comicvine.gamespot.com/jean-grey-8-psych-wars-part-1/4000-632498/,31 days 00:00:00,Marvel
18,Jean Grey,2017,9,Issue,2018-01-31,Comicvine,101195,643031,Jean Grey,2017,9, ,https://comicvine.gamespot.com/jean-grey-9-psych-wars-part-2/4000-643031/,28 days 00:00:00,Marvel
19,Jean Grey,2017,10,Issue,2018-02-28,Comicvine,101195,646189,Jean Grey,2017,10, ,https://comicvine.gamespot.com/jean-grey-10-psych-wars-part-3/4000-646189/,0 days 00:00:00,Marvel
20,Phoenix Resurrection: The Return of Jean Grey,2018,1,Issue,2018-02-28,Comicvine,107368,649740,Phoenix Resurrection: The Return of Jean Grey,2017,1, ,https://comicvine.gamespot.com/phoenix-resurrection-the-return-of-jean-grey-1-cha/4000-649740/,31 days 00:00:00,Marvel
21,Phoenix Resurrection: The Return of Jean Grey,2018,2,Issue,2018-03-31,Comicvine,107368,650922,Phoenix Resurrection: The Return of Jean Grey,2017,2, ,https://comicvine.gamespot.com/phoenix-resurrection-the-return-of-jean-grey-2-cha/4000-650922/,0 days 00:00:00,Marvel
22,Phoenix Resurrection: The Return of Jean Grey,2018,3,Issue,2018-03-31,Comicvine,107368,652635,Phoenix Resurrection: The Return of Jean Grey,2017,3, ,https://comicvine.gamespot.com/phoenix-resurrection-the-return-of-jean-grey-3-cha/4000-652635/,0 days 00:00:00,Marvel
23,Phoenix Resurrection: The Return of Jean Grey,2018,4,Issue,2018-03-31,Comicvine,107368,655510,Phoenix Resurrection: The Return of Jean Grey,2017,4, ,https://comicvine.gamespot.com/phoenix-resurrection-the-return-of-jean-grey-4-cha/4000-655510/,0 days 00:00:00,Marvel
24,Phoenix Resurrection: The Return of Jean Grey,2018,5,Issue,2018-03-31,Comicvine,107368,656712,Phoenix Resurrection: The Return of Jean Grey,2017,5, ,https://comicvine.gamespot.com/phoenix-resurrection-the-return-of-jean-grey-5-cha/4000-656712/,92 days 00:00:00,Marvel
25,X-Men: Red Annual,2018,1,Issue,2018-07-01,Comicvine,111167,671346,X-Men: Red Annual,2018,1, ,https://comicvine.gamespot.com/x-men-red-annual-1/4000-671346/,92 days 00:00:00,Marvel
26,Jean Grey,2017,11,Issue,2018-03-31,Comicvine,101195,656706,Jean Grey,2017,11, ,https://comicvine.gamespot.com/jean-grey-11-psych-wars-part-4/4000-656706/,59 days 00:00:00,Marvel
27,Ben Reilly: Scarlet Spider,2017,10,Issue,2018-01-31,Comicvine,100966,638589,Ben Reilly: Scarlet Spider,2017,10, ,https://comicvine.gamespot.com/ben-reilly-scarlet-spider-10-the-slingers-return-p/4000-638589/,28 days 00:00:00,Marvel
28,Ben Reilly: Scarlet Spider,2017,11,Issue,2018-02-28,Comicvine,100966,646180,Ben Reilly: Scarlet Spider,2017,11, ,https://comicvine.gamespot.com/ben-reilly-scarlet-spider-11-the-slingers-return-p/4000-646180/,0 days 00:00:00,Marvel
29,Ben Reilly: Scarlet Spider,2017,12,Issue,2018-02-28,Comicvine,100966,649725,Ben Reilly: Scarlet Spider,2017,12, ,https://comicvine.gamespot.com/ben-reilly-scarlet-spider-12-the-slingers-return-p/4000-649725/,31 days 00:00:00,Marvel
30,Ben Reilly: Scarlet Spider,2017,13,Issue,2018-03-31,Comicvine,100966,656697,Ben Reilly: Scarlet Spider,2017,13, ,https://comicvine.gamespot.com/ben-reilly-scarlet-spider-13-the-slingers-return-p/4000-656697/,30 days 00:00:00,Marvel
31,Ben Reilly: Scarlet Spider,2017,14,Issue,2018-04-30,Comicvine,100966,660008,Ben Reilly: Scarlet Spider,2017,14, ,https://comicvine.gamespot.com/ben-reilly-scarlet-spider-14-bad-to-the-bone/4000-660008/,89 days 00:00:00,Marvel
32,Not Brand Echh,2018,14,Issue,2018-01-31,Comicvine,106134,638603,Not Brand Echh,2017,14, ,https://comicvine.gamespot.com/not-brand-echh-14-forbush-man-returns/4000-638603/,31 days 00:00:00,Marvel
33,X-Men: Gold,2017,13,Issue,2017-12-31,Comicvine,100603,626306,X-Men: Gold,2017,13, ,https://comicvine.gamespot.com/x-men-gold-13-mojo-worldwide-part-1-untitled/4000-626306/,0 days 00:00:00,Marvel
34,X-Men: Blue,2017,13,Issue,2017-12-31,Comicvine,100712,628601,X-Men: Blue,2017,13, ,https://comicvine.gamespot.com/x-men-blue-13-mojo-worldwide-part-2-untitled/4000-628601/,0 days 00:00:00,Marvel
35,X-Men: Gold,2017,14,Issue,2017-12-31,Comicvine,100603,630540,X-Men: Gold,2017,14, ,https://comicvine.gamespot.com/x-men-gold-14-mojo-worldwide-part-3/4000-630540/,0 days 00:00:00,Marvel
36,X-Men: Blue,2017,14,Issue,2017-12-31,Comicvine,100712,632512,X-Men: Blue,2017,14, ,https://comicvine.gamespot.com/x-men-blue-14-mojo-worldwide-part-4/4000-632512/,31 days 00:00:00,Marvel
37,X-Men: Gold,2017,15,Issue,2018-01-31,Comicvine,100603,636392,X-Men: Gold,2017,15, ,https://comicvine.gamespot.com/x-men-gold-15-mojo-worldwide-part-5/4000-636392/,0 days 00:00:00,Marvel
38,X-Men: Blue,2017,15,Issue,2018-01-31,Comicvine,100712,638615,X-Men: Blue,2017,15, ,https://comicvine.gamespot.com/x-men-blue-15-mojo-worldwide-part-6/4000-638615/,31 days 00:00:00,Marvel
39,Amazing Spider-Man,2015,789,Issue,2017-12-31,Comicvine,85076,628575,The Amazing Spider-Man,2015,789, ,https://comicvine.gamespot.com/the-amazing-spider-man-789-fall-of-parker-part-1-t/4000-628575/,0 days 00:00:00,Marvel
40,Amazing Spider-Man,2015,790,Issue,2017-12-31,Comicvine,85076,632488,The Amazing Spider-Man,2015,790, ,https://comicvine.gamespot.com/the-amazing-spider-man-790-fall-of-parker-part-2-b/4000-632488/,31 days 00:00:00,Marvel
41,Amazing Spider-Man,2015,791,Issue,2018-01-31,Comicvine,85076,638587,The Amazing Spider-Man,2015,791, ,https://comicvine.gamespot.com/the-amazing-spider-man-791-fall-of-parker-part-3-b/4000-638587/,31 days 00:00:00,Marvel
42,U.S.Avengers,2017,11,Issue,2017-12-31,Comicvine,97772,632508,U.S.Avengers,2017,11, ,https://comicvine.gamespot.com/usavengers-11-cannonball-run-part-1-hey-bugface-wh/4000-632508/,31 days 00:00:00,Marvel
43,U.S.Avengers,2017,12,Issue,2018-01-31,Comicvine,97772,643046,U.S.Avengers,2017,12, ,https://comicvine.gamespot.com/usavengers-12-cannonball-run-part-2-maybe-we-shoul/4000-643046/,0 days 00:00:00,Marvel
44,Silver Sable and the Wild Pack,2018,36,Issue,2018-01-31,Comicvine,106307,641415,Silver Sable and the Wild Pack,2017,36, ,https://comicvine.gamespot.com/silver-sable-and-the-wild-pack-36-silver-and-bold/4000-641415/,0 days 00:00:00,Marvel
45,Darkhawk,1991,51,Issue,2018-01-31,Comicvine,4587,643030,Darkhawk,1991,51, ,https://comicvine.gamespot.com/darkhawk-51-the-return/4000-643030/,31 days 00:00:00,Marvel
