,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Marvel NOW! Point One,2012,1,Issue,2012-12-01,Comicvine,53097,362257,Marvel NOW! Point One,2012,1, ,https://comicvine.gamespot.com/marvel-now-point-one-1/4000-362257/,0 days 00:00:00,Marvel
2,Wolverine and The X-Men,2011,19,Issue,2012-12-01,Comicvine,43539,364133,Wolverine & the X-Men,2011,19, ,https://comicvine.gamespot.com/wolverine-and-the-x-men-19-more-pencils-more-books/4000-364133/,44 days 00:00:00,Marvel
3,Wolverine and The X-Men,2011,20,Issue,2013-01-14,Comicvine,43539,367699,Wolverine & the X-Men,2011,20, ,https://comicvine.gamespot.com/wolverine-and-the-x-men-20-the-search-for-somethin/4000-367699/,7 days 00:00:00,Marvel
4,Wolverine and The X-Men,2011,21,Issue,2013-01-21,Comicvine,43539,369058,Wolverine & the X-Men,2011,21, ,https://comicvine.gamespot.com/wolverine-and-the-x-men-21-the-greatest-freakshow-/4000-369058/,11 days 00:00:00,Marvel
5,Wolverine and The X-Men,2011,22,Issue,2013-02-01,Comicvine,43539,373313,Wolverine & the X-Men,2011,22, ,https://comicvine.gamespot.com/wolverine-and-the-x-men-22-big-top-hell/4000-373313/,36 days 00:00:00,Marvel
6,Wolverine and The X-Men,2011,23,Issue,2013-03-09,Comicvine,43539,378900,Wolverine & the X-Men,2011,23, ,https://comicvine.gamespot.com/wolverine-and-the-x-men-23-the-last-frankenstein/4000-378900/,54 days 00:00:00,Marvel
7,X-Men: Legacy,2013,1,Issue,2013-01-14,Comicvine,53922,367697,X-Men: Legacy,2013,1, ,https://comicvine.gamespot.com/x-men-legacy-1-prodigal/4000-367697/,13 days 00:00:00,Marvel
8,X-Men: Legacy,2013,2,Issue,2013-01-01,Comicvine,53922,370369,X-Men: Legacy,2013,2, ,https://comicvine.gamespot.com/x-men-legacy-2-prodigal-part-2/4000-370369/,31 days 00:00:00,Marvel
9,X-Men: Legacy,2013,3,Issue,2013-02-01,Comicvine,53922,373315,X-Men: Legacy,2013,3, ,https://comicvine.gamespot.com/x-men-legacy-3-prodigal-part-3/4000-373315/,53 days 00:00:00,Marvel
10,X-Men: Legacy,2013,4,Issue,2013-03-26,Comicvine,53922,378901,X-Men: Legacy,2013,4, ,https://comicvine.gamespot.com/x-men-legacy-4/4000-378901/,14 days 00:00:00,Marvel
